Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,172,70,105,30,2,10
4,197,65,114,42,1,0
5,226,68,87,35,2,15
6,207,69,113,30,1,10
7,228,71,123,31,2,15
8,209,67,114,31,1,15
9,205,86,116,23,3,15
10,218,92,127,24,2,5
11,194,85,130,36,8,0
12,195,84,145,31,6,15
13,231,87,140,30,5,55
14,220,116,147,31,5,25
15,211,78,157,33,3,20
16,214,100,142,35,7,20
17,238,101,148,36,3,25
18,222,101,161,37,11,25
19,225,115,140,31,9,40
20,213,116,159,37,7,25
21,205,136,149,41,8,60
22,208,112,154,40,4,35
23,230,131,157,48,8,10
24,254,120,176,47,6,60
25,245,142,193,47,9,25
26,236,134,187,48,12,35
27,225,153,177,42,11,60
