Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,240,56,135,33,0,20
4,257,55,151,16,4,0
5,272,67,161,31,0,15
6,261,71,148,32,5,15
7,237,85,153,40,5,0
8,275,57,146,46,3,20
9,284,67,173,38,3,15
10,236,90,146,42,2,25
11,295,75,167,46,3,20
12,299,99,146,54,2,5
13,255,101,151,43,2,25
14,324,80,150,33,3,15
15,261,102,156,38,3,25
16,262,117,168,37,3,10
17,258,91,188,49,4,15
18,222,115,184,48,7,15
19,282,118,168,43,4,25
20,268,115,153,51,7,25
21,293,121,179,47,3,25
22,277,138,165,35,3,20
23,256,130,172,44,4,20
24,259,141,180,37,6,10
25,283,136,190,48,7,25
26,257,139,160,52,8,20
27,267,120,168,43,9,45
