Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,154,78,144,21,1,10
4,194,71,135,41,2,15
5,185,61,121,43,4,0
6,183,78,153,35,3,30
7,170,87,143,38,4,15
8,190,84,140,34,3,20
9,220,79,143,53,3,15
10,184,114,135,37,9,20
11,222,79,158,50,4,55
12,217,105,149,47,13,15
13,225,99,156,51,10,50
14,191,99,155,54,1,35
15,209,94,169,54,13,25
16,208,90,159,51,11,35
17,213,113,183,64,14,55
18,197,106,154,63,16,60
19,228,99,170,64,17,65
20,231,110,164,57,17,85
21,220,122,186,59,14,75
22,225,133,175,63,15,100
23,180,125,154,57,21,70
24,195,137,165,71,17,85
25,204,129,210,68,22,70
26,207,137,158,72,20,95
27,200,119,176,79,17,85
