Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,178,64,137,23,2,5
4,187,63,132,38,2,15
5,188,55,157,44,4,10
6,197,68,127,41,2,5
7,185,61,135,34,4,10
8,219,65,153,42,2,15
9,219,79,166,33,1,20
10,248,73,139,36,5,5
11,192,91,150,33,3,25
12,189,80,140,49,5,35
13,221,98,140,42,4,15
14,190,71,138,39,5,15
15,197,64,152,38,12,25
16,236,76,161,39,7,35
17,238,77,161,46,10,40
18,236,78,151,46,6,35
19,216,98,181,37,9,25
20,197,70,162,50,10,35
21,232,91,177,41,10,35
22,198,93,143,45,13,55
23,222,123,148,48,16,60
24,221,99,154,59,13,60
25,213,105,187,44,7,95
26,206,95,176,55,10,55
27,211,111,136,45,17,55
