Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,194,57,116,54,1,10
4,229,64,130,46,1,5
5,227,56,121,52,3,15
6,226,58,134,54,3,10
7,227,60,134,47,3,15
8,235,83,123,50,4,20
9,251,68,124,54,2,15
10,238,87,121,53,10,20
11,250,70,119,57,5,15
12,233,69,105,65,5,40
13,250,85,140,54,5,20
14,214,92,122,51,8,40
15,245,91,133,75,8,40
16,255,104,105,67,6,30
17,260,119,139,75,8,30
18,248,107,108,51,12,40
19,252,116,129,70,7,45
20,266,114,155,71,7,25
21,277,103,130,73,13,55
22,250,121,148,78,14,60
23,250,135,133,71,4,55
24,254,130,127,82,14,35
25,260,139,148,78,15,35
26,263,143,117,87,13,85
27,237,130,132,80,9,70
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,194,57,116,54,1,10
4,228,64,130,46,1,5
5,226,56,120,52,3,15
6,223,58,133,54,3,10
7,220,60,133,46,3,15
8,232,83,122,50,4,20
9,249,68,124,54,2,15
10,236,85,121,53,9,20
11,246,70,119,57,5,15
12,227,67,103,66,5,40
13,241,86,133,54,4,20
14,211,90,120,51,7,35
15,241,90,130,74,7,35
16,254,104,99,67,5,25
17,252,117,134,75,8,25
18,236,106,105,51,10,40
19,250,115,124,69,6,35
20,262,111,157,66,7,25
21,268,103,132,73,11,55
22,246,118,146,81,14,50
23,246,133,131,70,5,45
24,241,126,128,82,13,35
25,257,137,145,80,15,40
26,251,140,116,84,13,85
27,224,126,129,79,8,70
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,194,57,116,54,1,10
4,226,64,130,46,1,5
5,222,56,117,52,3,15
6,219,57,130,54,2,10
7,216,60,128,46,2,10
8,218,83,120,50,3,15
9,241,68,120,54,2,15
10,222,84,121,53,7,15
11,235,70,114,55,5,10
12,211,66,97,65,5,35
13,228,86,126,54,4,20
14,203,86,118,52,6,35
15,233,88,126,74,6,30
16,256,100,97,65,3,25
17,239,116,130,74,5,15
18,228,107,100,51,7,30
19,240,113,120,68,2,30
20,252,109,152,66,5,15
21,256,104,128,73,7,25
22,230,116,140,82,10,35
23,236,128,124,67,5,35
24,231,125,126,79,8,25
25,241,137,136,76,12,35
26,238,133,105,82,9,60
27,207,122,121,77,8,50
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,178,64,137,23,2,5
4,187,63,133,38,2,15
5,190,55,160,44,4,10
6,199,68,128,41,2,5
7,191,61,136,34,4,10
8,226,65,156,42,2,15
9,227,79,167,34,2,20
10,248,75,144,36,6,5
11,194,92,151,34,3,25
12,197,80,142,49,5,40
13,227,99,145,42,5,20
14,202,71,141,38,7,20
15,201,64,157,39,13,30
16,241,79,163,39,8,35
17,251,77,165,45,11,40
18,246,80,156,48,7,45
19,221,98,188,39,10,30
20,201,71,165,51,12,45
21,240,91,183,41,10,40
22,205,95,148,44,16,60
23,227,123,156,51,19,70
24,230,99,158,60,17,70
25,219,106,187,42,10,115
26,208,98,175,56,11,65
27,216,113,141,45,18,65
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,178,64,137,23,2,5
4,187,63,132,38,2,15
5,188,55,157,44,4,10
6,197,68,127,41,2,5
7,185,61,135,34,4,10
8,219,65,153,42,2,15
9,219,79,166,33,1,20
10,248,73,139,36,5,5
11,192,91,150,33,3,25
12,189,80,140,49,5,35
13,221,98,140,42,4,15
14,190,71,138,39,5,15
15,197,64,152,38,12,25
16,236,76,161,39,7,35
17,238,77,161,46,10,40
18,236,78,151,46,6,35
19,216,98,181,37,9,25
20,197,70,162,50,10,35
21,232,91,177,41,10,35
22,198,93,143,45,13,55
23,222,123,148,48,16,60
24,221,99,154,59,13,60
25,213,105,187,44,7,95
26,206,95,176,55,10,55
27,211,111,136,45,17,55
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,178,64,137,23,2,5
4,180,63,131,38,2,15
5,185,54,151,44,4,10
6,183,68,125,41,1,5
7,172,60,133,34,4,5
8,209,63,149,42,2,15
9,209,79,159,31,1,20
10,232,70,132,36,4,5
11,178,90,142,32,3,25
12,179,80,133,50,5,30
13,206,92,129,42,3,15
14,174,70,128,38,2,15
15,176,61,141,37,10,20
16,219,75,154,40,4,20
17,220,75,153,46,6,20
18,220,72,142,45,6,25
19,208,97,170,35,7,15
20,180,66,153,45,4,25
21,217,91,165,41,8,15
22,188,89,133,42,9,45
23,199,118,140,47,10,50
24,209,99,142,58,10,35
25,199,101,178,44,6,85
26,186,93,162,52,9,35
27,193,109,126,47,12,40
Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,190,100,145,38,2,20
4,199,74,147,43,1,10
5,208,82,151,39,2,10
