Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,295,50,212,38,0,10
4,325,52,202,31,3,5
5,338,53,208,48,1,10
6,327,50,197,50,1,15
7,324,55,191,51,0,5
8,350,72,194,41,1,0
9,330,76,199,49,2,10
10,315,97,188,60,3,10
11,296,101,182,53,4,10
12,301,97,173,53,1,25
13,313,127,177,50,1,5
14,312,109,207,69,4,10
15,344,111,176,57,2,5
16,348,103,217,60,6,15
17,350,106,199,60,7,25
18,303,111,202,50,9,35
19,321,106,214,47,4,25
20,304,123,198,58,6,30
21,268,128,190,49,4,40
22,309,128,210,45,9,5
23,300,118,223,62,7,45
24,309,148,213,52,2,50
25,302,136,181,48,7,20
26,311,135,236,41,8,30
27,275,159,161,44,6,25
