Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,239,77,96,46,1,20
4,234,67,94,32,0,15
5,269,68,94,45,3,0
6,272,91,81,26,5,20
7,272,77,104,37,2,20
8,273,89,82,38,2,15
9,286,106,119,35,2,0
10,289,111,94,43,4,20
11,296,106,113,36,1,10
12,305,120,88,34,1,10
13,268,125,96,40,4,0
14,298,127,88,30,6,10
15,276,99,105,37,3,30
16,283,128,104,18,4,20
17,284,141,106,25,6,15
18,308,120,98,21,4,20
19,297,125,121,43,7,35
20,277,143,117,27,5,35
21,275,162,99,35,3,10
22,253,142,118,24,11,20
23,316,157,127,26,7,50
24,313,157,112,36,3,35
25,298,158,113,22,6,35
26,300,178,124,23,4,40
27,307,188,128,24,6,15
