Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,242,60,111,50,3,0
4,244,59,112,61,3,15
5,239,71,92,50,5,20
6,270,76,110,46,1,5
7,249,73,109,46,0,15
8,269,84,120,55,1,10
9,278,90,119,63,3,0
10,276,86,119,52,3,5
11,258,83,120,48,0,25
12,249,91,126,53,2,5
13,253,86,134,55,2,5
14,245,85,125,51,7,10
15,281,118,124,53,4,20
16,300,112,127,56,4,20
17,262,114,134,54,2,15
18,284,124,134,48,7,20
19,297,155,133,56,1,30
20,300,148,142,67,0,10
21,258,141,160,68,3,10
22,284,157,145,60,1,15
23,265,166,144,59,2,0
24,247,167,177,66,5,15
25,271,159,140,71,4,10
26,287,154,166,71,7,30
27,271,160,130,77,5,10
