Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,240,71,169,32,3,30
4,212,76,163,49,2,15
5,236,80,172,56,2,15
6,237,63,165,59,2,15
7,251,73,156,47,2,5
8,247,71,154,43,4,5
9,239,71,166,56,4,15
10,235,117,171,52,4,10
11,266,87,159,47,3,10
12,268,87,142,52,4,35
13,247,114,172,46,5,20
14,261,99,137,66,4,10
15,268,112,177,54,4,20
16,251,107,163,59,5,25
17,274,119,157,56,4,20
18,233,117,160,61,4,20
19,233,114,146,65,5,25
20,235,124,141,51,4,30
21,242,138,140,64,5,10
22,248,154,140,54,8,25
23,246,141,148,64,7,35
24,279,159,121,68,6,30
25,288,153,119,63,8,35
26,261,138,150,54,14,30
27,249,174,142,58,10,75
