Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,225,69,108,44,2,5
4,219,74,122,35,3,10
5,275,62,129,30,2,0
6,252,96,114,45,5,20
7,285,74,108,34,1,10
8,248,90,111,31,2,20
9,246,84,119,34,4,10
10,280,75,123,40,3,5
11,238,111,130,35,5,20
12,286,82,138,34,8,30
13,295,102,165,35,5,15
14,275,96,142,37,4,40
15,263,101,135,48,9,30
16,296,136,140,50,5,20
17,285,109,145,38,4,10
18,301,124,173,56,1,40
19,267,139,142,46,6,25
20,273,146,163,59,6,20
21,268,141,150,53,8,20
22,263,144,158,61,7,25
23,300,134,174,45,7,50
24,322,164,150,56,5,30
25,296,140,187,33,9,35
26,288,159,143,50,10,40
27,294,152,175,69,9,20
