Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,225,69,108,44,2,5
4,216,74,122,35,3,10
5,264,62,126,30,2,0
6,241,96,111,45,5,20
7,274,74,105,34,1,10
8,237,90,103,31,2,20
9,238,81,113,34,3,10
10,259,74,119,39,3,5
11,224,111,124,33,5,20
12,264,79,129,34,7,25
13,279,97,153,35,4,15
14,254,94,134,36,3,35
15,237,100,123,45,6,20
16,271,134,131,48,3,10
17,265,108,139,37,3,10
18,274,121,165,56,1,35
19,249,130,133,44,5,15
20,251,138,149,56,6,15
21,245,136,135,51,5,20
22,234,134,152,59,3,10
23,280,129,159,44,4,30
24,289,161,142,50,5,20
25,272,135,175,30,8,30
26,263,145,128,48,3,35
27,274,146,168,65,6,15
