Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,215,67,137,38,3,15
4,227,61,159,33,5,25
5,257,54,154,38,2,10
6,206,66,135,44,3,25
7,242,70,153,50,5,5
8,253,79,144,45,5,10
9,263,86,158,42,9,30
10,238,81,147,43,5,30
11,264,88,169,64,11,35
12,237,82,176,55,9,40
13,244,114,169,51,12,35
14,247,110,180,61,14,60
15,253,110,178,57,21,85
16,268,126,182,44,13,75
17,252,106,175,48,15,65
18,241,99,201,58,20,75
19,225,117,200,63,19,70
20,262,128,174,62,22,95
21,272,118,183,57,24,105
22,272,133,188,65,17,95
23,217,125,165,60,24,80
24,235,131,212,62,26,100
25,235,113,161,71,30,110
26,239,136,182,83,18,135
27,241,137,183,65,22,100
