Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,221,75,165,26,1,20
4,213,80,213,37,3,5
5,225,91,182,34,1,5
6,243,65,196,40,3,10
7,231,74,186,48,2,15
8,234,76,171,33,2,10
9,220,93,196,32,2,10
10,221,85,207,37,2,5
11,206,101,211,45,4,20
12,220,88,225,46,1,5
13,243,78,190,44,2,25
14,261,113,210,42,4,5
15,233,88,224,43,2,15
16,248,97,193,53,5,15
17,238,129,201,43,1,20
18,235,108,204,35,2,5
19,246,120,210,46,5,15
20,234,113,232,48,6,10
21,235,127,212,52,6,15
22,252,134,202,43,7,40
23,274,135,251,45,6,15
24,246,145,234,52,5,25
25,254,129,227,44,9,35
26,236,137,243,52,6,35
27,248,141,262,44,8,20
