Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,230,69,151,34,1,5
4,232,83,165,42,1,0
5,241,68,166,41,0,10
6,234,79,153,42,2,5
7,256,67,144,45,4,15
8,229,92,144,48,1,5
9,243,78,162,37,3,15
10,243,87,152,59,4,10
11,281,81,155,38,3,20
12,251,91,147,42,3,20
13,254,80,163,56,2,10
14,272,97,146,40,6,5
15,258,117,145,42,3,0
16,277,105,144,49,2,40
17,256,110,140,42,5,15
18,292,115,126,44,3,20
19,256,108,146,53,4,30
20,267,136,162,45,5,10
21,284,135,138,49,5,10
22,301,138,135,38,7,20
23,280,137,146,47,8,25
24,271,137,156,59,5,20
25,267,139,137,50,12,30
26,258,141,139,39,12,35
27,248,150,142,38,8,50
