Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,230,69,151,34,1,5
4,230,83,165,42,1,0
5,239,68,165,41,0,10
6,230,79,151,42,2,5
7,252,67,141,45,4,15
8,223,92,143,47,1,5
9,242,76,159,37,2,15
10,238,87,148,58,4,10
11,274,80,150,38,3,15
12,245,91,144,42,3,20
13,247,79,159,56,2,10
14,264,95,141,40,5,5
15,256,117,142,41,1,0
16,267,105,140,49,2,25
17,255,109,138,41,4,15
18,285,114,125,43,3,20
19,251,107,142,54,3,25
20,256,135,159,43,5,5
21,279,132,138,49,3,10
22,291,137,131,37,6,10
23,276,132,148,46,6,20
24,268,137,150,60,4,15
25,262,138,136,49,8,30
26,254,137,138,39,7,20
27,245,149,141,37,7,40
