Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,233,49,147,35,3,15
4,245,63,158,36,4,10
5,297,52,183,38,1,15
6,281,65,158,43,5,10
7,263,66,167,45,6,20
8,280,62,148,37,3,15
9,268,62,172,52,6,10
10,296,68,167,41,6,25
11,271,80,179,41,4,45
12,315,107,165,35,7,40
13,284,93,185,48,6,20
14,320,99,176,49,6,20
15,258,82,205,44,14,25
16,275,97,155,50,9,60
17,294,106,193,47,15,30
18,279,121,215,55,16,40
19,283,111,195,57,15,55
20,316,128,197,53,14,85
21,281,123,181,57,16,95
22,299,122,214,62,20,55
23,303,135,217,58,19,70
24,260,151,210,63,16,105
25,266,128,182,59,23,80
26,270,154,201,64,24,100
27,279,139,195,59,31,85
