Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,233,49,147,35,3,15
4,244,63,156,36,4,10
5,290,52,179,38,0,15
6,267,65,154,43,5,5
7,247,66,156,44,6,20
8,267,61,144,36,3,15
9,251,60,167,51,4,10
10,277,67,161,40,6,20
11,250,79,166,42,0,45
12,296,106,157,33,6,20
13,270,90,175,45,7,10
14,300,99,164,49,4,20
15,238,80,194,42,10,30
16,245,92,146,50,5,45
17,277,99,180,45,9,10
18,259,116,201,51,10,40
19,252,108,180,55,10,25
20,293,125,189,52,9,60
21,257,116,166,56,12,45
22,281,115,198,62,7,45
23,277,129,213,56,15,50
24,229,148,197,61,10,75
25,249,122,177,56,17,35
26,249,154,183,63,15,70
27,265,132,187,55,22,60
