Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,170,79,117,24,0,15
4,158,50,117,23,1,10
5,163,70,121,29,1,5
6,180,60,114,29,0,5
7,184,59,103,25,1,10
8,178,73,109,22,1,5
9,187,76,119,28,2,0
10,210,68,109,29,7,5
11,187,86,97,32,2,30
12,184,60,106,31,4,5
13,182,64,113,25,3,10
14,194,75,124,28,2,15
15,202,82,105,27,5,20
16,179,62,119,15,8,25
17,198,72,108,26,1,25
18,171,94,105,27,3,25
19,165,76,91,17,2,20
20,179,113,106,22,5,15
21,167,80,86,27,6,20
22,197,116,83,26,2,15
23,165,103,102,18,5,15
24,169,100,91,23,6,5
25,190,75,98,18,7,40
26,151,88,100,23,9,30
27,175,100,93,24,8,45
