Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,224,62,127,56,0,15
4,235,84,148,41,1,10
5,224,84,128,50,1,10
6,196,73,132,39,2,5
7,247,92,154,48,3,5
8,220,72,154,54,2,15
9,215,77,174,61,1,5
10,208,100,188,52,3,5
11,244,95,176,61,5,15
12,219,104,184,61,1,15
13,255,110,177,65,5,5
14,219,103,170,53,1,25
15,240,107,189,62,9,0
16,218,101,191,55,9,45
17,251,111,178,62,6,35
18,234,106,182,75,8,25
19,237,109,195,69,3,15
20,265,136,193,53,5,35
21,227,127,203,76,8,35
22,246,126,214,81,5,20
23,202,153,212,94,9,25
24,219,146,226,99,6,40
25,229,147,209,80,7,15
26,242,148,213,78,6,35
27,253,147,205,77,9,45
