Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,233,62,156,41,0,20
4,280,55,156,44,3,5
5,272,64,151,34,1,15
6,266,79,176,45,1,20
7,237,63,149,42,1,5
8,304,96,177,44,0,10
9,283,98,162,52,3,0
10,264,81,178,52,5,5
11,269,87,192,45,3,15
12,289,99,185,45,3,20
13,269,109,180,46,2,20
14,286,110,185,54,4,20
15,255,117,217,59,6,10
16,269,120,184,58,5,35
17,283,116,208,39,1,15
18,297,122,197,62,6,20
19,278,145,223,70,2,25
20,267,132,223,71,4,15
21,283,146,215,60,4,20
22,266,146,240,75,4,15
23,275,149,225,79,2,5
24,289,157,252,75,2,15
25,282,143,243,79,7,10
26,245,161,225,82,8,40
27,248,185,218,79,7,25
