Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,275,60,120,28,0,5
4,269,63,125,36,6,20
5,286,76,131,40,5,15
6,261,83,146,41,0,40
7,291,73,127,35,3,10
8,249,99,133,43,8,10
9,277,88,106,43,3,10
10,251,89,109,33,4,30
11,269,99,122,48,1,15
12,269,99,112,30,1,15
13,252,98,122,45,1,10
14,238,115,131,32,2,5
15,269,100,108,34,1,10
16,287,135,126,41,7,10
17,257,106,100,34,5,30
18,261,134,96,29,5,20
19,279,117,122,31,2,25
20,300,127,102,32,5,5
21,254,121,104,28,5,35
22,259,111,108,39,4,15
23,231,146,96,33,6,25
24,280,134,104,35,4,35
25,227,160,120,31,3,15
26,213,152,110,31,4,10
27,219,137,135,41,6,25
