Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,164,62,107,36,2,5
4,162,64,109,26,4,15
5,180,64,92,36,1,15
6,171,70,92,29,3,15
7,183,58,109,27,3,10
8,164,66,86,36,3,10
9,165,70,98,26,2,5
10,191,59,95,22,2,10
11,161,83,125,29,1,20
12,205,93,88,36,2,10
13,187,67,93,38,1,0
14,181,72,120,23,2,10
15,207,79,110,30,3,15
16,207,88,101,34,5,10
17,173,110,105,29,1,20
18,195,64,104,32,5,20
19,195,79,103,21,1,5
20,199,104,85,30,5,15
21,176,92,89,23,3,35
22,186,88,99,33,3,10
23,194,92,90,24,2,5
24,185,104,70,29,11,10
25,221,106,80,28,3,45
26,208,111,100,25,8,10
27,199,110,81,27,0,55
