Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,164,62,107,36,2,5
4,162,64,109,26,4,15
5,180,64,92,36,1,15
6,170,70,92,29,3,15
7,178,58,108,27,2,10
8,162,66,86,36,3,5
9,161,70,97,26,2,5
10,188,59,94,22,2,10
11,162,82,123,29,1,20
12,201,93,86,36,2,10
13,186,67,93,38,1,0
14,180,70,119,23,2,10
15,204,78,109,30,3,15
16,203,88,101,34,5,10
17,171,110,102,29,1,20
18,193,65,104,32,5,20
19,190,79,103,21,1,5
20,197,103,83,30,5,15
21,175,90,89,23,3,35
22,182,88,99,33,3,10
23,192,92,89,24,1,5
24,184,104,71,29,11,10
25,216,105,76,28,3,45
26,204,107,101,24,8,10
27,198,110,81,27,0,50
