Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,278,60,89,28,2,10
4,315,48,120,47,3,25
5,302,48,108,49,3,15
6,290,53,96,40,7,5
7,309,66,128,38,4,20
8,336,69,125,46,5,25
9,262,75,132,52,4,35
10,311,73,128,51,6,25
11,333,85,115,50,2,30
12,353,92,107,65,11,20
13,302,69,130,41,4,35
14,328,87,133,54,5,15
15,322,113,151,46,10,15
16,313,98,138,40,5,30
17,315,115,163,51,5,40
18,339,112,136,45,10,35
19,331,95,119,47,14,50
20,326,120,135,43,5,55
21,313,104,134,42,6,30
22,308,144,137,40,14,45
23,316,125,166,54,15,40
24,334,129,118,52,12,75
25,321,147,144,50,13,70
26,319,132,124,46,17,65
27,323,160,163,53,9,45
