Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,231,99,105,46,2,20
4,221,87,131,41,1,10
5,254,77,122,44,4,0
6,252,91,118,48,4,20
7,225,100,131,49,1,25
8,277,108,124,46,7,10
9,258,90,120,33,6,15
10,272,95,149,39,5,30
11,268,116,128,45,6,25
12,258,134,125,54,5,35
13,246,103,139,34,1,15
14,252,134,139,19,10,10
15,278,146,132,32,3,35
16,279,130,131,33,5,20
17,302,144,138,37,9,30
18,276,148,119,45,8,55
19,262,163,132,28,10,10
20,225,166,139,37,8,40
21,274,171,127,29,11,35
22,260,160,101,43,10,75
23,270,181,125,41,22,30
24,256,175,125,34,11,90
25,268,174,130,31,16,55
26,273,181,134,35,8,95
27,260,169,118,34,16,55
