Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,179,50,148,49,2,25
4,196,58,139,42,3,10
5,205,60,151,43,5,25
6,201,61,159,43,3,10
7,196,55,135,45,4,15
8,225,64,162,40,5,15
9,195,75,145,56,8,20
10,225,87,147,50,12,40
11,184,66,132,53,13,55
12,205,84,150,54,8,65
13,192,74,150,49,11,40
14,227,80,135,52,13,65
15,212,81,138,41,26,65
16,215,91,154,47,19,100
17,233,102,140,48,19,75
18,223,96,151,43,21,85
19,209,93,154,46,29,125
20,209,111,151,42,24,120
21,210,94,137,39,24,110
22,212,117,143,47,35,125
23,190,100,162,58,32,165
24,212,105,149,62,38,165
25,208,121,166,54,36,130
26,224,123,143,60,41,185
27,192,106,172,41,28,140
