Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,179,50,148,49,2,25
4,196,58,139,42,2,10
5,199,60,146,43,5,20
6,196,61,157,43,3,10
7,187,55,130,45,4,15
8,215,62,156,40,2,15
9,180,75,141,55,6,15
10,220,85,137,50,11,25
11,175,66,132,52,7,45
12,197,82,146,53,7,50
13,182,73,141,49,7,35
14,213,80,127,52,9,35
15,206,78,136,41,23,50
16,196,90,143,47,12,80
17,223,101,137,46,12,65
18,216,95,148,41,14,50
19,203,89,151,46,19,80
20,201,112,145,43,15,80
21,198,93,129,38,17,80
22,205,115,141,45,22,75
23,181,98,158,56,28,120
24,194,100,150,63,24,130
25,197,121,168,53,26,85
26,218,119,140,62,32,130
27,180,105,172,43,21,95
