Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,285,62,147,39,1,0
4,257,74,112,36,1,10
5,252,74,128,35,0,15
6,246,88,130,39,2,0
7,315,103,136,38,0,5
8,271,91,137,36,0,0
9,273,99,151,23,2,5
10,307,94,128,30,2,0
11,303,115,134,45,6,5
12,277,110,139,35,1,10
13,290,104,148,34,4,10
14,267,120,111,48,5,20
15,305,123,155,43,1,10
16,291,127,124,50,3,10
17,270,139,149,33,2,20
18,263,132,136,47,4,10
19,281,151,153,52,5,15
20,275,173,144,51,5,10
21,295,156,124,53,4,0
22,265,150,135,32,7,45
23,278,157,136,43,3,20
24,264,158,140,39,3,40
25,296,171,160,39,8,25
26,268,145,147,35,5,20
27,286,155,151,46,6,35
