Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,200,75,155,45,2,10
4,210,63,146,34,0,15
5,194,80,139,47,2,0
6,241,68,131,52,1,15
7,253,59,160,40,5,10
8,248,85,149,48,1,10
9,270,81,138,40,2,15
10,276,81,191,39,4,10
11,258,89,155,33,6,5
12,279,119,151,47,7,15
13,287,107,149,48,5,30
14,283,122,143,47,1,45
15,279,124,168,35,4,10
16,288,95,165,46,9,30
17,286,109,179,42,7,20
18,272,131,208,51,11,30
19,291,125,188,64,6,45
20,320,144,208,70,11,40
21,317,151,181,63,13,40
22,306,145,172,53,9,50
23,303,154,174,56,14,45
24,299,180,202,62,10,55
25,298,166,177,63,10,60
26,311,161,164,72,9,55
27,296,171,184,59,18,40
