Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,199,73,144,35,1,25
4,198,49,118,33,1,5
5,222,49,160,36,3,10
6,213,75,148,39,1,20
7,258,74,157,43,3,0
8,233,71,171,45,2,10
9,235,79,148,43,3,15
10,219,67,171,43,3,5
11,262,69,145,31,3,25
12,242,84,177,44,6,15
13,261,85,177,50,4,15
14,251,89,169,39,11,20
15,284,112,158,49,9,40
16,255,93,163,47,8,40
17,223,96,166,52,5,40
18,260,91,168,55,7,35
19,253,123,175,46,8,40
20,239,107,163,51,13,10
21,246,99,188,53,4,70
22,247,107,185,64,14,35
23,248,104,171,45,14,40
24,246,114,163,53,10,70
25,253,125,165,65,13,45
26,226,117,184,43,13,60
27,275,136,187,49,8,65
