Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,130,72,112,44,2,25
4,145,79,141,33,1,10
5,111,81,118,37,2,10
6,122,73,127,43,1,15
7,131,85,130,39,3,5
8,137,76,124,44,4,10
9,125,90,145,49,2,10
10,139,88,161,37,1,15
11,122,65,129,47,5,0
12,135,69,134,50,2,30
13,137,90,124,46,4,15
14,125,91,171,37,2,20
15,154,100,131,43,1,10
16,154,85,159,54,4,10
17,151,90,128,60,3,10
18,141,90,132,57,6,5
19,156,81,157,50,4,35
20,133,84,146,51,2,20
21,151,121,141,38,3,15
22,145,89,167,53,7,15
23,151,104,152,64,2,10
24,153,91,167,52,6,30
25,128,97,136,58,9,30
26,138,112,176,61,4,30
27,156,117,156,71,3,15
