Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,171,72,95,47,0,5
4,175,67,104,42,0,0
5,185,57,109,41,5,0
6,209,67,127,34,5,15
7,203,70,105,48,1,30
8,192,79,119,38,4,15
9,210,69,114,30,3,15
10,208,86,104,39,1,5
11,189,88,124,30,3,15
12,192,77,95,38,5,10
13,223,100,103,33,7,25
14,199,94,139,37,4,20
15,223,97,101,31,3,20
16,187,82,119,33,4,20
17,189,77,106,37,5,20
18,199,108,117,34,3,30
19,192,116,119,32,3,30
20,203,115,103,27,8,15
21,218,92,114,41,3,15
22,210,124,93,28,5,25
23,218,127,81,31,3,10
24,210,133,135,41,9,30
25,195,127,116,25,6,30
26,209,114,135,30,8,45
27,199,128,107,31,9,35
