Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,187,59,109,34,2,25
4,212,59,124,38,2,5
5,189,66,110,32,3,10
6,229,75,93,41,1,20
7,211,72,96,33,1,5
8,248,63,110,28,2,10
9,222,70,115,33,6,10
10,245,85,108,43,4,25
11,244,87,109,37,3,10
12,222,85,108,27,5,10
13,208,80,93,31,6,20
14,247,84,134,42,2,35
15,232,86,97,32,2,15
16,271,99,122,41,3,10
17,273,105,116,31,6,10
18,239,102,98,44,7,35
19,244,118,94,39,7,25
20,246,116,126,38,7,35
21,252,113,113,40,10,35
22,266,122,89,36,7,50
23,250,126,88,36,10,30
24,240,112,102,44,15,45
25,235,120,88,42,5,55
26,262,130,75,36,10,35
27,243,118,98,49,7,45
