Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,254,69,173,60,3,10
4,259,84,184,61,0,15
5,238,73,169,40,2,20
6,283,70,194,47,2,15
7,249,92,193,59,2,10
8,278,93,197,53,5,15
9,287,82,181,66,1,20
10,270,111,179,56,3,0
11,286,77,168,55,5,20
12,254,99,182,51,10,15
13,281,106,197,49,4,50
14,293,134,199,62,12,15
15,297,106,214,54,9,60
16,278,133,200,56,7,50
17,288,123,204,45,4,30
18,308,123,191,56,12,25
19,280,148,221,60,6,60
20,245,132,211,55,9,25
21,276,127,229,52,6,40
22,300,118,224,65,8,50
23,284,167,216,64,22,30
24,244,156,244,59,14,60
25,249,126,203,55,19,110
26,304,142,244,69,12,80
27,284,194,227,72,14,70
