Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,174,89,101,45,3,10
4,135,82,108,52,1,25
5,180,59,90,48,1,5
6,182,79,119,46,6,5
7,184,75,105,50,1,15
8,187,94,115,68,1,10
9,172,68,118,40,4,10
10,190,70,101,51,3,15
11,185,75,138,37,3,20
12,196,97,97,42,1,20
13,176,82,121,37,2,10
14,185,109,109,52,4,0
15,192,96,119,61,3,25
16,204,117,109,55,4,15
17,176,102,114,47,3,15
18,181,120,134,55,5,20
19,186,99,124,48,3,25
20,190,116,119,55,2,5
21,189,111,129,42,5,20
22,208,115,126,52,2,10
23,199,117,118,49,2,30
24,213,114,138,44,4,0
25,181,99,143,58,5,15
26,199,126,129,52,8,0
27,189,126,141,65,8,30
