Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,174,89,101,45,3,10
4,134,82,108,52,1,25
5,179,59,89,48,1,5
6,179,79,117,46,6,5
7,182,75,105,50,1,15
8,186,93,117,67,1,10
9,170,68,115,40,4,10
10,184,70,101,51,3,15
11,175,75,136,37,1,20
12,194,97,94,42,1,15
13,168,82,119,37,2,10
14,181,106,108,52,4,0
15,186,96,113,61,3,20
16,198,116,106,54,3,15
17,172,102,112,47,2,10
18,177,119,130,55,3,15
19,179,99,122,47,3,20
20,183,115,117,55,1,0
21,184,109,128,40,4,15
22,197,114,117,52,1,10
23,186,114,117,48,2,30
24,204,112,133,44,3,0
25,174,99,141,56,3,10
26,196,124,123,52,7,0
27,181,123,138,64,6,30
