Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,238,81,104,37,0,5
4,292,102,116,50,0,0
5,249,97,113,53,0,0
6,236,100,130,46,3,5
7,236,88,134,36,3,20
8,274,113,113,57,2,10
9,254,104,138,49,1,10
10,272,113,140,41,1,5
11,237,110,146,48,2,0
12,245,129,137,50,4,10
13,281,128,126,49,5,10
14,250,137,144,38,2,15
15,237,126,152,44,2,10
16,259,130,139,60,2,25
17,259,128,153,53,5,10
18,260,133,166,55,3,20
19,260,128,136,47,5,5
20,265,135,168,67,3,10
21,245,153,189,73,4,20
22,236,151,178,45,4,10
23,249,148,172,51,6,25
24,226,175,170,73,2,30
25,253,172,173,73,4,15
26,254,161,179,78,5,15
27,271,159,171,71,3,25
