Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,185,43,126,42,5,10
4,200,60,167,48,0,30
5,207,55,121,24,0,15
6,197,74,150,31,5,0
7,187,61,144,38,0,10
8,221,62,141,40,4,5
9,211,67,133,34,1,15
10,219,69,141,34,2,20
11,207,49,153,32,4,20
12,251,69,151,46,2,5
13,201,75,138,38,3,0
14,250,78,150,32,5,15
15,233,89,159,26,4,15
16,244,80,160,29,4,30
17,252,88,143,28,3,25
18,265,106,180,40,3,20
19,242,94,159,23,16,30
20,221,115,173,34,13,35
21,219,99,177,33,9,40
22,207,110,154,42,8,70
23,228,105,178,31,5,55
24,236,102,161,34,9,30
25,254,106,148,36,11,45
26,235,100,171,27,9,50
27,240,118,164,38,11,45
