Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,233,53,169,44,1,25
4,229,61,184,30,2,15
5,269,65,171,38,3,20
6,253,51,195,52,0,15
7,272,60,188,51,2,5
8,260,61,174,66,6,10
9,268,67,165,56,2,25
10,250,68,177,49,3,10
11,269,68,191,65,4,10
12,247,76,216,74,3,20
13,272,68,211,59,11,20
14,292,94,190,63,6,40
15,309,98,236,71,6,55
16,269,85,229,62,9,25
17,274,110,203,65,8,25
18,272,100,232,69,9,35
19,251,99,233,61,4,35
20,257,109,184,68,9,30
21,259,125,214,89,7,55
22,272,111,256,51,12,30
23,266,119,244,85,11,15
24,258,114,228,100,4,50
25,282,119,218,82,5,60
26,251,109,262,105,13,20
27,261,143,262,99,14,60
