Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,300,58,114,36,5,5
4,320,68,135,36,1,10
5,337,66,112,51,3,15
6,330,76,135,41,2,5
7,335,77,140,46,2,10
8,301,64,119,52,6,10
9,302,74,130,66,6,30
10,296,89,130,51,2,20
11,293,117,134,48,6,20
12,295,103,111,40,3,25
13,289,109,155,41,3,10
14,290,88,99,48,5,25
15,315,95,172,47,11,10
16,310,120,120,55,3,40
17,293,117,125,45,10,20
18,291,120,133,51,6,20
19,275,119,144,51,7,30
20,265,116,125,48,5,35
21,293,125,125,40,3,25
22,260,136,134,38,7,25
23,272,135,114,42,4,30
24,272,134,110,40,12,30
25,255,128,119,42,4,40
26,283,130,150,45,6,25
27,245,139,123,39,4,50
