Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,300,58,114,36,5,5
4,319,68,134,36,1,10
5,336,66,111,51,3,15
6,326,76,133,41,2,5
7,334,77,139,46,2,10
8,299,64,119,52,6,10
9,302,74,130,66,6,30
10,291,89,129,51,2,20
11,292,117,132,48,6,20
12,292,103,110,40,3,25
13,284,109,155,41,3,10
14,285,88,99,48,4,25
15,312,95,169,47,10,10
16,304,117,119,55,3,40
17,284,117,124,45,9,20
18,287,120,132,51,5,15
19,274,118,141,51,6,25
20,261,114,119,48,4,35
21,284,125,124,39,4,25
22,260,134,133,38,7,20
23,269,133,113,41,4,30
24,270,133,111,39,11,30
25,251,126,117,41,4,40
26,279,132,150,44,6,20
27,236,140,121,39,4,50
