Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,179,58,104,39,0,5
4,193,55,90,35,1,0
5,204,60,103,50,2,0
6,199,62,105,50,1,0
7,185,73,106,35,1,20
8,198,63,114,44,1,5
9,157,68,101,46,5,10
10,206,70,112,37,3,15
11,200,75,88,38,2,25
12,203,69,104,46,6,5
13,210,75,106,39,6,35
14,231,74,107,46,7,25
15,217,80,118,40,6,15
16,221,76,136,56,7,30
17,190,99,140,57,6,45
18,182,89,118,49,5,25
19,210,103,123,50,6,40
20,194,101,129,54,11,20
21,215,100,122,43,3,60
22,220,116,157,51,8,25
23,229,96,129,69,13,30
24,218,107,143,66,8,65
25,213,109,158,63,10,35
26,219,118,156,52,12,45
27,223,138,151,59,10,70
