Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,191,46,83,40,0,15
4,191,61,95,42,1,10
5,186,55,67,38,3,5
6,193,52,79,45,1,10
7,235,49,80,34,5,15
8,231,62,81,32,2,20
9,195,61,87,36,5,10
10,231,58,79,33,2,15
11,209,50,100,33,3,25
12,199,74,90,45,1,5
13,206,67,91,32,4,10
14,203,57,81,29,5,0
15,208,76,92,31,4,50
16,211,81,91,23,1,15
17,220,74,94,20,2,15
18,220,100,90,36,4,10
19,198,84,87,28,3,10
20,198,82,94,39,3,15
21,227,99,88,37,2,10
22,210,85,87,33,6,15
23,188,100,82,31,5,15
24,226,88,118,21,2,35
25,219,97,91,26,5,10
26,210,112,104,25,3,20
27,227,99,97,20,7,30
