Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,133,53,132,41,3,15
4,142,55,142,48,5,5
5,158,51,154,49,3,25
6,142,51,152,47,1,25
7,153,68,151,42,3,15
8,147,54,123,60,5,15
9,184,69,150,56,1,5
10,178,71,141,46,4,10
11,153,75,142,62,2,10
12,183,63,158,45,2,15
13,172,68,160,55,5,10
14,148,84,144,55,1,15
15,174,57,133,65,1,15
16,159,58,167,61,1,20
17,172,68,163,61,4,10
18,163,68,145,59,7,10
19,176,73,164,66,6,30
20,174,81,157,71,5,10
21,178,66,144,75,1,25
22,168,66,179,94,4,25
23,160,70,183,78,3,25
24,210,87,192,71,4,35
25,184,100,183,72,7,10
26,169,63,193,72,8,25
27,194,97,202,75,3,40
