Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,241,66,153,43,4,15
4,285,87,162,46,3,10
5,263,65,144,35,2,15
6,264,72,165,39,3,5
7,288,75,142,47,4,15
8,298,65,154,35,3,20
9,304,98,180,36,6,5
10,300,68,150,54,1,25
11,287,74,165,44,4,15
12,281,90,171,43,6,10
13,322,102,155,48,4,35
14,319,120,168,52,4,25
15,308,105,170,53,5,20
16,305,108,164,67,7,20
17,281,120,141,52,3,25
18,320,122,161,77,7,20
19,285,114,164,61,7,30
20,299,132,170,52,9,50
21,309,144,179,66,7,30
22,336,144,172,63,11,40
23,310,139,154,64,8,45
24,273,172,159,72,10,40
25,330,160,142,71,15,50
26,294,179,172,55,16,50
27,320,158,171,71,12,75
