Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,197,87,146,28,2,5
4,205,87,129,39,2,5
5,225,73,132,50,2,20
6,192,89,125,38,0,10
7,219,70,124,32,3,5
8,217,96,112,44,2,0
9,216,100,128,47,3,15
10,191,88,104,33,6,20
11,199,100,119,38,3,30
12,216,107,121,37,1,5
13,226,107,134,40,2,15
14,225,119,147,41,2,0
15,185,111,115,40,2,10
16,219,112,147,49,4,15
17,203,120,116,31,8,15
18,196,100,141,44,4,50
19,233,111,141,53,4,10
20,224,131,138,43,3,30
21,196,124,136,46,3,15
22,211,135,116,44,10,25
23,202,120,117,49,4,35
24,212,143,126,61,2,15
25,214,139,135,58,6,15
26,197,124,119,52,5,15
27,242,128,128,56,7,20
