Cycle_id,T2DM_diagnosis_event,T2DM_death_event,CHD_diagnosis_event,CHD_death_event,HCC_diagnosis_event,HCC_death_event
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,141,64,140,22,0,15
4,143,63,114,29,1,0
5,157,55,121,34,0,10
6,135,71,121,17,1,0
7,167,54,105,31,1,0
8,159,66,104,39,1,10
9,135,71,109,32,3,0
10,165,73,101,33,4,10
11,165,68,123,31,2,25
12,161,73,109,30,4,15
13,156,71,120,31,8,10
14,142,74,128,35,5,35
15,164,74,114,22,4,15
16,151,69,110,29,2,35
17,153,69,128,30,6,15
18,160,78,93,46,8,10
19,154,84,116,36,7,35
20,142,81,127,29,9,35
21,171,85,124,30,9,30
22,172,90,129,44,5,45
23,166,126,132,30,8,30
24,188,94,136,34,9,35
25,172,116,112,28,6,50
26,175,108,150,37,7,30
27,168,102,131,36,11,25
