Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6186,0,0,2,3,Steatosis,0
276,0,0,710,0,0,2,4,NASH,0
277,0,0,82,0,0,2,5,Cirrhosis,0
278,0,0,7,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1544,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2134,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7492,0,0,2,25,Overweight,0
298,0,0,8421,0,0,2,26,Obese,0
411,0,0,6497,0,0,3,3,Steatosis,0
412,0,0,844,0,0,3,4,NASH,0
413,0,0,92,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,200,0,0,3,8,Natural death,0
421,0,0,1578,0,0,3,13,CHD,0
422,0,0,42,0,0,3,14,CHD death,0
427,0,0,2232,0,0,3,19,T2DM,0
428,0,0,67,0,0,3,20,T2DM death,0
433,0,0,7918,0,0,3,25,Overweight,0
434,0,0,8449,0,0,3,26,Obese,0
547,0,0,6769,0,0,4,3,Steatosis,0
548,0,0,981,0,0,4,4,NASH,0
549,0,0,97,0,0,4,5,Cirrhosis,0
550,0,0,5,0,0,4,6,HCC,0
551,0,0,15,0,0,4,7,Liver death,0
552,0,0,423,0,0,4,8,Natural death,0
557,0,0,1611,0,0,4,13,CHD,0
558,0,0,90,0,0,4,14,CHD death,0
563,0,0,2274,0,0,4,19,T2DM,0
564,0,0,159,0,0,4,20,T2DM death,0
569,0,0,8128,0,0,4,25,Overweight,0
570,0,0,8546,0,0,4,26,Obese,0
683,0,0,6997,0,0,5,3,Steatosis,0
684,0,0,1124,0,0,5,4,NASH,0
685,0,0,106,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,26,0,0,5,7,Liver death,0
688,0,0,616,0,0,5,8,Natural death,0
693,0,0,1666,0,0,5,13,CHD,0
694,0,0,142,0,0,5,14,CHD death,0
699,0,0,2434,0,0,5,19,T2DM,0
700,0,0,223,0,0,5,20,T2DM death,0
705,0,0,8243,0,0,5,25,Overweight,0
706,0,0,8706,0,0,5,26,Obese,0
819,0,0,7184,0,0,6,3,Steatosis,0
820,0,0,1301,0,0,6,4,NASH,0
821,0,0,121,0,0,6,5,Cirrhosis,0
822,0,0,3,0,0,6,6,HCC,0
823,0,0,34,0,0,6,7,Liver death,0
824,0,0,810,0,0,6,8,Natural death,0
829,0,0,1689,0,0,6,13,CHD,0
830,0,0,188,0,0,6,14,CHD death,0
835,0,0,2550,0,0,6,19,T2DM,0
836,0,0,289,0,0,6,20,T2DM death,0
841,0,0,8366,0,0,6,25,Overweight,0
842,0,0,8861,0,0,6,26,Obese,0
955,0,0,7416,993744,0,7,3,Steatosis,0
956,0,211.95000000000516,1413,377271,211.95000000000516,7,4,NASH,0
957,0,26.77199999999998,138,394818,26.77199999999998,7,5,Cirrhosis,0
958,0,1.764,6,255864,1.764,7,6,HCC,0
959,126.204867329,0,41,0,126.204867329,7,7,Liver death,0
960,0,0,1025,0,0,7,8,Natural death,0
965,0,113.05800000000289,1713,2.2668129e+07,113.05800000000289,7,13,CHD,0
966,247.488997596,0,228,0,247.488997596,7,14,CHD death,0
971,0,87.21900000000261,2643,2.159331e+07,87.21900000000261,7,19,T2DM,0
972,777.9970947239997,0,360,0,777.9970947239997,7,20,T2DM death,0
977,0,0,8400,2.8812e+06,0,7,25,Overweight,0
978,0,108.04800000000364,9004,8.247664e+06,108.04800000000364,7,26,Obese,0
1091,0,0,7541,981062.1359221835,0,8,3,Steatosis,0
1092,0,230.8252427184524,1585,410868.93203883205,230.8252427184524,8,4,NASH,0
1093,0,28.064077669902964,149,413872.81553398154,28.064077669902964,8,5,Cirrhosis,0
1094,0,2.283495145631068,8,331215.53398058255,2.283495145631068,8,6,HCC,0
1095,199.36008568446604,0,53,0,199.36008568446604,8,7,Liver death,0
1096,0,0,1214,0,0,8,8,Natural death,0
1101,0,110.85436893204097,1730,2.2226300970873464e+07,110.85436893204097,8,13,CHD,0
1102,279.13839527281544,0,269,0,279.13839527281544,8,14,CHD death,0
1107,0,87.49805825242404,2731,2.1662398058253184e+07,87.49805825242404,8,19,T2DM,0
1108,701.0304461766993,0,435,0,701.0304461766993,8,20,T2DM death,0
1113,0,0,8377,2.7896223300975007e+06,0,8,25,Overweight,0
1114,0,106.7300970873659,9161,8.147064077671121e+06,106.7300970873659,8,26,Obese,0
1227,0,0,7679,969917.9941560874,0,9,3,Steatosis,0
1228,0,243.89669148836157,1725,434136.1108492911,243.89669148836157,9,4,NASH,0
1229,0,28.709586200395925,157,423392.40267697326,28.709586200395925,9,5,Cirrhosis,0
1230,0,3.0483551701385605,11,442156.6594400981,3.0483551701385605,9,6,HCC,0
1231,207.88756862475256,0,66,0,207.88756862475256,9,7,Liver death,0
1232,0,0,1423,0,0,9,8,Natural death,0
1237,0,108.74540484493927,1748,2.1803453671411358e+07,108.74540484493927,9,13,CHD,0
1238,308.0615959298709,0,315,0,308.0615959298709,9,14,CHD death,0
1243,0,87.84239796399474,2824,2.174764822320607e+07,87.84239796399474,9,19,T2DM,0
1244,1010.3429402648695,0,534,0,1010.3429402648695,9,20,T2DM death,0
1249,0,0,8366,2.7048147799038705e+06,0,9,25,Overweight,0
1250,0,104.54896785748555,9243,7.980571213121839e+06,104.54896785748555,9,26,Obese,0
1363,0,0,7790,955279.7725325419,0,10,3,Steatosis,0
1364,0,255.59906545734162,1862,454966.33651407843,255.59906545734162,10,4,NASH,0
1365,0,28.761072070151076,162,424151.68656031997,28.761072070151076,10,5,Cirrhosis,0
1366,0,2.959568126348119,11,429278.3101360175,2.959568126348119,10,6,HCC,0
1367,231.79792844873424,0,83,0,231.79792844873424,10,7,Liver death,0
1368,0,0,1605,0,0,10,8,Natural death,0
1373,0,107.93363758743371,1787,2.1640694336279694e+07,107.93363758743371,10,13,CHD,0
1374,230.7622580104637,0,357,0,230.7622580104637,10,14,CHD death,0
1379,0,88.36424834381997,2926,2.1876845726333193e+07,88.36424834381997,10,19,T2DM,0
1380,715.8144813745794,0,612,0,715.8144813745794,10,20,T2DM death,0
1385,0,0,8358,2.623522618183303e+06,0,10,25,Overweight,0
1386,0,102.81067457835996,9362,7.847881492817396e+06,102.81067457835996,10,26,Obese,0
1499,0,0,7938,945076.5649714699,0,11,3,Steatosis,0
1500,0,262.8144687734594,1972,467809.7544167549,262.8144687734594,11,4,NASH,0
1501,0,31.025967713215923,180,457553.05993562215,31.025967713215923,11,5,Cirrhosis,0
1502,0,2.0897215366977,8,303109.1333705331,2.0897215366977,11,6,HCC,0
1503,187.78606814637018,0,96,0,187.78606814637018,11,7,Liver death,0
1504,0,0,1773,0,0,11,8,Natural death,0
1509,0,106.4905036149879,1816,2.1351345974803306e+07,106.4905036149879,11,13,CHD,0
1510,336.25013275906724,0,413,0,336.25013275906724,11,14,CHD death,0
1515,0,89.45554144529605,3051,2.2147023442667373e+07,89.45554144529605,11,19,T2DM,0
1516,637.5766112155085,0,689,0,637.5766112155085,11,20,T2DM death,0
1521,0,0,8400,2.5599088824548773e+06,0,11,25,Overweight,0
1522,0,100.61582725415006,9437,7.680341480400402e+06,100.61582725415006,11,26,Obese,0
1635,0,0,8027,927837.5354416143,0,12,3,Steatosis,0
1636,0,267.96941886893427,2071,476985.5655867123,267.96941886893427,12,4,NASH,0
1637,0,33.469220834105464,200,493584.7464246202,33.469220834105464,12,5,Cirrhosis,0
1638,0,1.268034913044721,5,183925.44500639144,1.268034913044721,12,6,HCC,0
1639,231.304714107329,0,113,0,231.304714107329,12,7,Liver death,0
1640,0,0,1932,0,0,12,8,Natural death,0
1645,0,103.73043153976926,1822,2.079795152372344e+07,103.73043153976926,12,13,CHD,0
1646,330.6389487442366,0,463,0,330.6389487442366,12,14,CHD death,0
1651,0,89.46892050754175,3143,2.215033577413954e+07,89.46892050754175,12,19,T2DM,0
1652,865.0641275166486,0,783,0,865.0641275166486,12,20,T2DM death,0
1657,0,0,8447,2.4992545457808566e+06,0,12,25,Overweight,0
1658,0,98.68934580383898,9534,7.533286729690242e+06,98.68934580383898,12,26,Obese,0
1771,0,0,8112,910352.0868890107,0,13,3,Steatosis,0
1772,0,278.6310121986356,2218,495963.2017135802,278.6310121986356,13,4,NASH,0
1773,0,33.3067488883089,205,491188.7039662484,33.3067488883089,13,5,Cirrhosis,0
1774,0,1.231101857324972,5,178568.39321008878,1.231101857324972,13,6,HCC,0
1775,373.05146332774666,0,136,0,373.05146332774666,13,7,Liver death,0
1776,0,0,2114,0,0,13,8,Natural death,0
1781,0,102.80956735048663,1860,2.061331825377247e+07,102.80956735048663,13,13,CHD,0
1782,206.73852114399781,0,507,0,206.73852114399781,13,14,CHD death,0
1787,0,90.75984386532211,3284,2.246993710241489e+07,90.75984386532211,13,19,T2DM,0
1788,810.9705416562398,0,875,0,810.9705416562398,13,20,T2DM death,0
1793,0,0,8353,2.399458556654671e+06,0,13,25,Overweight,0
1794,0,97.21182257881615,9673,7.420502456849334e+06,97.21182257881615,13,26,Obese,0
1907,0,0,8187,892008.5472511407,0,14,3,Steatosis,0
1908,0,282.2240635872699,2314,502358.8331853329,282.2240635872699,14,4,NASH,0
1909,0,36.280143236140574,230,535038.6072092695,36.280143236140574,14,5,Cirrhosis,0
1910,0,0.956195617339784,4,138693.8976389039,0.956195617339784,14,6,HCC,0
1911,289.31554377170096,0,157,0,289.31554377170096,14,7,Liver death,0
1912,0,0,2281,0,0,14,8,Natural death,0
1917,0,100.56641048899517,1874,2.0163565303042144e+07,100.56641048899517,14,13,CHD,0
1918,188.3988082810061,0,549,0,188.3988082810061,14,14,CHD death,0
1923,0,90.77272323486747,3383,2.2473125722084828e+07,90.77272323486747,14,19,T2DM,0
1924,855.9486743320077,0,972,0,855.9486743320077,14,20,T2DM death,0
1929,0,0,8366,2.3331969892772194e+06,0,14,25,Overweight,0
1930,0,95.51223365448001,9789,7.2907671689575985e+06,95.51223365448001,14,26,Obese,0
2043,0,0,8303,878298.2929160508,0,15,3,Steatosis,0
2044,0,290.34471638066213,2452,516813.59515756293,290.34471638066213,15,4,NASH,0
2045,0,35.223440035087684,230,519454.9584556023,35.223440035087684,15,5,Cirrhosis,0
2046,0,2.3208631488829705,10,336635.6738808348,2.3208631488829705,15,6,HCC,0
2047,211.99889579396037,0,173,0,211.99889579396037,15,7,Liver death,0
2048,0,0,2445,0,0,15,8,Natural death,0
2053,0,99.20032202082827,1904,1.9889664565175723e+07,99.20032202082827,15,13,CHD,0
2054,298.7105263596883,0,600,0,298.7105263596883,15,14,CHD death,0
2059,0,91.48937262004229,3512,2.265055073653978e+07,91.48937262004229,15,19,T2DM,0
2060,736.8010778495835,0,1064,0,736.8010778495835,15,20,T2DM death,0
2065,0,0,8359,2.263344423843308e+06,0,15,25,Overweight,0
2066,0,93.73445248242841,9895,7.155063206158076e+06,93.73445248242841,15,26,Obese,0
2179,0,0,8368,859392.2789775811,0,16,3,Steatosis,0
2180,0,296.2583878874262,2577,527339.9304396478,296.2583878874262,16,4,NASH,0
2181,0,36.427787288292514,245,537215.9764526043,36.427787288292514,16,5,Cirrhosis,0
2182,0,3.379897789635395,15,490246.12701092433,3.379897789635395,16,6,HCC,0
2183,241.72618659004877,0,192,0,241.72618659004877,16,7,Liver death,0
2184,0,0,2591,0,0,16,8,Natural death,0
2189,0,98.58724994829323,1949,1.976674361463213e+07,98.58724994829323,16,13,CHD,0
2190,209.435395603411,0,642,0,209.435395603411,16,14,CHD death,0
2195,0,91.80906036743907,3630,2.2729697672787227e+07,91.80906036743907,16,19,T2DM,0
2196,813.0588263299521,0,1172,0,813.0588263299521,16,20,T2DM death,0
2201,0,0,8393,2.206359722653836e+06,0,16,25,Overweight,0
2202,0,91.49176384023143,9948,6.983871306473993e+06,91.49176384023143,16,26,Obese,0
2315,0,0,8385,836056.4818388717,0,17,3,Steatosis,0
2316,0,298.45606926506537,2674,531251.8032918212,298.45606926506537,17,4,NASH,0
2317,0,39.264347701270324,272,579047.9318213126,39.264347701270324,17,5,Cirrhosis,0
2318,0,2.843926942735283,13,412504.83178912714,2.843926942735283,17,6,HCC,0
2319,362.6920319572871,0,222,0,362.6920319572871,17,7,Liver death,0
2320,0,0,2734,0,0,17,8,Natural death,0
2325,0,97.33641319547307,1982,1.9515950845691577e+07,97.33641319547307,17,13,CHD,0
2326,170.36838056006192,0,688,0,170.36838056006192,17,14,CHD death,0
2331,0,91.86062607574377,3741,2.2742464092087377e+07,91.86062607574377,17,19,T2DM,0
2332,779.8670956830641,0,1277,0,779.8670956830641,17,20,T2DM death,0
2337,0,0,8462,2.1597072887941767e+06,0,17,25,Overweight,0
2338,0,89.15733288292334,9985,6.805676410062176e+06,89.15733288292334,17,26,Obese,0
2451,0,0,8410,814125.4334500565,0,18,3,Steatosis,0
2452,0,302.98348340551,2796,539310.6004618026,302.98348340551,18,4,NASH,0
2453,0,40.64342102144623,290,599385.7089812263,40.64342102144623,18,5,Cirrhosis,0
2454,0,2.5487022638404326,12,369683.19503133144,2.5487022638404326,18,6,HCC,0
2455,258.7225926349928,0,245,0,258.7225926349928,18,7,Liver death,0
2456,0,0,2877,0,0,18,8,Natural death,0
2461,0,95.88408635784931,2011,1.9224759314749073e+07,95.88408635784931,18,13,CHD,0
2462,189.7206300475494,0,733,0,189.7206300475494,18,14,CHD death,0
2467,0,91.44986456208947,3836,2.2640769499156937e+07,91.44986456208947,18,19,T2DM,0
2468,828.5240743970378,0,1395,0,828.5240743970378,18,20,T2DM death,0
2473,0,0,8535,2.1148918993494697e+06,0,18,25,Overweight,0
2474,0,87.04598445995964,10041,6.644510147107738e+06,87.04598445995964,18,26,Obese,0
2587,0,0,8469,795958.151517412,0,19,3,Steatosis,0
2588,0,298.0513800879926,2833,530531.4565566306,298.0513800879926,19,4,NASH,0
2589,0,43.13345987210734,317,636107.3644025754,43.13345987210734,19,5,Cirrhosis,0
2590,0,2.2682625325440755,11,329006.07972044055,2.2682625325440755,19,6,HCC,0
2591,187.59569643451454,0,264,0,187.59569643451454,19,7,Liver death,0
2592,0,0,3039,0,0,19,8,Natural death,0
2597,0,94.48007814127783,2041,1.89432556673253e+07,94.48007814127783,19,13,CHD,0
2598,173.74849673914943,0,777,0,173.74849673914943,19,14,CHD death,0
2603,0,90.56848254944592,3913,2.2422560679663666e+07,90.56848254944592,19,19,T2DM,0
2604,900.3367137588549,0,1521,0,900.3367137588549,19,20,T2DM death,0
2609,0,0,8531,2.0523308129688432e+06,0,19,25,Overweight,0
2610,0,84.77157783965234,10072,6.470897108427446e+06,84.77157783965234,19,26,Obese,0
2723,0,0,8546,779800.9603118601,0,20,3,Steatosis,0
2724,0,299.48239932898764,2932,533078.6708056345,299.48239932898764,20,4,NASH,0
2725,0,41.48083182702449,314,611735.3600882308,41.48083182702449,20,5,Cirrhosis,0
2726,0,2.802795715411919,14,406538.84519736696,2.802795715411919,20,6,HCC,0
2727,308.66235716007634,0,293,0,308.66235716007634,20,7,Liver death,0
2728,0,0,3211,0,0,20,8,Natural death,0
2733,0,92.80685812767342,2065,1.8607775054598905e+07,92.80685812767342,20,13,CHD,0
2734,180.38777891682173,0,825,0,180.38777891682173,20,14,CHD death,0
2739,0,89.48109178315126,3982,2.215334908691692e+07,89.48109178315126,20,19,T2DM,0
2740,769.2025021421184,0,1631,0,769.2025021421184,20,20,T2DM death,0
2745,0,0,8539,1.9944227178250742e+06,0,20,25,Overweight,0
2746,0,82.74375922524975,10126,6.316106954193646e+06,82.74375922524975,20,26,Obese,0
2859,0,0,8584,760454.7228497774,0,21,3,Steatosis,0
2860,0,299.4863660358359,3020,533085.7315437727,299.4863660358359,21,4,NASH,0
2861,0,42.19650507417894,329,622289.695965085,42.19650507417894,21,5,Cirrhosis,0
2862,0,3.8873726982134817,20,563854.1542265841,3.8873726982134817,21,6,HCC,0
2863,280.8674664927361,0,320,0,280.8674664927361,21,7,Liver death,0
2864,0,0,3334,0,0,21,8,Natural death,0
2869,0,91.23822390980686,2091,1.829326389391597e+07,91.23822390980686,21,13,CHD,0
2870,174.1598735012125,0,871,0,174.1598735012125,21,14,CHD death,0
2875,0,88.96926760023318,4078,2.2026633827090114e+07,88.96926760023318,21,19,T2DM,0
