Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,4508,0,0,2,3,Steatosis,0
276,0,0,826,0,0,2,4,NASH,0
277,0,0,54,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1469,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2218,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7587,0,0,2,25,Overweight,0
298,0,0,8302,0,0,2,26,Obese,0
411,0,0,5129,0,0,3,3,Steatosis,0
412,0,0,966,0,0,3,4,NASH,0
413,0,0,63,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,258,0,0,3,8,Natural death,0
421,0,0,1488,0,0,3,13,CHD,0
422,0,0,54,0,0,3,14,CHD death,0
427,0,0,2313,0,0,3,19,T2DM,0
428,0,0,57,0,0,3,20,T2DM death,0
433,0,0,7887,0,0,3,25,Overweight,0
434,0,0,8182,0,0,3,26,Obese,0
547,0,0,5623,0,0,4,3,Steatosis,0
548,0,0,1163,0,0,4,4,NASH,0
549,0,0,78,0,0,4,5,Cirrhosis,0
550,0,0,5,0,0,4,6,HCC,0
551,0,0,10,0,0,4,7,Liver death,0
552,0,0,489,0,0,4,8,Natural death,0
557,0,0,1508,0,0,4,13,CHD,0
558,0,0,100,0,0,4,14,CHD death,0
563,0,0,2431,0,0,4,19,T2DM,0
564,0,0,121,0,0,4,20,T2DM death,0
569,0,0,8114,0,0,4,25,Overweight,0
570,0,0,8168,0,0,4,26,Obese,0
683,0,0,5973,0,0,5,3,Steatosis,0
684,0,0,1377,0,0,5,4,NASH,0
685,0,0,95,0,0,5,5,Cirrhosis,0
686,0,0,5,0,0,5,6,HCC,0
687,0,0,20,0,0,5,7,Liver death,0
688,0,0,705,0,0,5,8,Natural death,0
693,0,0,1525,0,0,5,13,CHD,0
694,0,0,152,0,0,5,14,CHD death,0
699,0,0,2541,0,0,5,19,T2DM,0
700,0,0,177,0,0,5,20,T2DM death,0
705,0,0,8316,0,0,5,25,Overweight,0
706,0,0,8157,0,0,5,26,Obese,0
819,0,0,6351,0,0,6,3,Steatosis,0
820,0,0,1526,0,0,6,4,NASH,0
821,0,0,108,0,0,6,5,Cirrhosis,0
822,0,0,6,0,0,6,6,HCC,0
823,0,0,36,0,0,6,7,Liver death,0
824,0,0,920,0,0,6,8,Natural death,0
829,0,0,1546,0,0,6,13,CHD,0
830,0,0,206,0,0,6,14,CHD death,0
835,0,0,2652,0,0,6,19,T2DM,0
836,0,0,235,0,0,6,20,T2DM death,0
841,0,0,8482,0,0,6,25,Overweight,0
842,0,0,8139,0,0,6,26,Obese,0
955,0,0,6694,1.0417780281188419e+06,0,7,3,Steatosis,0
956,0,321.14999356681676,1706,373104.5942500966,321.14999356681676,7,4,NASH,0
957,0,27.3225207731524,127,399944.46859805175,27.3225207731524,7,5,Cirrhosis,0
958,0,2.064289189506545,7,513900.7576406975,2.064289189506545,7,6,HCC,0
959,155.61378774,0,45,0,155.61378774,7,7,Liver death,0
960,0,0,1105,0,0,7,8,Natural death,0
965,0,92.65501209272095,1574,3.482904992394509e+07,92.65501209272095,7,13,CHD,0
966,399.72476072000006,0,253,0,399.72476072000006,7,14,CHD death,0
971,0,94.4313995924839,2767,2.487243135054421e+07,94.4313995924839,7,19,T2DM,0
972,551.085474899,0,295,0,551.085474899,7,20,T2DM death,0
977,0,0,8600,3.1203372203438133e+06,0,7,25,Overweight,0
978,0,100.45201604412274,8162,6.054693796174373e+06,100.45201604412274,7,26,Obese,0
1091,0,0,6895,1.0418052253544066e+06,0,8,3,Steatosis,0
1092,0,356.39063013196943,1950,414046.34629788034,356.39063013196943,8,4,NASH,0
1093,0,30.704155291288323,147,449444.51405790076,30.704155291288323,8,5,Cirrhosis,0
1094,0,1.7178550814201488,6,427656.6637786666,1.7178550814201488,8,6,HCC,0
1095,187.11859284951458,0,57,0,187.11859284951458,8,7,Liver death,0
1096,0,0,1300,0,0,8,8,Natural death,0
1101,0,90.98504783534555,1592,3.420130980306301e+07,90.98504783534555,8,13,CHD,0
1102,364.0408356320388,0,303,0,364.0408356320388,8,14,CHD death,0
1107,0,94.9280738778025,2865,2.500325115326419e+07,94.9280738778025,8,19,T2DM,0
1108,783.8960538631068,0,378,0,783.8960538631068,8,20,T2DM death,0
1113,0,0,8772,3.0900426842230214e+06,0,8,25,Overweight,0
1114,0,97.22750879058135,8137,5.860338273678721e+06,97.22750879058135,8,26,Obese,0
1227,0,0,7128,1.0456412971727779e+06,0,9,3,Steatosis,0
1228,0,378.83694066802406,2135,440123.94789439306,378.83694066802406,9,4,NASH,0
1229,0,36.29908062308033,179,531342.5006034209,36.29908062308033,9,5,Cirrhosis,0
1230,0,1.389850389498502,5,346000.53703775606,1.389850389498502,9,6,HCC,0
1231,162.09044048166652,0,68,0,162.09044048166652,9,7,Liver death,0
1232,0,0,1487,0,0,9,8,Natural death,0
1237,0,87.94659024431262,1585,3.305915258199442e+07,87.94659024431262,9,13,CHD,0
1238,412.5770511160338,0,357,0,412.5770511160338,9,14,CHD death,0
1243,0,96.60245204257889,3003,2.5444268189312447e+07,96.60245204257889,9,19,T2DM,0
1244,650.6405394862854,0,446,0,650.6405394862854,9,20,T2DM death,0
1249,0,0,8861,3.030479617948106e+06,0,9,25,Overweight,0
1250,0,94.82486888420354,8174,5.715520384418973e+06,94.82486888420354,9,26,Obese,0
1363,0,0,7315,1.0418186842561152e+06,0,10,3,Steatosis,0
1364,0,399.84563301904114,2321,464531.3581150889,399.84563301904114,10,4,NASH,0
1365,0,40.754513689741415,207,596560.7074085167,40.754513689741415,10,5,Cirrhosis,0
1366,0,3.2384863444625296,12,806214.8435831208,3.2384863444625296,10,6,HCC,0
1367,187.03823216686328,0,82,0,187.03823216686328,10,7,Liver death,0
1368,0,0,1687,0,0,10,8,Natural death,0
1373,0,84.84633220103447,1575,3.189376455033145e+07,84.84633220103447,10,13,CHD,0
1374,347.7153348539935,0,410,0,347.7153348539935,10,14,CHD death,0
1379,0,96.56840949200952,3092,2.5435301669642497e+07,96.56840949200952,10,19,T2DM,0
1380,795.4022357871636,0,533,0,795.4022357871636,10,20,T2DM death,0
1385,0,0,8937,2.9674483194725993e+06,0,10,25,Overweight,0
1386,0,91.75888108396549,8147,5.530719540748407e+06,91.75888108396549,10,26,Obese,0
1499,0,0,7432,1.027652510985148e+06,0,11,3,Steatosis,0
1500,0,421.48345633073126,2520,489669.6780555496,421.48345633073126,11,4,NASH,0
1501,0,45.30190771759648,237,663125.030044646,45.30190771759648,11,5,Cirrhosis,0
1502,0,3.6681884160578817,14,913188.3341556386,3.6681884160578817,11,6,HCC,0
1503,185.63378461249008,0,97,0,185.63378461249008,11,7,Liver death,0
1504,0,0,1883,0,0,11,8,Natural death,0
1509,0,82.32277816885662,1574,3.0945159748632457e+07,82.32277816885662,11,13,CHD,0
1510,365.0868258987682,0,467,0,365.0868258987682,11,14,CHD death,0
1515,0,97.60663602745309,3219,2.5708761751142867e+07,97.60663602745309,11,19,T2DM,0
1516,689.1704718082127,0,603,0,689.1704718082127,11,20,T2DM death,0
1521,0,0,9007,2.9035836631488907e+06,0,11,25,Overweight,0
1522,0,89.62210038171841,8196,5.401926178791937e+06,89.62210038171841,11,26,Obese,0
1635,0,0,7559,1.014770205270288e+06,0,12,3,Steatosis,0
1636,0,438.2739438421344,2699,509176.4759870667,438.2739438421344,12,4,NASH,0
1637,0,48.621932006104565,262,711723.2308045418,48.621932006104565,12,5,Cirrhosis,0
1638,0,2.798201981736248,11,696606.9123239961,2.798201981736248,12,6,HCC,0
1639,320.0670288594584,0,120,0,320.0670288594584,12,7,Liver death,0
1640,0,0,2038,0,0,12,8,Natural death,0
1645,0,79.06179643040787,1557,2.9719355626393784e+07,79.06179643040787,12,13,CHD,0
1646,402.1091327143467,0,532,0,402.1091327143467,12,14,CHD death,0
1651,0,98.11975554113097,3333,2.584391308781468e+07,98.11975554113097,12,19,T2DM,0
1652,618.040902143549,0,672,0,618.040902143549,12,20,T2DM death,0
1657,0,0,9141,2.860952620975266e+06,0,12,25,Overweight,0
1658,0,87.09667888331873,8204,5.249707691983193e+06,87.09667888331873,12,26,Obese,0
1771,0,0,7697,1.0032002319574306e+06,0,13,3,Steatosis,0
1772,0,449.4721216034913,2851,522186.25849886826,449.4721216034913,13,4,NASH,0
1773,0,51.52995091434816,286,754290.5358708184,51.52995091434816,13,5,Cirrhosis,0
1774,0,2.9636737670639874,12,737800.7897518052,2.9636737670639874,13,6,HCC,0
1775,269.31239487146695,0,138,0,269.31239487146695,13,7,Liver death,0
1776,0,0,2210,0,0,13,8,Natural death,0
1781,0,77.99150841043914,1582,2.9317034003002763e+07,77.99150841043914,13,13,CHD,0
1782,340.0831753277713,0,586,0,340.0831753277713,13,14,CHD death,0
1787,0,98.49159991573377,3446,2.5941853748657983e+07,98.49159991573377,13,19,T2DM,0
1788,793.6018323959445,0,757,0,793.6018323959445,13,20,T2DM death,0
1793,0,0,9194,2.7937287137165237e+06,0,13,25,Overweight,0
1794,0,84.99278283290627,8246,5.12289643556493e+06,84.99278283290627,13,26,Obese,0
1907,0,0,7787,985369.4361124574,0,14,3,Steatosis,0
1908,0,461.6359849059841,3016,536317.9520157017,461.6359849059841,14,4,NASH,0
1909,0,53.87746921589814,308,788653.2861980196,53.87746921589814,14,5,Cirrhosis,0
1910,0,2.8773531719067846,12,716311.4463609761,2.8773531719067846,14,6,HCC,0
1911,382.7900967782286,0,170,0,382.7900967782286,14,7,Liver death,0
1912,0,0,2371,0,0,14,8,Natural death,0
1917,0,76.29427197123002,1594,2.867904225988064e+07,76.29427197123002,14,13,CHD,0
1918,283.6705120760306,0,637,0,283.6705120760306,14,14,CHD death,0
1923,0,97.50984174810131,3514,2.5683266957265813e+07,97.50984174810131,14,19,T2DM,0
1924,745.8882272094581,0,849,0,745.8882272094581,14,20,T2DM death,0
1929,0,0,9280,2.7377291715458147e+06,0,14,25,Overweight,0
1930,0,82.8975287798005,8284,4.996606071107316e+06,82.8975287798005,14,26,Obese,0
2043,0,0,7917,972640.4632197188,0,15,3,Steatosis,0
2044,0,468.2518440289182,3151,544004.1032941483,468.2518440289182,15,4,NASH,0
2045,0,55.365196584234866,326,810430.4983626036,55.365196584234866,15,5,Cirrhosis,0
2046,0,2.7935467688415376,12,695448.0061757051,2.7935467688415376,15,6,HCC,0
2047,353.30817826842247,0,200,0,353.30817826842247,15,7,Liver death,0
2048,0,0,2505,0,0,15,8,Natural death,0
2053,0,75.18737258009278,1618,2.826295840986778e+07,75.18737258009278,15,13,CHD,0
2054,377.6954729416279,0,712,0,377.6954729416279,15,14,CHD death,0
2059,0,97.28300074387886,3611,2.5623518956822507e+07,97.28300074387886,15,19,T2DM,0
2060,774.9797630511017,0,940,0,774.9797630511017,15,20,T2DM death,0
2065,0,0,9313,2.6674413892083513e+06,0,15,25,Overweight,0
2066,0,80.9882426186299,8336,4.881524826048352e+06,80.9882426186299,15,26,Obese,0
2179,0,0,8058,961129.0994338588,0,16,3,Steatosis,0
2180,0,472.79220739994196,3277,549278.9918734974,472.79220739994196,16,4,NASH,0
2181,0,58.20452199128861,353,851992.2744713841,58.20452199128861,16,5,Cirrhosis,0
2182,0,2.7121813289723655,12,675192.239005539,2.7121813289723655,16,6,HCC,0
2183,479.71484440311275,0,238,0,479.71484440311275,16,7,Liver death,0
2184,0,0,2646,0,0,16,8,Natural death,0
2189,0,71.77932109336247,1591,2.6981870720234297e+07,71.77932109336247,16,13,CHD,0
2190,363.0969351781228,0,779,0,363.0969351781228,16,14,CHD death,0
2195,0,96.75124814190683,3699,2.5483459822408304e+07,96.75124814190683,16,19,T2DM,0
2196,786.8541031943523,0,1044,0,786.8541031943523,16,20,T2DM death,0
2201,0,0,9381,2.608658287679985e+06,0,16,25,Overweight,0
2202,0,79.11985202619874,8388,4.768908540439325e+06,79.11985202619874,16,26,Obese,0
2315,0,0,8114,939619.9775904336,0,17,3,Steatosis,0
2316,0,476.67084853896995,3403,553785.1069517263,476.67084853896995,17,4,NASH,0
2317,0,61.471812878942515,384,899818.5687092957,61.471812878942515,17,5,Cirrhosis,0
2318,0,3.291482195354814,15,819408.0570455564,3.291482195354814,17,6,HCC,0
2319,480.91005463332334,0,277,0,480.91005463332334,17,7,Liver death,0
2320,0,0,2785,0,0,17,8,Natural death,0
2325,0,70.345688231704,1606,2.6442967649762042e+07,70.345688231704,17,13,CHD,0
2326,404.83701168634013,0,854,0,404.83701168634013,17,14,CHD death,0
2331,0,95.88860620525463,3776,2.525624723801168e+07,95.88860620525463,17,19,T2DM,0
2332,935.1364322967287,0,1163,0,935.1364322967287,17,20,T2DM death,0
2337,0,0,9454,2.5523864547253246e+06,0,17,25,Overweight,0
2338,0,76.87033694782627,8394,4.633320171724685e+06,76.87033694782627,17,26,Obese,0
2451,0,0,8140,915175.5706409675,0,18,3,Steatosis,0
2452,0,481.9623710723263,3544,559932.674777872,481.9623710723263,18,4,NASH,0
2453,0,63.877718176692355,411,935035.9823511298,63.877718176692355,18,5,Cirrhosis,0
2454,0,4.0477774570706435,19,1.0076862837453444e+06,4.0477774570706435,18,6,HCC,0
2455,385.0325566633223,0,312,0,385.0325566633223,18,7,Liver death,0
2456,0,0,2904,0,0,18,8,Natural death,0
2461,0,68.42436274456807,1609,2.5720740758845534e+07,68.42436274456807,18,13,CHD,0
2462,242.45770607704642,0,905,0,242.45770607704642,18,14,CHD death,0
2467,0,95.41326569809463,3870,2.5131046571886245e+07,95.41326569809463,18,19,T2DM,0
2468,761.4289151784632,0,1270,0,761.4289151784632,18,20,T2DM death,0
2473,0,0,9434,2.4728027807491412e+06,0,18,25,Overweight,0
2474,0,75.44937083344898,8486,4.547672167274536e+06,75.44937083344898,18,26,Obese,0
2587,0,0,8161,890812.2220364884,0,19,3,Steatosis,0
2588,0,483.7685812775866,3664,562031.0877911901,483.7685812775866,19,4,NASH,0
2589,0,67.9020461094463,450,993943.7130796488,67.9020461094463,19,5,Cirrhosis,0
2590,0,3.516209339305108,17,875353.4401466969,3.516209339305108,19,6,HCC,0
2591,370.62192360801487,0,347,0,370.62192360801487,19,7,Liver death,0
2592,0,0,3034,0,0,19,8,Natural death,0
2597,0,66.39013274437359,1608,2.495607302384245e+07,66.39013274437359,19,13,CHD,0
2598,291.0780069146152,0,975,0,291.0780069146152,19,14,CHD death,0
2603,0,94.04649179094181,3929,2.4771049893615987e+07,94.04649179094181,19,19,T2DM,0
2604,846.0590906160422,0,1386,0,846.0590906160422,19,20,T2DM death,0
2609,0,0,9495,2.4163027762848074e+06,0,19,25,Overweight,0
2610,0,73.42445790888378,8506,4.42562157829782e+06,73.42445790888378,19,26,Obese,0
2723,0,0,8256,874933.9095762686,0,20,3,Steatosis,0
2724,0,479.03590649360405,3737,556532.7762845135,479.03590649360405,20,4,NASH,0
2725,0,71.93075434679221,491,1.0529155622914913e+06,71.93075434679221,20,5,Cirrhosis,0
2726,0,3.815418472118622,19,949840.968748558,3.815418472118622,20,6,HCC,0
2727,283.03467653669827,0,378,0,283.03467653669827,20,7,Liver death,0
2728,0,0,3160,0,0,20,8,Natural death,0
2733,0,65.53873052036764,1635,2.4636030644099936e+07,65.53873052036764,20,13,CHD,0
2734,270.83460182483446,0,1046,0,270.83460182483446,20,14,CHD death,0
2739,0,93.32909409800456,4016,2.45820934136175e+07,93.32909409800456,20,19,T2DM,0
2740,755.8477674735456,0,1500,0,755.8477674735456,20,20,T2DM death,0
2745,0,0,9563,2.362725752400705e+06,0,20,25,Overweight,0
2746,0,71.70491439149484,8556,4.321976973868039e+06,71.70491439149484,20,26,Obese,0
2859,0,0,8259,849759.0642158758,0,21,3,Steatosis,0
2860,0,479.1466702693397,3850,556661.4590633704,479.1466702693397,21,4,NASH,0
2861,0,74.10262989080826,521,1.0847072705868178e+06,74.10262989080826,21,5,Cirrhosis,0
2862,0,3.8992523986904644,20,970711.2608569831,3.8992523986904644,21,6,HCC,0
2863,391.5191403463531,0,420,0,391.5191403463531,21,7,Liver death,0
2864,0,0,3310,0,0,21,8,Natural death,0
2869,0,63.39633147333615,1629,2.3830702128343828e+07,63.39633147333615,21,13,CHD,0
