Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6380,0,0,2,3,Steatosis,0
276,0,0,680,0,0,2,4,NASH,0
277,0,0,66,0,0,2,5,Cirrhosis,0
278,0,0,7,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1472,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2134,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7542,0,0,2,25,Overweight,0
298,0,0,8327,0,0,2,26,Obese,0
411,0,0,6603,0,0,3,3,Steatosis,0
412,0,0,828,0,0,3,4,NASH,0
413,0,0,66,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,160,0,0,3,8,Natural death,0
421,0,0,1529,0,0,3,13,CHD,0
422,0,0,38,0,0,3,14,CHD death,0
427,0,0,2201,0,0,3,19,T2DM,0
428,0,0,100,0,0,3,20,T2DM death,0
433,0,0,7697,0,0,3,25,Overweight,0
434,0,0,8313,0,0,3,26,Obese,0
547,0,0,6787,0,0,4,3,Steatosis,0
548,0,0,958,0,0,4,4,NASH,0
549,0,0,72,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,15,0,0,4,7,Liver death,0
552,0,0,328,0,0,4,8,Natural death,0
557,0,0,1581,0,0,4,13,CHD,0
558,0,0,81,0,0,4,14,CHD death,0
563,0,0,2294,0,0,4,19,T2DM,0
564,0,0,174,0,0,4,20,T2DM death,0
569,0,0,7867,0,0,4,25,Overweight,0
570,0,0,8306,0,0,4,26,Obese,0
683,0,0,6919,0,0,5,3,Steatosis,0
684,0,0,1092,0,0,5,4,NASH,0
685,0,0,79,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,22,0,0,5,7,Liver death,0
688,0,0,487,0,0,5,8,Natural death,0
693,0,0,1636,0,0,5,13,CHD,0
694,0,0,120,0,0,5,14,CHD death,0
699,0,0,2379,0,0,5,19,T2DM,0
700,0,0,256,0,0,5,20,T2DM death,0
705,0,0,8049,0,0,5,25,Overweight,0
706,0,0,8257,0,0,5,26,Obese,0
819,0,0,7069,0,0,6,3,Steatosis,0
820,0,0,1204,0,0,6,4,NASH,0
821,0,0,88,0,0,6,5,Cirrhosis,0
822,0,0,3,0,0,6,6,HCC,0
823,0,0,31,0,0,6,7,Liver death,0
824,0,0,656,0,0,6,8,Natural death,0
829,0,0,1680,0,0,6,13,CHD,0
830,0,0,169,0,0,6,14,CHD death,0
835,0,0,2469,0,0,6,19,T2DM,0
836,0,0,335,0,0,6,20,T2DM death,0
841,0,0,8142,0,0,6,25,Overweight,0
842,0,0,8259,0,0,6,26,Obese,0
955,0,0,7211,692610.8437773408,0,7,3,Steatosis,0
956,0,200.00681050766138,1338,288770.92850453395,200.00681050766138,7,4,NASH,0
957,0,15.941896902566953,98,127537.32180969867,15.941896902566953,7,5,Cirrhosis,0
958,0,0.6806299515482682,3,101464.96172022884,0.6806299515482682,7,6,HCC,0
959,131.03723402399999,0,39,0,131.03723402399999,7,7,Liver death,0
960,0,0,789,0,0,7,8,Natural death,0
965,0,112.53648076495303,1739,1.0680460721672606e+07,112.53648076495303,7,13,CHD,0
966,337.300014222,0,217,0,337.300014222,7,14,CHD death,0
971,0,74.47179236530746,2576,1.1502785230768405e+07,74.47179236530746,7,19,T2DM,0
972,899.5108738009999,0,428,0,899.5108738009999,7,20,T2DM death,0
977,0,0,8251,2.2149791869081105e+06,0,7,25,Overweight,0
978,0,72.77896966739385,8270,1.1151836217139183e+07,72.77896966739385,7,26,Obese,0
1091,0,0,7359,686238.9579240384,0,8,3,Steatosis,0
1092,0,213.9187881407462,1474,308857.11801098526,213.9187881407462,8,4,NASH,0
1093,0,15.161701036719084,96,121295.64982891858,15.161701036719084,8,5,Cirrhosis,0
1094,0,1.3216115564044042,6,197019.34314607544,1.3216115564044042,8,6,HCC,0
1095,212.62157119708735,0,51,0,212.62157119708735,8,7,Liver death,0
1096,0,0,956,0,0,8,8,Natural death,0
1101,0,110.38963175132619,1757,1.0476710467447877e+07,110.38963175132619,8,13,CHD,0
1102,400.8191087320389,0,276,0,400.8191087320389,8,14,CHD death,0
1107,0,74.96915418189195,2671,1.1579606883323405e+07,74.96915418189195,8,19,T2DM,0
1108,886.4950767961171,0,508,0,886.4950767961171,8,20,T2DM death,0
1113,0,0,8343,2.174443269174679e+06,0,8,25,Overweight,0
1114,0,70.3430644476787,8233,1.0778585315467034e+07,70.3430644476787,8,26,Obese,0
1227,0,0,7460,675395.5101687942,0,9,3,Steatosis,0
1228,0,227.83699360012895,1617,328952.29928718676,227.83699360012895,9,4,NASH,0
1229,0,15.48676986962608,101,123896.24426295276,15.48676986962608,9,5,Cirrhosis,0
1230,0,0.6415590079633031,3,95640.45783790069,0.6415590079633031,9,6,HCC,0
1231,327.4760120746536,0,70,0,327.4760120746536,9,7,Liver death,0
1232,0,0,1110,0,0,9,8,Natural death,0
1237,0,109.61434056127132,1797,1.0403130175554696e+07,109.61434056127132,9,13,CHD,0
1238,303.53206823734575,0,328,0,303.53206823734575,9,14,CHD death,0
1243,0,75.70137009785175,2778,1.1692703696979413e+07,75.70137009785175,9,19,T2DM,0
1244,879.934447060986,0,600,0,879.934447060986,9,20,T2DM death,0
1249,0,0,8340,2.110350851061007e+06,0,9,25,Overweight,0
1250,0,68.73388199907554,8286,1.053201217500975e+07,68.73388199907554,9,26,Obese,0
1363,0,0,7512,660294.5251553198,0,10,3,Steatosis,0
1364,0,241.17334613242963,1763,348207.3981202761,241.17334613242963,10,4,NASH,0
1365,0,16.226645350276314,109,129815.34773297946,16.226645350276314,10,5,Cirrhosis,0
1366,0,0.6228728232653429,3,92854.81343485505,0.6228728232653429,10,6,HCC,0
1367,117.71774155209857,0,78,0,117.71774155209857,10,7,Liver death,0
1368,0,0,1261,0,0,10,8,Natural death,0
1373,0,108.13912392545927,1826,1.02631223023076e+07,108.13912392545927,10,13,CHD,0
1374,380.2420758881221,0,396,0,380.2420758881221,10,14,CHD death,0
1379,0,75.24261239779052,2844,1.1621844770006023e+07,75.24261239779052,10,19,T2DM,0
1380,955.8979345737771,0,702,0,955.8979345737771,10,20,T2DM death,0
1385,0,0,8472,2.0813127063615194e+06,0,10,25,Overweight,0
1386,0,66.78024572226857,8292,1.0232658778192732e+07,66.78024572226857,10,26,Obese,0
1499,0,0,7596,648231.0779233166,0,11,3,Steatosis,0
1500,0,246.10202731630827,1853,355323.45500930917,246.10202731630827,11,4,NASH,0
1501,0,19.656397680926194,136,157253.82819707127,19.656397680926194,11,5,Cirrhosis,0
1502,0,1.2094617927482385,6,180300.608611369,1.2094617927482385,11,6,HCC,0
1503,198.17244273814256,0,91,0,198.17244273814256,11,7,Liver death,0
1504,0,0,1443,0,0,11,8,Natural death,0
1509,0,105.39191939268655,1833,1.0002394315193336e+07,105.39191939268655,11,13,CHD,0
1510,361.57431840804503,0,457,0,361.57431840804503,11,14,CHD death,0
1515,0,75.00321856319589,2920,1.1584868409192758e+07,75.00321856319589,11,19,T2DM,0
1516,877.9625603756939,0,798,0,877.9625603756939,11,20,T2DM death,0
1521,0,0,8512,2.030232514250068e+06,0,11,25,Overweight,0
1522,0,64.90556106723277,8301,9.945403045838177e+06,64.90556106723277,11,26,Obese,0
1635,0,0,7649,633741.7643208803,0,12,3,Steatosis,0
1636,0,250.2811159132831,1941,361357.24601569993,250.2811159132831,12,4,NASH,0
1637,0,23.01291561730361,164,184106.42364591514,23.01291561730361,12,5,Cirrhosis,0
1638,0,1.1742347502410082,6,175049.13457414467,1.1742347502410082,12,6,HCC,0
1639,279.8311708694786,0,109,0,279.8311708694786,12,7,Liver death,0
1640,0,0,1597,0,0,12,8,Natural death,0
1645,0,103.55034214875434,1855,9.82761638286435e+06,103.55034214875434,12,13,CHD,0
1646,227.32031523962456,0,508,0,227.32031523962456,12,14,CHD death,0
1651,0,73.81617467318276,2960,1.1401519647296725e+07,73.81617467318276,12,19,T2DM,0
1652,853.254302814697,0,898,0,853.254302814697,12,20,T2DM death,0
1657,0,0,8481,1.9639209469389084e+06,0,12,25,Overweight,0
1658,0,63.683139333201964,8389,9.75809279634548e+06,63.683139333201964,12,26,Obese,0
1771,0,0,7695,618983.4925372393,0,13,3,Steatosis,0
1772,0,259.26591290467985,2071,374329.5451240975,259.26591290467985,13,4,NASH,0
1773,0,23.841227995667396,175,190733.03420574937,23.841227995667396,13,5,Cirrhosis,0
1774,0,0.9500281150817218,5,141625.51340950216,0.9500281150817218,13,6,HCC,0
1775,166.8114396856842,0,123,0,166.8114396856842,13,7,Liver death,0
1776,0,0,1760,0,0,13,8,Natural death,0
1781,0,101.23886590106994,1868,9.608241908873998e+06,101.23886590106994,13,13,CHD,0
1782,300.42551260759416,0,564,0,300.42551260759416,13,14,CHD death,0
1787,0,73.62732458053956,3041,1.1372350186116911e+07,73.62732458053956,13,19,T2DM,0
1788,827.510479378742,0,992,0,827.510479378742,13,20,T2DM death,0
1793,0,0,8510,1.9132392175834842e+06,0,13,25,Overweight,0
1794,0,62.13783742676146,8431,9.52130799648629e+06,62.13783742676146,13,26,Obese,0
1907,0,0,7760,606031.138879528,0,14,3,Steatosis,0
1908,0,263.8687266674001,2171,380975.1128456632,263.8687266674001,14,4,NASH,0
1909,0,23.54362598185187,178,188352.17802287565,23.54362598185187,14,5,Cirrhosis,0
1910,0,0.73788591462658,4,110000.39876466188,0.73788591462658,14,6,HCC,0
1911,264.1534893895555,0,145,0,264.1534893895555,14,7,Liver death,0
1912,0,0,1900,0,0,14,8,Natural death,0
1917,0,100.13178614256428,1903,9.503172674469857e+06,100.13178614256428,14,13,CHD,0
1918,326.27530444300925,0,626,0,326.27530444300925,14,14,CHD death,0
1923,0,72.63465101664761,3090,1.121902353119055e+07,72.63465101664761,14,19,T2DM,0
1924,832.3465620243596,0,1091,0,832.3465620243596,14,20,T2DM death,0
1929,0,0,8523,1.860351368631263e+06,0,14,25,Overweight,0
1930,0,60.564128911674274,8464,9.28017048528269e+06,60.564128911674274,14,26,Obese,0
2043,0,0,7838,594293.8728027814,0,15,3,Steatosis,0
2044,0,268.69148512012583,2277,387938.2379152913,268.69148512012583,15,4,NASH,0
2045,0,25.29777636317666,197,202385.6172712263,25.29777636317666,15,5,Cirrhosis,0
2046,0,0.716394091870466,4,106796.50365501152,0.716394091870466,15,6,HCC,0
2047,207.3754050200195,0,160,0,207.3754050200195,15,7,Liver death,0
2048,0,0,2038,0,0,15,8,Natural death,0
2053,0,98.13486175627258,1921,9.313651264817856e+06,98.13486175627258,15,13,CHD,0
2054,313.66966301315466,0,695,0,313.66966301315466,15,14,CHD death,0
2059,0,72.50456727931967,3177,1.1198931020388987e+07,72.50456727931967,15,19,T2DM,0
2060,880.3843570313597,0,1195,0,880.3843570313597,15,20,T2DM death,0
2065,0,0,8551,1.8121000460395222e+06,0,15,25,Overweight,0
2066,0,59.09884980036849,8507,9.055647484524852e+06,59.09884980036849,15,26,Obese,0
2179,0,0,7891,580885.8697218782,0,16,3,Steatosis,0
2180,0,269.572493396473,2353,389210.24249021994,269.572493396473,16,4,NASH,0
2181,0,25.43367196337316,204,203472.80037124857,25.43367196337316,16,5,Cirrhosis,0
2182,0,0.8694103056680413,5,129607.40734831496,0.8694103056680413,16,6,HCC,0
2183,256.6499567566407,0,179,0,256.6499567566407,16,7,Liver death,0
2184,0,0,2184,0,0,16,8,Natural death,0
2189,0,96.3677071470941,1943,9.145936535653712e+06,96.3677071470941,16,13,CHD,0
2190,271.25010865744264,0,746,0,271.25010865744264,16,14,CHD death,0
2195,0,71.6557326724255,3234,1.1067821483886747e+07,71.6557326724255,16,19,T2DM,0
2196,888.9696901494544,0,1310,0,888.9696901494544,16,20,T2DM death,0
2201,0,0,8545,1.7580859665994565e+06,0,16,25,Overweight,0
2202,0,57.8159323377063,8572,8.859067545443173e+06,57.8159323377063,16,26,Obese,0
2315,0,0,7987,570827.9484516685,0,17,3,Steatosis,0
2316,0,270.28546864501936,2430,390239.6400592531,270.28546864501936,17,4,NASH,0
2317,0,26.508538739666488,219,212071.87931326596,26.508538739666488,17,5,Cirrhosis,0
2318,0,1.5193578157305578,9,226498.38177375426,1.5193578157305578,17,6,HCC,0
2319,245.70968701650588,0,201,0,245.70968701650588,17,7,Liver death,0
2320,0,0,2323,0,0,17,8,Natural death,0
2325,0,94.52393662574258,1963,8.970950446706312e+06,94.52393662574258,17,13,CHD,0
2326,308.84304476411194,0,808,0,308.84304476411194,17,14,CHD death,0
2331,0,71.35413935504529,3317,1.102123789771689e+07,71.35413935504529,17,19,T2DM,0
2332,736.4057121701218,0,1411,0,736.4057121701218,17,20,T2DM death,0
2337,0,0,8585,1.7148696533209316e+06,0,17,25,Overweight,0
2338,0,56.420098063889235,8616,8.645185495735044e+06,56.420098063889235,17,26,Obese,0
2451,0,0,8036,557601.903306138,0,18,3,Steatosis,0
2452,0,268.24447805116347,2484,387292.846660746,268.24447805116347,18,4,NASH,0
2453,0,26.911625532577897,229,215296.6279325158,26.911625532577897,18,5,Cirrhosis,0
2454,0,1.475104675466561,9,219901.34152791678,1.475104675466561,18,6,HCC,0
2455,299.4749940398776,0,224,0,299.4749940398776,18,7,Liver death,0
2456,0,0,2453,0,0,18,8,Natural death,0
2461,0,92.19156483585598,1972,8.749592846744642e+06,92.19156483585598,18,13,CHD,0
2462,246.41022886796515,0,871,0,246.41022886796515,18,14,CHD death,0
2467,0,70.82136055593206,3391,1.093894579882872e+07,70.82136055593206,18,19,T2DM,0
2468,830.0067303133576,0,1526,0,830.0067303133576,18,20,T2DM death,0
2473,0,0,8604,1.6686067364251046e+06,0,18,25,Overweight,0
2474,0,54.897588003080784,8635,8.411893063668434e+06,54.897588003080784,18,26,Obese,0
2587,0,0,8053,542506.3098730071,0,19,3,Steatosis,0
2588,0,269.5529263283352,2571,389181.9914500321,269.5529263283352,19,4,NASH,0
2589,0,28.637885312574923,251,229106.93861475392,28.637885312574923,19,5,Cirrhosis,0
2590,0,0.9547603077453469,6,142330.9653902374,0.9547603077453469,19,6,HCC,0
2591,179.785634418694,0,243,0,179.785634418694,19,7,Liver death,0
2592,0,0,2591,0,0,19,8,Natural death,0
2597,0,90.68647794463993,1998,8.606750087534606e+06,90.68647794463993,19,13,CHD,0
2598,286.91285127681664,0,936,0,286.91285127681664,19,14,CHD death,0
2603,0,70.13742435372498,3459,1.0833306186893636e+07,70.13742435372498,19,19,T2DM,0
2604,736.9694928988199,0,1633,0,736.9694928988199,19,20,T2DM death,0
2609,0,0,8576,1.6147345524075157e+06,0,19,25,Overweight,0
2610,0,53.594904079777116,8683,8.21228433299125e+06,53.594904079777116,19,26,Obese,0
2723,0,0,8066,527555.4181022543,0,20,3,Steatosis,0
2724,0,271.2701221862332,2665,391661.2882352374,271.2701221862332,20,4,NASH,0
2725,0,29.354580156393304,265,234840.59386883266,29.354580156393304,20,5,Cirrhosis,0
2726,0,1.699411551003045,11,253339.9060344032,1.699411551003045,20,6,HCC,0
2727,184.5137319919874,0,261,0,184.5137319919874,20,7,Liver death,0
2728,0,0,2746,0,0,20,8,Natural death,0
2733,0,88.26545736178532,2003,8.376979127346623e+06,88.26545736178532,20,13,CHD,0
2734,253.8915694823763,0,1002,0,253.8915694823763,20,14,CHD death,0
2739,0,69.11826946615398,3511,1.0675889272162413e+07,69.11826946615398,20,19,T2DM,0
2740,897.0670314641371,0,1766,0,897.0670314641371,20,20,T2DM death,0
2745,0,0,8618,1.5753811010914757e+06,0,20,25,Overweight,0
2746,0,51.78219757090055,8641,7.934525439329289e+06,51.78219757090055,20,26,Obese,0
2859,0,0,8093,513904.22204916074,0,21,3,Steatosis,0
2860,0,270.7809376455871,2740,390955.0009160841,270.7809376455871,21,4,NASH,0
2861,0,29.2524118063344,272,234023.2333113138,29.2524118063344,21,5,Cirrhosis,0
2862,0,1.6499141271874218,11,245961.07381980884,1.6499141271874218,21,6,HCC,0
2863,228.9842470496599,0,285,0,228.9842470496599,21,7,Liver death,0
2864,0,0,2866,0,0,21,8,Natural death,0
2869,0,86.2935826836073,2017,8.189835101647153e+06,86.2935826836073,21,13,CHD,0
2870,276.353188587897,0,1079,0,276.353188587897,21,14,CHD death,0
