Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5107,0,0,2,3,Steatosis,0
276,0,0,627,0,0,2,4,NASH,0
277,0,0,70,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1512,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2151,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7547,0,0,2,25,Overweight,0
298,0,0,8400,0,0,2,26,Obese,0
411,0,0,5322,0,0,3,3,Steatosis,0
412,0,0,734,0,0,3,4,NASH,0
413,0,0,78,0,0,3,5,Cirrhosis,0
414,0,0,7,0,0,3,6,HCC,0
415,0,0,6,0,0,3,7,Liver death,0
416,0,0,353,0,0,3,8,Natural death,0
421,0,0,1547,0,0,3,13,CHD,0
422,0,0,35,0,0,3,14,CHD death,0
427,0,0,2257,0,0,3,19,T2DM,0
428,0,0,44,0,0,3,20,T2DM death,0
433,0,0,7825,0,0,3,25,Overweight,0
434,0,0,8247,0,0,3,26,Obese,0
547,0,0,5476,0,0,4,3,Steatosis,0
548,0,0,834,0,0,4,4,NASH,0
549,0,0,89,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,14,0,0,4,7,Liver death,0
552,0,0,705,0,0,4,8,Natural death,0
557,0,0,1548,0,0,4,13,CHD,0
558,0,0,78,0,0,4,14,CHD death,0
563,0,0,2300,0,0,4,19,T2DM,0
564,0,0,95,0,0,4,20,T2DM death,0
569,0,0,8039,0,0,4,25,Overweight,0
570,0,0,8167,0,0,4,26,Obese,0
683,0,0,5638,0,0,5,3,Steatosis,0
684,0,0,924,0,0,5,4,NASH,0
685,0,0,100,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,22,0,0,5,7,Liver death,0
688,0,0,1003,0,0,5,8,Natural death,0
693,0,0,1574,0,0,5,13,CHD,0
694,0,0,117,0,0,5,14,CHD death,0
699,0,0,2392,0,0,5,19,T2DM,0
700,0,0,161,0,0,5,20,T2DM death,0
705,0,0,8173,0,0,5,25,Overweight,0
706,0,0,8132,0,0,5,26,Obese,0
819,0,0,5757,0,0,6,3,Steatosis,0
820,0,0,1002,0,0,6,4,NASH,0
821,0,0,104,0,0,6,5,Cirrhosis,0
822,0,0,5,0,0,6,6,HCC,0
823,0,0,28,0,0,6,7,Liver death,0
824,0,0,1311,0,0,6,8,Natural death,0
829,0,0,1564,0,0,6,13,CHD,0
830,0,0,150,0,0,6,14,CHD death,0
835,0,0,2435,0,0,6,19,T2DM,0
836,0,0,232,0,0,6,20,T2DM death,0
841,0,0,8245,0,0,6,25,Overweight,0
842,0,0,8130,0,0,6,26,Obese,0
955,0,0,5881,751055.6050645993,0,7,3,Steatosis,0
956,0,217.46218812336497,1093,221636.80741940718,217.46218812336497,7,4,NASH,0
957,0,18.238473025116125,110,591351.4870030035,18.238473025116125,7,5,Cirrhosis,0
958,0,2.385528108097194,9,353743.36393901997,2.385528108097194,7,6,HCC,0
959,149.08802616,0,37,0,149.08802616,7,7,Liver death,0
960,0,0,1616,0,0,7,8,Natural death,0
965,0,101.72069561445518,1553,1.323030471412335e+07,101.72069561445518,7,13,CHD,0
966,342.63180600100003,0,192,0,342.63180600100003,7,14,CHD death,0
971,0,82.39622553291123,2540,2.0605169512809567e+07,82.39622553291123,7,19,T2DM,0
972,541.1004104430001,0,286,0,541.1004104430001,7,20,T2DM death,0
977,0,0,8415,1.5469891126029573e+06,0,7,25,Overweight,0
978,0,125.15563202513194,8050,1.5463046155710613e+07,125.15563202513194,7,26,Obese,0
1091,0,0,6004,744430.8647079493,0,8,3,Steatosis,0
1092,0,227.35412059193288,1177,231718.63520962073,227.35412059193288,8,4,NASH,0
1093,0,18.673105656782585,116,605443.711318168,18.673105656782585,8,5,Cirrhosis,0
1094,0,0.7720155689634933,3,114480.053054699,0.7720155689634933,8,6,HCC,0
1095,188.80363543495145,0,48,0,188.80363543495145,8,7,Liver death,0
1096,0,0,1906,0,0,8,8,Natural death,0
1101,0,100.41134189088129,1579,1.3060003590670608e+07,100.41134189088129,8,13,CHD,0
1102,235.1399141970874,0,227,0,235.1399141970874,8,14,CHD death,0
1107,0,82.32693736833528,2614,2.058784233104571e+07,82.32693736833528,8,19,T2DM,0
1108,607.5555650766992,0,346,0,607.5555650766992,8,20,T2DM death,0
1113,0,0,8598,1.534593495221587e+06,0,8,25,Overweight,0
1114,0,119.78955505657643,7936,1.4800064438483413e+07,119.78955505657643,8,26,Obese,0
1227,0,0,6116,736230.7278245103,0,9,3,Steatosis,0
1228,0,233.48473586538069,1245,237966.9398388048,233.48473586538069,9,4,NASH,0
1229,0,18.59808815832881,119,603011.3964417648,18.59808815832881,9,5,Cirrhosis,0
1230,0,1.2492161310088887,5,185242.80429562947,1.2492161310088887,9,6,HCC,0
1231,109.49903988311809,0,55,0,109.49903988311809,9,7,Liver death,0
1232,0,0,2190,0,0,9,8,Natural death,0
1237,0,96.68412563015396,1566,1.2575223118349439e+07,96.68412563015396,9,13,CHD,0
1238,331.3344558657744,0,273,0,331.3344558657744,9,14,CHD death,0
1243,0,82.49755870917635,2698,2.063051032497068e+07,82.49755870917635,9,19,T2DM,0
1244,588.4344466518995,0,407,0,588.4344466518995,9,20,T2DM death,0
1249,0,0,8694,1.5065318698472285e+06,0,9,25,Overweight,0
1250,0,115.77296588078823,7900,1.4303812669321999e+07,115.77296588078823,9,26,Obese,0
1363,0,0,6193,723786.2327394275,0,10,3,Steatosis,0
1364,0,240.15780918348122,1319,244768.11607391125,240.15780918348122,10,4,NASH,0
1365,0,18.20813069266105,120,590367.6884475149,18.20813069266105,10,5,Cirrhosis,0
1366,0,1.6979636732159655,7,251786.33593580706,1.6979636732159655,10,6,HCC,0
1367,137.24826915688917,0,65,0,137.24826915688917,10,7,Liver death,0
1368,0,0,2503,0,0,10,8,Natural death,0
1373,0,94.34761357355251,1574,1.227132462168283e+07,94.34761357355251,10,13,CHD,0
1374,304.07371546232497,0,319,0,304.07371546232497,10,14,CHD death,0
1379,0,81.69779900525194,2752,2.0430511063326776e+07,81.69779900525194,10,19,T2DM,0
1380,678.0864572084334,0,481,0,678.0864572084334,10,20,T2DM death,0
1385,0,0,8722,1.4673629362522587e+06,0,10,25,Overweight,0
1386,0,112.1875182462936,7885,1.3860828671205383e+07,112.1875182462936,10,26,Obese,0
1499,0,0,6236,707584.1887510365,0,11,3,Steatosis,0
1500,0,244.65313374351632,1384,249349.7373313722,244.65313374351632,11,4,NASH,0
1501,0,19.003631548165636,129,616160.4515350267,19.003631548165636,11,5,Cirrhosis,0
1502,0,1.4130072176554496,6,209530.93143063,1.4130072176554496,11,6,HCC,0
1503,144.23368648264955,0,77,0,144.23368648264955,11,7,Liver death,0
1504,0,0,2775,0,0,11,8,Natural death,0
1509,0,91.07586585572014,1565,1.1845784676313741e+07,91.07586585572014,11,13,CHD,0
1510,316.09725252261694,0,369,0,316.09725252261694,11,14,CHD death,0
1515,0,81.76812478053245,2837,2.0448097724748608e+07,81.76812478053245,11,19,T2DM,0
1516,551.5199815539426,0,536,0,551.5199815539426,11,20,T2DM death,0
1521,0,0,8780,1.4340977486116744e+06,0,11,25,Overweight,0
1522,0,108.82322570744903,7878,1.3445168504996074e+07,108.82322570744903,11,26,Obese,0
1635,0,0,6332,697550.5650203383,0,12,3,Steatosis,0
1636,0,252.4585833497383,1471,257305.02807008164,252.4585833497383,12,4,NASH,0
1637,0,20.16641866705316,141,653861.8474180683,20.16641866705316,12,5,Cirrhosis,0
1638,0,1.3718516676266501,6,203428.08876760196,1.3718516676266501,12,6,HCC,0
1639,109.49082013124773,0,85,0,109.49082013124773,12,7,Liver death,0
1640,0,0,3034,0,0,12,8,Natural death,0
1645,0,90.00518273405122,1593,1.17065262504221e+07,90.00518273405122,12,13,CHD,0
1646,193.9921940631636,0,397,0,193.9921940631636,12,14,CHD death,0
1651,0,81.37329082813085,2908,2.0349359943179052e+07,81.37329082813085,12,19,T2DM,0
1652,678.6982988393743,0,607,0,678.6982988393743,12,20,T2DM death,0
1657,0,0,8859,1.4048556908851347e+06,0,12,25,Overweight,0
1658,0,105.38539272562355,7858,1.302042237720677e+07,105.38539272562355,12,26,Obese,0
1771,0,0,6378,682153.4483038877,0,13,3,Steatosis,0
1772,0,258.2687981837288,1550,263226.78153599374,258.2687981837288,13,4,NASH,0
1773,0,20.68991517861955,149,670835.3319926476,20.68991517861955,13,5,Cirrhosis,0
1774,0,1.109912352448746,5,164585.83233624752,1.109912352448746,13,6,HCC,0
1775,171.36926210419986,0,97,0,171.36926210419986,13,7,Liver death,0
1776,0,0,3303,0,0,13,8,Natural death,0
1781,0,88.3710586879275,1611,1.149398386717996e+07,88.3710586879275,13,13,CHD,0
1782,288.3230316668451,0,446,0,288.3230316668451,13,14,CHD death,0
1787,0,80.76908482526868,2973,2.019826361529321e+07,80.76908482526868,13,19,T2DM,0
1788,630.0231799417918,0,673,0,630.0231799417918,13,20,T2DM death,0
1793,0,0,8871,1.3657850919906173e+06,0,13,25,Overweight,0
1794,0,102.6414303963328,7883,1.2681404344532205e+07,102.6414303963328,13,26,Obese,0
1907,0,0,6457,670488.1792840717,0,14,3,Steatosis,0
1908,0,263.2028403663703,1627,268255.54247356066,263.2028403663703,14,4,NASH,0
1909,0,20.761366635221265,154,673152.0240233772,20.761366635221265,14,5,Cirrhosis,0
1910,0,0.6465508849215996,3,95875.24213761993,0.6465508849215996,14,6,HCC,0
1911,158.3456967155926,0,110,0,158.3456967155926,14,7,Liver death,0
1912,0,0,3561,0,0,14,8,Natural death,0
1917,0,87.98068434395391,1652,1.144320981877096e+07,87.98068434395391,14,13,CHD,0
1918,237.34384639611775,0,489,0,237.34384639611775,14,14,CHD death,0
1923,0,80.63219209482526,3057,2.0164030276356455e+07,80.63219209482526,14,19,T2DM,0
1924,639.7581877798389,0,750,0,639.7581877798389,14,20,T2DM death,0
1929,0,0,8906,1.3312366168882763e+06,0,14,25,Overweight,0
1930,0,98.98188186735204,7830,1.2229265140751999e+07,98.98188186735204,14,26,Obese,0
2043,0,0,6542,659528.6321123824,0,15,3,Steatosis,0
2044,0,266.3738832334074,1696,271487.45981655305,266.3738832334074,15,4,NASH,0
2045,0,21.465541093029273,164,695983.6838975794,21.465541093029273,15,5,Cirrhosis,0
2046,0,0.8369590743321678,4,124110.34580921671,0.8369590743321678,15,6,HCC,0
2047,215.3259258130017,0,125,0,215.3259258130017,15,7,Liver death,0
2048,0,0,3807,0,0,15,8,Natural death,0
2053,0,87.43467008252769,1691,1.1372192460766032e+07,87.43467008252769,15,13,CHD,0
2054,270.2597800288929,0,540,0,270.2597800288929,15,14,CHD death,0
2059,0,79.94820219075044,3122,1.9992982053851247e+07,79.94820219075044,15,19,T2DM,0
2060,756.4440565034073,0,839,0,756.4440565034073,15,20,T2DM death,0
2065,0,0,8938,1.2971066611301021e+06,0,15,25,Overweight,0
2066,0,96.20937295665908,7839,1.1886720162476303e+07,96.20937295665908,15,26,Obese,0
2179,0,0,6573,643353.283915298,0,16,3,Steatosis,0
2180,0,269.89934816536805,1770,275080.60306106124,269.89934816536805,16,4,NASH,0
2181,0,21.85693267819702,172,708673.8907789676,21.85693267819702,16,5,Cirrhosis,0
2182,0,1.4220178447391203,7,210867.0923943002,1.4220178447391203,16,6,HCC,0
2183,75.4981794926985,0,131,0,75.4981794926985,16,7,Liver death,0
2184,0,0,4074,0,0,16,8,Natural death,0
2189,0,85.54062789332023,1704,1.112584381801166e+07,85.54062789332023,16,13,CHD,0
2190,283.0459155300448,0,584,0,283.0459155300448,16,14,CHD death,0
2195,0,79.23565314178586,3187,1.981479192626959e+07,79.23565314178586,16,19,T2DM,0
2196,767.2659798287326,0,928,0,767.2659798287326,16,20,T2DM death,0
2201,0,0,9042,1.273980020935909e+06,0,16,25,Overweight,0
2202,0,92.65646922360159,7776,1.1447756981015252e+07,92.65646922360159,16,26,Obese,0
2315,0,0,6558,623189.4283493146,0,17,3,Steatosis,0
2316,0,274.7700017524645,1856,280044.7585329028,274.7700017524645,17,4,NASH,0
2317,0,23.07093255149478,187,748035.7731749138,23.07093255149478,17,5,Cirrhosis,0
2318,0,0.7889141995778751,4,116985.90424094327,0.7889141995778751,17,6,HCC,0
2319,183.82754097585183,0,146,0,183.82754097585183,17,7,Liver death,0
2320,0,0,4329,0,0,17,8,Natural death,0
2325,0,83.73148201873364,1718,1.0890537216454757e+07,83.73148201873364,17,13,CHD,0
2326,261.7190871277689,0,631,0,261.7190871277689,17,14,CHD death,0
2331,0,78.61747886066077,3257,1.9660202492485218e+07,78.61747886066077,17,19,T2DM,0
2332,654.8147804281383,0,1004,0,654.8147804281383,17,20,T2DM death,0
2337,0,0,9050,1.2379681432139913e+06,0,17,25,Overweight,0
2338,0,90.13126669577642,7791,1.1135766840351734e+07,90.13126669577642,17,26,Obese,0
2451,0,0,6518,601347.8970295462,0,18,3,Steatosis,0
2452,0,280.13408803541716,1949,285511.8191227738,280.13408803541716,18,4,NASH,0
2453,0,22.758305304937508,190,737899.3660933102,22.758305304937508,18,5,Cirrhosis,0
2454,0,0.9574201451187805,5,141973.1847584263,0.9574201451187805,18,6,HCC,0
2455,133.8600805693518,0,158,0,133.8600805693518,18,7,Liver death,0
2456,0,0,4585,0,0,18,8,Natural death,0
2461,0,81.81320140284282,1729,1.0641036002153533e+07,81.81320140284282,18,13,CHD,0
2462,222.36870821467903,0,671,0,222.36870821467903,18,14,CHD death,0
2467,0,76.6557387533419,3271,1.9169621920499947e+07,76.6557387533419,18,19,T2DM,0
2468,684.1003955996299,0,1092,0,684.1003955996299,18,20,T2DM death,0
2473,0,0,9017,1.1975281604206942e+06,0,18,25,Overweight,0
2474,0,87.77564469176087,7815,1.0844728465300394e+07,87.77564469176087,18,26,Obese,0
2587,0,0,6563,587863.6677825465,0,19,3,Steatosis,0
2588,0,279.64986396957124,2004,285018.29941269034,279.64986396957124,19,4,NASH,0
2589,0,22.328025644087983,192,723948.2794579266,22.328025644087983,19,5,Cirrhosis,0
2590,0,1.8590682429490888,10,275676.08690956555,1.8590682429490888,19,6,HCC,0
2591,194.63105963850046,0,175,0,194.63105963850046,19,7,Liver death,0
2592,0,0,4856,0,0,19,8,Natural death,0
2597,0,80.53285307696788,1753,1.0474507466448858e+07,80.53285307696788,19,13,CHD,0
2598,208.3966155224286,0,708,0,208.3966155224286,19,14,CHD death,0
2603,0,75.01460931153464,3297,1.875921780159553e+07,75.01460931153464,19,19,T2DM,0
2604,725.2837517407386,0,1188,0,725.2837517407386,19,20,T2DM death,0
2609,0,0,9058,1.1679352245209818e+06,0,19,25,Overweight,0
2610,0,84.728367684136,7770,1.0468235739759773e+07,84.728367684136,19,26,Obese,0
2723,0,0,6595,573524.2569073023,0,20,3,Steatosis,0
2724,0,279.091680608353,2060,284449.40061148134,279.091680608353,20,4,NASH,0
2725,0,23.145455385507866,205,750452.0493976262,23.145455385507866,20,5,Cirrhosis,0
2726,0,1.9854126866446582,11,294411.3549519633,1.9854126866446582,20,6,HCC,0
2727,139.8894639995445,0,187,0,139.8894639995445,20,7,Liver death,0
2728,0,0,5105,0,0,20,8,Natural death,0
2733,0,78.72245951786053,1765,1.0239038584774038e+07,78.72245951786053,20,13,CHD,0
2734,199.59891873035136,0,751,0,199.59891873035136,20,14,CHD death,0
2739,0,74.00047150650072,3350,1.850560810956173e+07,74.00047150650072,20,19,T2DM,0
2740,614.5474825224477,0,1273,0,614.5474825224477,20,20,T2DM death,0
2745,0,0,9118,1.141428740477654e+06,0,20,25,Overweight,0
2746,0,82.0276383922013,7748,1.0134559172275282e+07,82.0276383922013,20,26,Obese,0
2859,0,0,6584,555890.9305340094,0,21,3,Steatosis,0
2860,0,280.03873504345904,2129,285414.63564043003,280.03873504345904,21,4,NASH,0
2861,0,23.019396784071322,210,746364.8135140993,23.019396784071322,21,5,Cirrhosis,0
2862,0,1.9275851326647158,11,285836.26694365375,1.9275851326647158,21,6,HCC,0
2863,208.49104153620243,0,207,0,208.49104153620243,21,7,Liver death,0
2864,0,0,5388,0,0,21,8,Natural death,0
2869,0,77.16572120291028,1782,1.0036561378512835e+07,77.16572120291028,21,13,CHD,0
