Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6849,0,0,2,3,Steatosis,0
276,0,0,537,0,0,2,4,NASH,0
277,0,0,51,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1516,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2150,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7548,0,0,2,25,Overweight,0
298,0,0,8362,0,0,2,26,Obese,0
411,0,0,6911,0,0,3,3,Steatosis,0
412,0,0,632,0,0,3,4,NASH,0
413,0,0,56,0,0,3,5,Cirrhosis,0
414,0,0,3,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,189,0,0,3,8,Natural death,0
421,0,0,1560,0,0,3,13,CHD,0
422,0,0,28,0,0,3,14,CHD death,0
427,0,0,2200,0,0,3,19,T2DM,0
428,0,0,72,0,0,3,20,T2DM death,0
433,0,0,7982,0,0,3,25,Overweight,0
434,0,0,8497,0,0,3,26,Obese,0
547,0,0,7020,0,0,4,3,Steatosis,0
548,0,0,712,0,0,4,4,NASH,0
549,0,0,61,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,11,0,0,4,7,Liver death,0
552,0,0,365,0,0,4,8,Natural death,0
557,0,0,1590,0,0,4,13,CHD,0
558,0,0,63,0,0,4,14,CHD death,0
563,0,0,2272,0,0,4,19,T2DM,0
564,0,0,144,0,0,4,20,T2DM death,0
569,0,0,8271,0,0,4,25,Overweight,0
570,0,0,8661,0,0,4,26,Obese,0
683,0,0,7101,0,0,5,3,Steatosis,0
684,0,0,778,0,0,5,4,NASH,0
685,0,0,69,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,14,0,0,5,7,Liver death,0
688,0,0,527,0,0,5,8,Natural death,0
693,0,0,1668,0,0,5,13,CHD,0
694,0,0,96,0,0,5,14,CHD death,0
699,0,0,2343,0,0,5,19,T2DM,0
700,0,0,204,0,0,5,20,T2DM death,0
705,0,0,8426,0,0,5,25,Overweight,0
706,0,0,8789,0,0,5,26,Obese,0
819,0,0,7219,0,0,6,3,Steatosis,0
820,0,0,840,0,0,6,4,NASH,0
821,0,0,70,0,0,6,5,Cirrhosis,0
822,0,0,4,0,0,6,6,HCC,0
823,0,0,23,0,0,6,7,Liver death,0
824,0,0,714,0,0,6,8,Natural death,0
829,0,0,1689,0,0,6,13,CHD,0
830,0,0,142,0,0,6,14,CHD death,0
835,0,0,2397,0,0,6,19,T2DM,0
836,0,0,284,0,0,6,20,T2DM death,0
841,0,0,8481,0,0,6,25,Overweight,0
842,0,0,8964,0,0,6,26,Obese,0
955,0,0,7323,1.2682338564393267e+06,0,7,3,Steatosis,0
956,0,146.59410246136412,901,201930.19552197802,146.59410246136412,7,4,NASH,0
957,0,18.1681960874353,77,162441.35031856192,18.1681960874353,7,5,Cirrhosis,0
958,0,0.8198392235269186,4,148016.33164111583,0.8198392235269186,7,6,HCC,0
959,204.73942850300003,0,35,0,204.73942850300003,7,7,Liver death,0
960,0,0,892,0,0,7,8,Natural death,0
965,0,111.76074903590796,1729,3.2975923154450636e+07,111.76074903590796,7,13,CHD,0
966,310.3628555260001,0,191,0,310.3628555260001,7,14,CHD death,0
971,0,90.17123655336066,2450,1.0179111129949704e+07,90.17123655336066,7,19,T2DM,0
972,758.0581441289997,0,365,0,758.0581441289997,7,20,T2DM death,0
977,0,0,8581,3.0809987489784076e+06,0,7,25,Overweight,0
978,0,98.20363836535518,9062,6.848007924510387e+06,98.20363836535518,7,26,Obese,0
1091,0,0,7448,1.2523126050201214e+06,0,8,3,Steatosis,0
1092,0,154.96138542353293,981,213455.94625934787,154.96138542353293,8,4,NASH,0
1093,0,19.013494833654377,83,169999.14356878848,19.013494833654377,8,5,Cirrhosis,0
1094,0,0.9949505139889789,5,179631.47043824737,0.9949505139889789,8,6,HCC,0
1095,103.83021187184465,0,41,0,103.83021187184465,8,7,Liver death,0
1096,0,0,1079,0,0,8,8,Natural death,0
1101,0,111.32961349773129,1774,3.284871308741895e+07,111.32961349773129,8,13,CHD,0
1102,309.2859790233011,0,231,0,309.2859790233011,8,14,CHD death,0
1107,0,89.40298547909703,2502,1.009238599054259e+07,89.40298547909703,8,19,T2DM,0
1108,802.4422343572819,0,442,0,802.4422343572819,8,20,T2DM death,0
1113,0,0,8639,3.0114792098168205e+06,0,8,25,Overweight,0
1114,0,96.31129089104833,9154,6.716049366602606e+06,96.31129089104833,8,26,Obese,0
1227,0,0,7548,1.232161829160074e+06,0,9,3,Steatosis,0
1228,0,159.03620902407985,1037,219068.92735859714,159.03620902407985,9,4,NASH,0
1229,0,18.682109790934216,84,167036.2388557518,18.682109790934216,9,5,Cirrhosis,0
1230,0,0.9659713728048338,5,174399.4858623761,0.9659713728048338,9,6,HCC,0
1231,190.75085302384767,0,53,0,190.75085302384767,9,7,Liver death,0
1232,0,0,1291,0,0,9,8,Natural death,0
1237,0,109.4274284661524,1796,3.2287457834856637e+07,109.4274284661524,9,13,CHD,0
1238,197.73252759543786,0,265,0,197.73252759543786,9,14,CHD death,0
1243,0,88.2213809819536,2543,9.95899884905602e+06,88.2213809819536,9,19,T2DM,0
1244,762.0257233773214,0,532,0,762.0257233773214,9,20,T2DM death,0
1249,0,0,8635,2.9224124709645296e+06,0,9,25,Overweight,0
1250,0,94.65016316242796,9266,6.600214393086928e+06,94.65016316242796,9,26,Obese,0
1363,0,0,7590,1.2029301510237595e+06,0,10,3,Steatosis,0
1364,0,165.8689993098322,1114,228480.94772773588,165.8689993098322,10,4,NASH,0
1365,0,20.081324671253853,93,179546.58129432407,20.081324671253853,10,5,Cirrhosis,0
1366,0,0.7502690274212303,4,135455.9113494183,0.7502690274212303,10,6,HCC,0
1367,135.33206904377764,0,63,0,135.33206904377764,10,7,Liver death,0
1368,0,0,1489,0,0,10,8,Natural death,0
1373,0,108.25145095523399,1830,3.194047605130336e+07,108.25145095523399,10,13,CHD,0
1374,187.36348360660986,0,303,0,187.36348360660986,10,14,CHD death,0
1379,0,87.20117106630853,2589,9.843830969540613e+06,87.20117106630853,10,19,T2DM,0
1380,760.9646519990813,0,611,0,760.9646519990813,10,20,T2DM death,0
1385,0,0,8691,2.8556941758998283e+06,0,10,25,Overweight,0
1386,0,92.75616420590848,9353,6.468140672814412e+06,92.75616420590848,10,26,Obese,0
1499,0,0,7670,1.1802031618444305e+06,0,11,3,Steatosis,0
1500,0,169.7113569484052,1174,233773.7120081313,169.7113569484052,11,4,NASH,0
1501,0,19.915709821162118,95,178065.82339451733,19.915709821162118,11,5,Cirrhosis,0
1502,0,0.7284165314769225,4,131510.5935431246,0.7284165314769225,11,6,HCC,0
1503,133.8665714886763,0,71,0,133.8665714886763,11,7,Liver death,0
1504,0,0,1663,0,0,11,8,Natural death,0
1509,0,106.6491296216545,1857,3.1467698035584178e+07,106.6491296216545,11,13,CHD,0
1510,161.62020553797356,0,334,0,161.62020553797356,11,14,CHD death,0
1515,0,87.081160604649,2663,9.830283414102422e+06,87.081160604649,11,19,T2DM,0
1516,677.0502808858513,0,692,0,677.0502808858513,11,20,T2DM death,0
1521,0,0,8694,2.7734756483123116e+06,0,11,25,Overweight,0
1522,0,91.38324907729515,9491,6.372403551085057e+06,91.38324907729515,11,26,Obese,0
1635,0,0,7731,1.1549411582409844e+06,0,12,3,Steatosis,0
1636,0,171.5050017291804,1222,236244.41877734096,171.5050017291804,12,4,NASH,0
1637,0,21.370971192866783,105,191077.27599820425,21.370971192866783,12,5,Cirrhosis,0
1638,0,0.5304003869977592,3,95760.14092945965,0.5304003869977592,12,6,HCC,0
1639,193.55718865143263,0,85,0,193.55718865143263,12,7,Liver death,0
1640,0,0,1854,0,0,12,8,Natural death,0
1645,0,103.59860242119036,1858,3.056761503318075e+07,103.59860242119036,12,13,CHD,0
1646,177.007604621802,0,372,0,177.007604621802,12,14,CHD death,0
1651,0,87.0211569612078,2741,9.823509815580009e+06,87.0211569612078,12,19,T2DM,0
1652,687.3157468919684,0,772,0,687.3157468919684,12,20,T2DM death,0
1657,0,0,8678,2.6877393042023308e+06,0,12,25,Overweight,0
1658,0,89.9929252206295,9627,6.275452471199186e+06,89.9929252206295,12,26,Obese,0
1771,0,0,7811,1.132905273187102e+06,0,13,3,Steatosis,0
1772,0,173.45897001672063,1273,238935.9676986226,173.45897001672063,13,4,NASH,0
1773,0,20.74851572122991,105,185511.91844485913,20.74851572122991,13,5,Cirrhosis,0
1774,0,1.3732048854310916,8,247922.69496300232,1.3732048854310916,13,6,HCC,0
1775,120.1353538550948,0,93,0,120.1353538550948,13,7,Liver death,0
1776,0,0,2009,0,0,13,8,Natural death,0
1781,0,102.58412929037704,1895,3.0268286438010227e+07,102.58412929037704,13,13,CHD,0
1782,174.98059136133114,0,403,0,174.98059136133114,13,14,CHD death,0
1787,0,86.85995130282717,2818,9.805311880472237e+06,86.85995130282717,13,19,T2DM,0
1788,664.6324272420392,0,855,0,664.6324272420392,13,20,T2DM death,0
1793,0,0,8750,2.6311058777995575e+06,0,13,25,Overweight,0
1794,0,88.31564494700967,9731,6.158491136603523e+06,88.31564494700967,13,26,Obese,0
1907,0,0,7844,1.1045549359541805e+06,0,14,3,Steatosis,0
1908,0,177.00569855045518,1338,243821.50930128392,177.00569855045518,14,4,NASH,0
1909,0,22.83008202335971,119,204123.14650890656,22.83008202335971,14,5,Cirrhosis,0
1910,0,0.666604313316064,4,120350.82279757394,0.666604313316064,14,6,HCC,0
1911,190.07552244005333,0,107,0,190.07552244005333,14,7,Liver death,0
1912,0,0,2185,0,0,14,8,Natural death,0
1917,0,100.7525044699369,1917,2.9727850552894704e+07,100.7525044699369,14,13,CHD,0
1918,161.57162678251808,0,436,0,161.57162678251808,14,14,CHD death,0
1923,0,85.85625014222548,2869,9.692007615768064e+06,85.85625014222548,14,19,T2DM,0
1924,813.6396884417974,0,947,0,813.6396884417974,14,20,T2DM death,0
1929,0,0,8806,2.5708203450652515e+06,0,14,25,Overweight,0
1930,0,86.25440349140952,9789,6.014755140084933e+06,86.25440349140952,14,26,Obese,0
2043,0,0,7909,1.0812698331620719e+06,0,15,3,Steatosis,0
2044,0,179.5564794386205,1398,247335.15463101713,179.5564794386205,15,4,NASH,0
2045,0,24.959051897937506,134,223158.20863338062,24.959051897937506,15,5,Cirrhosis,0
2046,0,0.9707829805573744,6,175268.1885401562,0.9707829805573744,15,6,HCC,0
2047,117.25902272280497,0,117,0,117.25902272280497,15,7,Liver death,0
2048,0,0,2366,0,0,15,8,Natural death,0
2053,0,99.5018428452483,1950,2.9358832610693794e+07,99.5018428452483,15,13,CHD,0
2054,120.34930491174951,0,457,0,120.34930491174951,15,14,CHD death,0
2059,0,85.24408488370698,2934,9.62290245059004e+06,85.24408488370698,15,19,T2DM,0
2060,685.6841984020756,0,1028,0,685.6841984020756,15,20,T2DM death,0
2065,0,0,8782,2.48913960586924e+06,0,15,25,Overweight,0
2066,0,84.84569799742948,9918,5.916522258425877e+06,84.84569799742948,15,26,Obese,0
2179,0,0,7939,1.0537584938225807e+06,0,16,3,Steatosis,0
2180,0,179.18986968435715,1437,246830.15764877445,179.18986968435715,16,4,NASH,0
2181,0,25.497944628381326,141,227976.4339755586,25.497944628381326,16,5,Cirrhosis,0
2182,0,0.9425077481139559,6,170163.28984481186,0.9425077481139559,16,6,HCC,0
2183,256.64460514987366,0,135,0,256.64460514987366,16,7,Liver death,0
2184,0,0,2550,0,0,16,8,Natural death,0
2189,0,95.86062529527715,1935,2.828446158909366e+07,95.86062529527715,16,13,CHD,0
2190,145.2101395354822,0,493,0,145.2101395354822,16,14,CHD death,0
2195,0,83.66389228564918,2966,9.44452011186286e+06,83.66389228564918,16,19,T2DM,0
2196,944.713339630771,0,1148,0,944.713339630771,16,20,T2DM death,0
2201,0,0,8798,2.421043291600382e+06,0,16,25,Overweight,0
2202,0,82.71499170444493,9959,5.767942289067574e+06,82.71499170444493,16,26,Obese,0
2315,0,0,7978,1.0280922695402635e+06,0,17,3,Steatosis,0
2316,0,179.05548726997662,1479,246645.04878863937,179.05548726997662,17,4,NASH,0
2317,0,25.106424856149047,143,224475.86627077666,25.106424856149047,17,5,Cirrhosis,0
2318,0,1.2200747548400723,8,220276.10335897977,1.2200747548400723,17,6,HCC,0
2319,175.51815845500636,0,150,0,175.51815845500636,17,7,Liver death,0
2320,0,0,2744,0,0,17,8,Natural death,0
2325,0,93.21286060171111,1938,2.750321695876267e+07,93.21286060171111,17,13,CHD,0
2326,138.61333362936867,0,524,0,138.61333362936867,17,14,CHD death,0
2331,0,83.2536489758924,3040,9.398209199425593e+06,83.2536489758924,17,19,T2DM,0
2332,733.2809070679998,0,1250,0,733.2809070679998,17,20,T2DM death,0
2337,0,0,8800,2.3510617998001105e+06,0,17,25,Overweight,0
2338,0,80.7976993906544,10020,5.634244259373588e+06,80.7976993906544,17,26,Obese,0
2451,0,0,7995,1.0002747476648056e+06,0,18,3,Steatosis,0
2452,0,182.0680135365546,1549,250794.7383587706,182.0680135365546,18,4,NASH,0
2453,0,25.22744842630232,148,225557.93474149526,25.22744842630232,18,5,Cirrhosis,0
2454,0,1.184538596932109,8,213860.2945232813,1.184538596932109,18,6,HCC,0
2455,170.12228849432475,0,164,0,170.12228849432475,18,7,Liver death,0
2456,0,0,2928,0,0,18,8,Natural death,0
2461,0,90.63801257823864,1941,2.674348698836603e+07,90.63801257823864,18,13,CHD,0
2462,133.56661621149195,0,552,0,133.56661621149195,18,14,CHD death,0
2467,0,82.23797147497223,3093,9.283552968134902e+06,82.23797147497223,18,19,T2DM,0
2468,635.6472074502179,0,1346,0,635.6472074502179,18,20,T2DM death,0
2473,0,0,8881,2.303594422332736e+06,0,18,25,Overweight,0
2474,0,78.51482735393421,10029,5.475053357095476e+06,78.51482735393421,18,26,Obese,0
2587,0,0,7989,970411.7208075359,0,19,3,Steatosis,0
2588,0,182.81318839311533,1602,251821.20055578544,182.81318839311533,19,4,NASH,0
2589,0,22.50677634464134,136,201232.47917110616,22.50677634464134,19,5,Cirrhosis,0
2590,0,1.8688108932181329,13,337400.9500974098,1.8688108932181329,19,6,HCC,0
2591,253.71774352302535,0,185,0,253.71774352302535,19,7,Liver death,0
2592,0,0,3127,0,0,19,8,Natural death,0
2597,0,87.99807046430897,1941,2.5964550474142063e+07,87.99807046430897,19,13,CHD,0
2598,126.56472518204828,0,583,0,126.56472518204828,19,14,CHD death,0
2603,0,80.7203666287575,3127,9.112235938764274e+06,80.7203666287575,19,19,T2DM,0
2604,749.083789266008,0,1456,0,749.083789266008,19,20,T2DM death,0
2609,0,0,8926,2.2478317750169043e+06,0,19,25,Overweight,0
2610,0,76.25839074858554,10033,5.317705869653227e+06,76.25839074858554,19,26,Obese,0
2723,0,0,8050,949341.0663571605,0,20,3,Steatosis,0
2724,0,185.79792064243833,1677,255932.60447017642,185.79792064243833,20,4,NASH,0
2725,0,23.457947932021916,146,209736.87863350657,23.457947932021916,20,5,Cirrhosis,0
2726,0,1.395676544599054,10,251979.79842973105,1.395676544599054,20,6,HCC,0
2727,215.79707904298803,0,204,0,215.79707904298803,20,7,Liver death,0
2728,0,0,3337,0,0,20,8,Natural death,0
2733,0,85.39100388687608,1940,2.519531415586769e+07,85.39100388687608,20,13,CHD,0
2734,96.47813627580908,0,611,0,96.47813627580908,20,14,CHD death,0
2739,0,79.09608982844769,3156,8.928877090775972e+06,79.09608982844769,20,19,T2DM,0
2740,675.7659875445082,0,1555,0,675.7659875445082,20,20,T2DM death,0
2745,0,0,8931,2.1835834208211033e+06,0,20,25,Overweight,0
2746,0,74.40624133736691,10083,5.188550432476277e+06,74.40624133736691,20,26,Obese,0
2859,0,0,8058,922606.3212576698,0,21,3,Steatosis,0
2860,0,188.1310032383401,1749,259146.37512566728,188.1310032383401,21,4,NASH,0
2861,0,23.71065358204103,152,211996.3130222958,23.71065358204103,21,5,Cirrhosis,0
2862,0,1.2195231943098526,9,220176.52289976497,1.2195231943098526,21,6,HCC,0
2863,103.90454369379947,0,215,0,103.90454369379947,21,7,Liver death,0
2864,0,0,3507,0,0,21,8,Natural death,0
2869,0,83.245758968894,1948,2.456234209570099e+07,83.245758968894,21,13,CHD,0
