Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6120,0,0,2,3,Steatosis,0
276,0,0,526,0,0,2,4,NASH,0
277,0,0,59,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1446,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2022,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7546,0,0,2,25,Overweight,0
298,0,0,8400,0,0,2,26,Obese,0
411,0,0,6504,0,0,3,3,Steatosis,0
412,0,0,671,0,0,3,4,NASH,0
413,0,0,60,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,9,0,0,3,7,Liver death,0
416,0,0,259,0,0,3,8,Natural death,0
421,0,0,1453,0,0,3,13,CHD,0
422,0,0,32,0,0,3,14,CHD death,0
427,0,0,2177,0,0,3,19,T2DM,0
428,0,0,61,0,0,3,20,T2DM death,0
433,0,0,7996,0,0,3,25,Overweight,0
434,0,0,8719,0,0,3,26,Obese,0
547,0,0,6823,0,0,4,3,Steatosis,0
548,0,0,820,0,0,4,4,NASH,0
549,0,0,70,0,0,4,5,Cirrhosis,0
550,0,0,3,0,0,4,6,HCC,0
551,0,0,16,0,0,4,7,Liver death,0
552,0,0,513,0,0,4,8,Natural death,0
557,0,0,1469,0,0,4,13,CHD,0
558,0,0,58,0,0,4,14,CHD death,0
563,0,0,2343,0,0,4,19,T2DM,0
564,0,0,132,0,0,4,20,T2DM death,0
569,0,0,8166,0,0,4,25,Overweight,0
570,0,0,9047,0,0,4,26,Obese,0
683,0,0,7039,0,0,5,3,Steatosis,0
684,0,0,984,0,0,5,4,NASH,0
685,0,0,86,0,0,5,5,Cirrhosis,0
686,0,0,2,0,0,5,6,HCC,0
687,0,0,22,0,0,5,7,Liver death,0
688,0,0,786,0,0,5,8,Natural death,0
693,0,0,1472,0,0,5,13,CHD,0
694,0,0,83,0,0,5,14,CHD death,0
699,0,0,2484,0,0,5,19,T2DM,0
700,0,0,210,0,0,5,20,T2DM death,0
705,0,0,8191,0,0,5,25,Overweight,0
706,0,0,9359,0,0,5,26,Obese,0
819,0,0,7288,0,0,6,3,Steatosis,0
820,0,0,1127,0,0,6,4,NASH,0
821,0,0,98,0,0,6,5,Cirrhosis,0
822,0,0,0,0,0,6,6,HCC,0
823,0,0,34,0,0,6,7,Liver death,0
824,0,0,1024,0,0,6,8,Natural death,0
829,0,0,1461,0,0,6,13,CHD,0
830,0,0,119,0,0,6,14,CHD death,0
835,0,0,2600,0,0,6,19,T2DM,0
836,0,0,287,0,0,6,20,T2DM death,0
841,0,0,8135,0,0,6,25,Overweight,0
842,0,0,9691,0,0,6,26,Obese,0
955,0,0,7529,1.4928995732404024e+06,0,7,3,Steatosis,0
956,0,163.49534534975842,1242,186416.92287874414,163.49534534975842,7,4,NASH,0
957,0,16.243770058878162,98,337622.02411508135,16.243770058878162,7,5,Cirrhosis,0
958,0,1.5408071935049392,5,167318.65652383407,1.5408071935049392,7,6,HCC,0
959,223.1989613,0,46,0,223.1989613,7,7,Liver death,0
960,0,0,1272,0,0,7,8,Natural death,0
965,0,72.75109628572379,1465,1.3690390245095178e+07,72.75109628572379,7,13,CHD,0
966,229.178322185,0,152,0,229.178322185,7,14,CHD death,0
971,0,103.9845221893748,2756,2.210540396712291e+07,103.9845221893748,7,19,T2DM,0
972,1035.1458098969995,0,384,0,1035.1458098969995,7,20,T2DM death,0
977,0,0,8054,3.3711468580354988e+06,0,7,25,Overweight,0
978,0,129.99847281947925,9882,1.6548173381572368e+07,129.99847281947925,7,26,Obese,0
1091,0,0,7760,1.4938871558578566e+06,0,8,3,Steatosis,0
1092,0,177.52062496351013,1389,202408.50638538986,177.52062496351013,8,4,NASH,0
1093,0,18.023600620114454,112,374615.28334544424,18.023600620114454,8,5,Cirrhosis,0
1094,0,1.4959293140824652,5,162445.29759595543,1.4959293140824652,8,6,HCC,0
1095,120.5379590368932,0,55,0,120.5379590368932,8,7,Liver death,0
1096,0,0,1477,0,0,8,8,Natural death,0
1101,0,71.25890209105242,1478,1.3409587317174867e+07,71.25890209105242,8,13,CHD,0
1102,187.9439279766991,0,184,0,187.9439279766991,8,14,CHD death,0
1107,0,106.340647031637,2903,2.260627746577669e+07,106.340647031637,8,19,T2DM,0
1108,882.4495021495151,0,474,0,882.4495021495151,8,20,T2DM death,0
1113,0,0,7991,3.2473563811454102e+06,0,8,25,Overweight,0
1114,0,128.8558968916715,10089,1.6402729022533497e+07,128.8558968916715,8,26,Obese,0
1227,0,0,7913,1.4789722080249141e+06,0,9,3,Steatosis,0
1228,0,191.70693840551513,1545,218583.70020021283,191.70693840551513,9,4,NASH,0
1229,0,18.74854433437704,120,389683.02705836773,18.74854433437704,9,5,Cirrhosis,0
1230,0,2.323773691778587,8,252342.20985779486,2.323773691778587,9,6,HCC,0
1231,128.1336084532001,0,63,0,128.1336084532001,9,7,Liver death,0
1232,0,0,1676,0,0,9,8,Natural death,0
1237,0,69.37063527132196,1482,1.3054250958427751e+07,69.37063527132196,9,13,CHD,0
1238,178.75605738900938,0,213,0,178.75605738900938,9,14,CHD death,0
1243,0,108.36461494651213,3047,2.30365398493772e+07,108.36461494651213,9,19,T2DM,0
1244,900.1569652757097,0,564,0,900.1569652757097,9,20,T2DM death,0
1249,0,0,7916,3.1231826476085368e+06,0,9,25,Overweight,0
1250,0,128.06639386135166,10328,1.6302229126288913e+07,128.06639386135166,9,26,Obese,0
1363,0,0,8122,1.4738205501305715e+06,0,10,3,Steatosis,0
1364,0,203.8320544079688,1692,232408.72261838298,203.8320544079688,10,4,NASH,0
1365,0,19.11259373892805,126,397249.6877779485,19.11259373892805,10,5,Cirrhosis,0
1366,0,3.102125073976269,11,336864.60053831834,3.102125073976269,10,6,HCC,0
1367,125.58234995932196,0,73,0,125.58234995932196,10,7,Liver death,0
1368,0,0,1877,0,0,10,8,Natural death,0
1373,0,68.25903998632481,1502,1.2845069598651906e+07,68.25903998632481,10,13,CHD,0
1374,132.02000936372943,0,235,0,132.02000936372943,10,14,CHD death,0
1379,0,109.69707007211534,3177,2.33197979554831e+07,109.69707007211534,10,19,T2DM,0
1380,816.582501221257,0,656,0,816.582501221257,10,20,T2DM death,0
1385,0,0,7860,3.010765416755234e+06,0,10,25,Overweight,0
1386,0,126.17823487294108,10481,1.6061875669551324e+07,126.17823487294108,10,26,Obese,0
1499,0,0,8205,1.4455162669559212e+06,0,11,3,Steatosis,0
1500,0,217.89524510664998,1863,248443.53223508463,217.89524510664998,11,4,NASH,0
1501,0,20.912223076959304,142,434654.4588108231,20.912223076959304,11,5,Cirrhosis,0
1502,0,1.9165821286702451,7,208124.64287451265,1.9165821286702451,11,6,HCC,0
1503,181.1721736420704,0,86,0,181.1721736420704,11,7,Liver death,0
1504,0,0,2108,0,0,11,8,Natural death,0
1509,0,66.88861751921134,1516,1.258718182330143e+07,66.88861751921134,11,13,CHD,0
1510,157.20675541669016,0,259,0,157.20675541669016,11,14,CHD death,0
1515,0,110.05542905371593,3283,2.3395979197524607e+07,110.05542905371593,11,19,T2DM,0
1516,939.6525896034528,0,768,0,939.6525896034528,11,20,T2DM death,0
1521,0,0,7781,2.893693731041328e+06,0,11,25,Overweight,0
1522,0,124.05766004143112,10614,1.579193680627799e+07,124.05766004143112,11,26,Obese,0
1635,0,0,8357,1.429412499239971e+06,0,12,3,Steatosis,0
1636,0,224.834453934901,1980,256355.59819764507,224.834453934901,12,4,NASH,0
1637,0,22.733785513718992,159,472515.1029052419,22.733785513718992,12,5,Cirrhosis,0
1638,0,2.6582276403193417,10,288661.0858176319,2.6582276403193417,12,6,HCC,0
1639,148.315801900272,0,98,0,148.315801900272,12,7,Liver death,0
1640,0,0,2301,0,0,12,8,Natural death,0
1645,0,65.83997561737954,1537,1.238984710813694e+07,65.83997561737954,12,13,CHD,0
1646,216.47476444388894,0,293,0,216.47476444388894,12,14,CHD death,0
1651,0,111.89462783764452,3438,2.378696269428373e+07,111.89462783764452,12,19,T2DM,0
1652,836.3227439080149,0,857,0,836.3227439080149,12,20,T2DM death,0
1657,0,0,7694,2.777999129898976e+06,0,12,25,Overweight,0
1658,0,122.6003903150058,10804,1.5606433457101122e+07,122.6003903150058,12,26,Obese,0
1771,0,0,8488,1.4095332316666062e+06,0,13,3,Steatosis,0
1772,0,235.4841588726924,2136,268498.3611602417,235.4841588726924,13,4,NASH,0
1773,0,24.709127565744417,178,513572.0114620082,24.709127565744417,13,5,Cirrhosis,0
1774,0,1.8065624740034363,7,196177.4369634392,1.8065624740034363,13,6,HCC,0
1775,219.67955000422322,0,115,0,219.67955000422322,13,7,Liver death,0
1776,0,0,2505,0,0,13,8,Natural death,0
1781,0,64.92044263426266,1561,1.221680826714677e+07,64.92044263426266,13,13,CHD,0
1782,154.67562834967873,0,316,0,154.67562834967873,13,14,CHD death,0
1787,0,114.41808214305554,3621,2.432340769243839e+07,114.41808214305554,13,19,T2DM,0
1788,947.3775044312113,0,958,0,947.3775044312113,13,20,T2DM death,0
1793,0,0,7676,2.6907767395480834e+06,0,13,25,Overweight,0
1794,0,120.86937255766509,10971,1.5386083314871157e+07,120.86937255766509,13,26,Obese,0
1907,0,0,8503,1.3708972425786417e+06,0,14,3,Steatosis,0
1908,0,244.2524137974565,2282,278495.90022529813,244.2524137974565,14,4,NASH,0
1909,0,25.337165825024286,188,526625.6035500017,25.337165825024286,14,5,Cirrhosis,0
1910,0,3.0067613991735413,12,326508.910341369,3.0067613991735413,14,6,HCC,0
1911,293.49742552444746,0,134,0,293.49742552444746,14,7,Liver death,0
1912,0,0,2716,0,0,14,8,Natural death,0
1917,0,62.868045242061186,1557,1.1830585616606059e+07,62.868045242061186,14,13,CHD,0
1918,140.28272652203893,0,345,0,140.28272652203893,14,14,CHD death,0
1923,0,115.87130526468741,3777,2.4632339093780026e+07,115.87130526468741,14,19,T2DM,0
1924,929.3306340460822,0,1073,0,929.3306340460822,14,20,T2DM death,0
1929,0,0,7639,2.599812239562536e+06,0,14,25,Overweight,0
1930,0,118.10834138912368,11042,1.503461747455989e+07,118.10834138912368,14,26,Obese,0
2043,0,0,8579,1.3428644195346301e+06,0,15,3,Steatosis,0
2044,0,251.37487512061557,2419,286616.9101558608,251.37487512061557,15,4,NASH,0
2045,0,27.34697199664379,209,568398.8387830555,27.34697199664379,15,5,Cirrhosis,0
2046,0,3.1624513098103595,13,343415.52058558224,3.1624513098103595,15,6,HCC,0
2047,292.1764921654694,0,155,0,292.1764921654694,15,7,Liver death,0
2048,0,0,2891,0,0,15,8,Natural death,0
2053,0,62.095381124658495,1584,1.1685184738327838e+07,62.095381124658495,15,13,CHD,0
2054,203.1591950570011,0,385,0,203.1591950570011,15,14,CHD death,0
2059,0,116.99388662592187,3928,2.4870981479718678e+07,116.99388662592187,15,19,T2DM,0
2060,947.4196204747312,0,1176,0,947.4196204747312,15,20,T2DM death,0
2065,0,0,7529,2.487743192084591e+06,0,15,25,Overweight,0
2066,0,116.53754570531191,11222,1.4834662823104344e+07,116.53754570531191,15,26,Obese,0
2179,0,0,8646,1.3139338632603532e+06,0,16,3,Steatosis,0
2180,0,255.7565344063422,2535,291612.86548045557,255.7565344063422,16,4,NASH,0
2181,0,28.964136271820305,228,602011.1266899089,28.964136271820305,16,5,Cirrhosis,0
2182,0,2.3618008288352192,10,256471.63598624518,2.3618008288352192,16,6,HCC,0
2183,464.643282208458,0,190,0,464.643282208458,16,7,Liver death,0
2184,0,0,3078,0,0,16,8,Natural death,0
2189,0,61.694991666098964,1621,1.160983896049663e+07,61.694991666098964,16,13,CHD,0
2190,141.76011021713816,0,413,0,141.76011021713816,16,14,CHD death,0
2195,0,117.22985001420932,4054,2.4921143426033497e+07,117.22985001420932,16,19,T2DM,0
2196,878.2912579922958,0,1285,0,878.2912579922958,16,20,T2DM death,0
2201,0,0,7461,2.3934704200253612e+06,0,16,25,Overweight,0
2202,0,113.80867816181296,11288,1.448729125583754e+07,113.80867816181296,16,26,Obese,0
2315,0,0,8684,1.2812706104120594e+06,0,17,3,Steatosis,0
2316,0,260.55126539930296,2660,297079.80397848296,260.55126539930296,17,4,NASH,0
2317,0,29.723883671898562,241,617802.254864022,29.723883671898562,17,5,Cirrhosis,0
2318,0,2.5223115647754772,11,273901.74716977635,2.5223115647754772,17,6,HCC,0
2319,312.53532152423435,0,215,0,312.53532152423435,17,7,Liver death,0
2320,0,0,3270,0,0,17,8,Natural death,0
2325,0,60.63707607318365,1641,1.1410759110805783e+07,60.63707607318365,17,13,CHD,0
2326,139.41217424884522,0,443,0,139.41217424884522,17,14,CHD death,0
2331,0,116.73517138989818,4158,2.4815982863728553e+07,116.73517138989818,17,19,T2DM,0
2332,1081.5932550441808,0,1428,0,1081.5932550441808,17,20,T2DM death,0
2337,0,0,7409,2.3075620855592396e+06,0,17,25,Overweight,0
2338,0,111.29652854995851,11370,1.4167506827323927e+07,111.29652854995851,17,26,Obese,0
2451,0,0,8722,1.2493954135062443e+06,0,18,3,Steatosis,0
2452,0,263.0428498775361,2766,299920.7014396852,263.0428498775361,18,4,NASH,0
2453,0,30.41480261315018,254,632162.8035912771,30.41480261315018,18,5,Cirrhosis,0
2454,0,2.894090939283425,13,314273.8493563188,2.894090939283425,18,6,HCC,0
2455,283.535846879396,0,239,0,283.535846879396,18,7,Liver death,0
2456,0,0,3447,0,0,18,8,Natural death,0
2461,0,58.72744746679372,1637,1.1051402864929207e+07,58.72744746679372,18,13,CHD,0
2462,156.67176893273086,0,472,0,156.67176893273086,18,14,CHD death,0
2467,0,118.15962864316938,4335,2.511879911324706e+07,118.15962864316938,18,19,T2DM,0
2468,912.7820631514667,0,1552,0,912.7820631514667,18,20,T2DM death,0
2473,0,0,7465,2.2572849563313634e+06,0,18,25,Overweight,0
2474,0,107.83630141113186,11347,1.3727036740327096e+07,107.83630141113186,18,26,Obese,0
2587,0,0,8788,1.2221841536627074e+06,0,19,3,Steatosis,0
2588,0,262.76771011080467,2846,299606.9878684316,262.76771011080467,19,4,NASH,0
2589,0,32.20281447841387,277,669326.1088402427,32.20281447841387,19,5,Cirrhosis,0
2590,0,1.729105863649544,8,187766.30282677754,1.729105863649544,19,6,HCC,0
2591,229.89303306534202,0,261,0,229.89303306534202,19,7,Liver death,0
2592,0,0,3628,0,0,19,8,Natural death,0
2597,0,56.73829816761992,1629,1.0677082317861224e+07,56.73829816761992,19,13,CHD,0
2598,203.09677041676375,0,517,0,203.09677041676375,19,14,CHD death,0
2603,0,118.15830548184027,4465,2.5118517830852956e+07,118.15830548184027,19,19,T2DM,0
2604,864.7434141178085,0,1681,0,864.7434141178085,19,20,T2DM death,0
2609,0,0,7513,2.2056304016692676e+06,0,19,25,Overweight,0
2610,0,104.96301275073932,11376,1.3361281067234613e+07,104.96301275073932,19,26,Obese,0
2723,0,0,8859,1.1961732257688888e+06,0,20,3,Steatosis,0
2724,0,262.6440074724679,2930,299465.94247571466,262.6440074724679,20,4,NASH,0
2725,0,33.07078140329889,293,687366.5482814853,33.07078140329889,20,5,Cirrhosis,0
2726,0,1.888586501558968,9,205084.5540583735,1.888586501558968,20,6,HCC,0
2727,287.32220187733304,0,289,0,287.32220187733304,20,7,Liver death,0
2728,0,0,3790,0,0,20,8,Natural death,0
2733,0,55.25480472616762,1634,1.039791670831847e+07,55.25480472616762,20,13,CHD,0
2734,174.19013655108503,0,559,0,174.19013655108503,20,14,CHD death,0
2739,0,117.28604671166622,4565,2.493308992222952e+07,117.28604671166622,20,19,T2DM,0
2740,863.030295864435,0,1820,0,863.030295864435,20,20,T2DM death,0
2745,0,0,7469,2.1288476634114757e+06,0,20,25,Overweight,0
2746,0,102.5597692453813,11449,1.3055359856446613e+07,102.5597692453813,20,26,Obese,0
2859,0,0,8863,1.1618575920256716e+06,0,21,3,Steatosis,0
2860,0,263.78408384939326,3031,300765.85428409284,263.78408384939326,21,4,NASH,0
2861,0,32.21713685864322,294,669623.7953370106,32.21713685864322,21,5,Cirrhosis,0
2862,0,3.6671582554543063,18,398222.4350648028,3.6671582554543063,21,6,HCC,0
2863,238.19934936191132,0,309,0,238.19934936191132,21,7,Liver death,0
2864,0,0,3967,0,0,21,8,Natural death,0
