Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5584,0,0,2,3,Steatosis,0
276,0,0,790,0,0,2,4,NASH,0
277,0,0,70,0,0,2,5,Cirrhosis,0
278,0,0,1,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1553,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2127,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7535,0,0,2,25,Overweight,0
298,0,0,8350,0,0,2,26,Obese,0
411,0,0,5904,0,0,3,3,Steatosis,0
412,0,0,868,0,0,3,4,NASH,0
413,0,0,74,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,6,0,0,3,7,Liver death,0
416,0,0,235,0,0,3,8,Natural death,0
421,0,0,1594,0,0,3,13,CHD,0
422,0,0,39,0,0,3,14,CHD death,0
427,0,0,2168,0,0,3,19,T2DM,0
428,0,0,63,0,0,3,20,T2DM death,0
433,0,0,8189,0,0,3,25,Overweight,0
434,0,0,8476,0,0,3,26,Obese,0
547,0,0,6250,0,0,4,3,Steatosis,0
548,0,0,964,0,0,4,4,NASH,0
549,0,0,79,0,0,4,5,Cirrhosis,0
550,0,0,9,0,0,4,6,HCC,0
551,0,0,14,0,0,4,7,Liver death,0
552,0,0,439,0,0,4,8,Natural death,0
557,0,0,1648,0,0,4,13,CHD,0
558,0,0,64,0,0,4,14,CHD death,0
563,0,0,2219,0,0,4,19,T2DM,0
564,0,0,148,0,0,4,20,T2DM death,0
569,0,0,8533,0,0,4,25,Overweight,0
570,0,0,8665,0,0,4,26,Obese,0
683,0,0,6522,0,0,5,3,Steatosis,0
684,0,0,1040,0,0,5,4,NASH,0
685,0,0,84,0,0,5,5,Cirrhosis,0
686,0,0,7,0,0,5,6,HCC,0
687,0,0,26,0,0,5,7,Liver death,0
688,0,0,618,0,0,5,8,Natural death,0
693,0,0,1687,0,0,5,13,CHD,0
694,0,0,108,0,0,5,14,CHD death,0
699,0,0,2256,0,0,5,19,T2DM,0
700,0,0,234,0,0,5,20,T2DM death,0
705,0,0,8626,0,0,5,25,Overweight,0
706,0,0,8882,0,0,5,26,Obese,0
819,0,0,6725,0,0,6,3,Steatosis,0
820,0,0,1159,0,0,6,4,NASH,0
821,0,0,95,0,0,6,5,Cirrhosis,0
822,0,0,5,0,0,6,6,HCC,0
823,0,0,32,0,0,6,7,Liver death,0
824,0,0,814,0,0,6,8,Natural death,0
829,0,0,1694,0,0,6,13,CHD,0
830,0,0,145,0,0,6,14,CHD death,0
835,0,0,2328,0,0,6,19,T2DM,0
836,0,0,306,0,0,6,20,T2DM death,0
841,0,0,8745,0,0,6,25,Overweight,0
842,0,0,9130,0,0,6,26,Obese,0
955,0,0,6936,1.1530449057457764e+06,0,7,3,Steatosis,0
956,0,148.80442051285831,1270,390908.0340719174,148.80442051285831,7,4,NASH,0
957,0,19.099832638076123,102,163544.35985860668,19.099832638076123,7,5,Cirrhosis,0
958,0,1.3987853470367695,4,77171.63853703496,1.3987853470367695,7,6,HCC,0
959,230.11054656500002,0,45,0,230.11054656500002,7,7,Liver death,0
960,0,0,998,0,0,7,8,Natural death,0
965,0,121.78606224227339,1768,1.6587522452372225e+07,121.78606224227339,7,13,CHD,0
966,139.11721706400002,0,168,0,139.11721706400002,7,14,CHD death,0
971,0,82.92412572416035,2402,2.754827892313064e+07,82.92412572416035,7,19,T2DM,0
972,917.913444745,0,388,0,917.913444745,7,20,T2DM death,0
977,0,0,8778,2.8332460412562047e+06,0,7,25,Overweight,0
978,0,89.33014051463492,9317,6.01348750559819e+06,89.33014051463492,7,26,Obese,0
1091,0,0,7124,1.1498040207462476e+06,0,8,3,Steatosis,0
1092,0,156.98348773621265,1380,412394.37888481,156.98348773621265,8,4,NASH,0
1093,0,21.08871679056561,116,180574.39314295084,21.08871679056561,8,5,Cirrhosis,0
1094,0,1.3580440262492908,4,74923.92090974268,1.3580440262492908,8,6,HCC,0
1095,130.9965644631068,0,53,0,130.9965644631068,8,7,Liver death,0
1096,0,0,1196,0,0,8,8,Natural death,0
1101,0,118.57328139719901,1773,1.6149934821890293e+07,118.57328139719901,8,13,CHD,0
1102,244.05051935533993,0,207,0,244.05051935533993,8,14,CHD death,0
1107,0,83.45839351234349,2490,2.7725768380151153e+07,83.45839351234349,8,19,T2DM,0
1108,758.6063984058255,0,467,0,758.6063984058255,8,20,T2DM death,0
1113,0,0,8817,2.762945575075362e+06,0,8,25,Overweight,0
1114,0,88.08734838915231,9463,5.929825766394933e+06,88.08734838915231,8,26,Obese,0
1227,0,0,7318,1.146713941635946e+06,0,9,3,Steatosis,0
1228,0,161.79879663258893,1465,425044.1572155971,161.79879663258893,9,4,NASH,0
1229,0,21.357003110633165,121,182871.62345410953,21.357003110633165,9,5,Cirrhosis,0
1230,0,0.6592446729365489,2,36370.83539307897,0.6592446729365489,9,6,HCC,0
1231,192.06070345744183,0,66,0,192.06070345744183,9,7,Liver death,0
1232,0,0,1395,0,0,9,8,Natural death,0
1237,0,116.09363053033118,1788,1.5812201064259158e+07,116.09363053033118,9,13,CHD,0
1238,332.3727192638327,0,253,0,332.3727192638327,9,14,CHD death,0
1243,0,83.59832063524125,2569,2.7772253662655298e+07,83.59832063524125,9,19,T2DM,0
1244,858.8398484663966,0,556,0,858.8398484663966,9,20,T2DM death,0
1249,0,0,8836,2.68825196485702e+06,0,9,25,Overweight,0
1250,0,86.93154474454904,9619,5.852019879875434e+06,86.93154474454904,9,26,Obese,0
1363,0,0,7488,1.1391772375297446e+06,0,10,3,Steatosis,0
1364,0,169.63166193230052,1582,445621.0323172262,169.63166193230052,10,4,NASH,0
1365,0,23.30540337836876,136,199555.00914514132,23.30540337836876,10,5,Cirrhosis,0
1366,0,0.6400433717830573,2,35311.49067289221,0.6400433717830573,10,6,HCC,0
1367,90.0516148040636,0,72,0,90.0516148040636,10,7,Liver death,0
1368,0,0,1561,0,0,10,8,Natural death,0
1373,0,113.09049172010388,1794,1.540316712782262e+07,113.09049172010388,10,13,CHD,0
1374,244.58622143774244,0,295,0,244.58622143774244,10,14,CHD death,0
1379,0,84.07000994319705,2661,2.792895388116251e+07,84.07000994319705,10,19,T2DM,0
1380,730.3141685379787,0,633,0,730.3141685379787,10,20,T2DM death,0
1385,0,0,8814,2.603455064481235e+06,0,10,25,Overweight,0
1386,0,85.84731006500856,9784,5.779031841784895e+06,85.84731006500856,10,26,Obese,0
1499,0,0,7768,1.1473540553079797e+06,0,11,3,Steatosis,0
1500,0,169.8960835329045,1632,446315.66576762096,169.8960835329045,11,4,NASH,0
1501,0,25.288558777213463,152,216535.98936365926,25.288558777213463,11,5,Cirrhosis,0
1502,0,2.174904661398738,7,119990.50228652688,2.174904661398738,11,6,HCC,0
1503,252.34220597971157,0,88,0,252.34220597971157,11,7,Liver death,0
1504,0,0,1729,0,0,11,8,Natural death,0
1509,0,111.38784888711355,1820,1.5171263528176842e+07,111.38784888711355,11,13,CHD,0
1510,219.4878123441788,0,333,0,219.4878123441788,11,14,CHD death,0
1515,0,84.07522438614625,2741,2.7930686174719978e+07,84.07522438614625,11,19,T2DM,0
1516,891.2562527920155,0,726,0,891.2562527920155,11,20,T2DM death,0
1521,0,0,8795,2.522177569677835e+06,0,11,25,Overweight,0
1522,0,84.63322578330722,9935,5.697302644711402e+06,84.63322578330722,11,26,Obese,0
1635,0,0,7961,1.1416122946900197e+06,0,12,3,Steatosis,0
1636,0,172.62903975953785,1708,453495.12012843473,172.62903975953785,12,4,NASH,0
1637,0,26.490314508578148,164,226826.15135181564,26.490314508578148,12,5,Cirrhosis,0
1638,0,3.318162451509864,11,183064.5665952561,3.318162451509864,12,6,HCC,0
1639,206.7524477649746,0,103,0,206.7524477649746,12,7,Liver death,0
1640,0,0,1885,0,0,12,8,Natural death,0
1645,0,110.5203237650906,1860,1.5053104748965435e+07,110.5203237650906,12,13,CHD,0
1646,335.9261459988641,0,389,0,335.9261459988641,12,14,CHD death,0
1651,0,83.83013663321987,2815,2.784926540941971e+07,83.83013663321987,12,19,T2DM,0
1652,776.5143413394802,0,814,0,776.5143413394802,12,20,T2DM death,0
1657,0,0,8772,2.4423123951946665e+06,0,12,25,Overweight,0
1658,0,83.04486151150063,10041,5.590377830221886e+06,83.04486151150063,12,26,Obese,0
1771,0,0,8115,1.1298019314316106e+06,0,13,3,Steatosis,0
1772,0,176.1380632366037,1795,462713.2970092359,176.1380632366037,13,4,NASH,0
1773,0,26.03239526654034,166,222905.1688633759,26.03239526654034,13,5,Cirrhosis,0
1774,0,2.635786589901922,9,145417.57275880885,2.635786589901922,13,6,HCC,0
1775,285.46554831714735,0,126,0,285.46554831714735,13,7,Liver death,0
1776,0,0,2045,0,0,13,8,Natural death,0
1781,0,109.7819063184944,1903,1.4952530711598784e+07,109.7819063184944,13,13,CHD,0
1782,204.026323939224,0,430,0,204.026323939224,13,14,CHD death,0
1787,0,82.94975322930445,2869,2.7556792653652415e+07,82.94975322930445,13,19,T2DM,0
1788,801.3386798203455,0,912,0,801.3386798203455,13,20,T2DM death,0
1793,0,0,8748,2.3646895941149467e+06,0,13,25,Overweight,0
1794,0,81.26042434720438,10120,5.470253866123038e+06,81.26042434720438,13,26,Obese,0
1907,0,0,8223,1.1114933130140246e+06,0,14,3,Steatosis,0
1908,0,177.29558140646012,1861,465754.08807323576,177.29558140646012,14,4,NASH,0
1909,0,26.33994842151993,173,225538.62564840232,26.33994842151993,14,5,Cirrhosis,0
1910,0,2.559016106700895,9,141182.1094745717,2.559016106700895,14,6,HCC,0
1911,230.15822660091465,0,144,0,230.15822660091465,14,7,Liver death,0
1912,0,0,2211,0,0,14,8,Natural death,0
1917,0,108.32064181744992,1934,1.4753503357616842e+07,108.32064181744992,14,13,CHD,0
1918,246.73321208201332,0,468,0,246.73321208201332,14,14,CHD death,0
1923,0,82.0495381460578,2923,2.725773160250961e+07,82.0495381460578,14,19,T2DM,0
1924,857.6385698834365,0,1015,0,857.6385698834365,14,20,T2DM death,0
1929,0,0,8767,2.300801478241667e+06,0,14,25,Overweight,0
1930,0,79.64201380818471,10216,5.361306410099871e+06,79.64201380818471,14,26,Obese,0
2043,0,0,8263,1.0843689964370057e+06,0,15,3,Steatosis,0
2044,0,180.64109518674334,1953,474542.726275684,180.64109518674334,15,4,NASH,0
2045,0,27.49441835345798,186,235423.8979213356,27.49441835345798,15,5,Cirrhosis,0
2046,0,2.7605351744346227,10,152300.01022068143,2.7605351744346227,15,6,HCC,0
2047,229.4397304470798,0,164,0,229.4397304470798,15,7,Liver death,0
2048,0,0,2374,0,0,15,8,Natural death,0
2053,0,106.85136754213535,1965,1.455338505522845e+07,106.85136754213535,15,13,CHD,0
2054,215.01243693302672,0,517,0,215.01243693302672,15,14,CHD death,0
2059,0,82.33051384873167,3021,2.735107472744617e+07,82.33051384873167,15,19,T2DM,0
2060,760.283411591169,0,1103,0,760.283411591169,15,20,T2DM death,0
2065,0,0,8808,2.244234438317889e+06,0,15,25,Overweight,0
2066,0,77.98082469776504,10303,5.249479204830611e+06,77.98082469776504,15,26,Obese,0
2179,0,0,8414,1.0720242813644698e+06,0,16,3,Steatosis,0
2180,0,180.67791325057198,2012,474639.44703778886,180.67791325057198,16,4,NASH,0
2181,0,27.98523634473486,195,239626.57946894635,27.98523634473486,16,5,Cirrhosis,0
2182,0,1.8760918661206176,7,103504.86131502624,1.8760918661206176,16,6,HCC,0
2183,351.17582725854453,0,192,0,351.17582725854453,16,7,Liver death,0
2184,0,0,2502,0,0,16,8,Natural death,0
2189,0,104.84785490683258,1986,1.4280502344269082e+07,104.84785490683258,16,13,CHD,0
2190,267.99245779162266,0,565,0,267.99245779162266,16,14,CHD death,0
2195,0,81.01735534263572,3062,2.6914829467334904e+07,81.01735534263572,16,19,T2DM,0
2196,862.6350885429449,0,1217,0,862.6350885429449,16,20,T2DM death,0
2201,0,0,8838,2.1862896005672156e+06,0,16,25,Overweight,0
2202,0,76.20922296555024,10371,5.130219290762117e+06,76.20922296555024,16,26,Obese,0
2315,0,0,8578,1.0610868484964215e+06,0,17,3,Steatosis,0
2316,0,181.60555757732735,2083,477076.3613366576,181.60555757732735,17,4,NASH,0
2317,0,28.006136446560653,201,239805.53882627844,28.006136446560653,17,5,Cirrhosis,0
2318,0,3.642896827418673,14,200980.31323306062,3.642896827418673,17,6,HCC,0
2319,198.3126132729098,0,210,0,198.3126132729098,17,7,Liver death,0
2320,0,0,2641,0,0,17,8,Natural death,0
2325,0,104.56184750043508,2040,1.4241547523103433e+07,104.56184750043508,17,13,CHD,0
2326,200.73671554078294,0,613,0,200.73671554078294,17,14,CHD death,0
2331,0,80.81544517129868,3146,2.6847752755110983e+07,80.81544517129868,17,19,T2DM,0
2332,671.3463599999586,0,1307,0,671.3463599999586,17,20,T2DM death,0
2337,0,0,8842,2.123571937618855e+06,0,17,25,Overweight,0
2338,0,74.90985797198327,10500,5.042749203857544e+06,74.90985797198327,17,26,Obese,0
2451,0,0,8687,1.0432718438552822e+06,0,18,3,Steatosis,0
2452,0,183.0030508099336,2162,480747.5649897486,183.0030508099336,18,4,NASH,0
2453,0,28.407905394279904,210,243245.72841384518,28.407905394279904,18,5,Cirrhosis,0
2454,0,4.547305332422757,18,250876.9513311437,4.547305332422757,18,6,HCC,0
2455,218.27483151519172,0,231,0,218.27483151519172,18,7,Liver death,0
2456,0,0,2769,0,0,18,8,Natural death,0
2461,0,103.55663651646603,2081,1.4104635634674005e+07,103.55663651646603,18,13,CHD,0
2462,240.98231714372182,0,658,0,240.98231714372182,18,14,CHD death,0
2467,0,80.93066849593309,3245,2.688603117237439e+07,80.93066849593309,18,19,T2DM,0
2468,686.6982519200491,0,1402,0,686.6982519200491,18,20,T2DM death,0
2473,0,0,8880,2.070580921819814e+06,0,18,25,Overweight,0
2474,0,73.60768013577199,10627,4.955089763235119e+06,73.60768013577199,18,26,Obese,0
2587,0,0,8731,1.0180155894927365e+06,0,19,3,Steatosis,0
2588,0,185.3155921685083,2255,486822.59282215725,185.3155921685083,19,4,NASH,0
2589,0,28.631176033069845,218,245157.50713924246,28.631176033069845,19,5,Cirrhosis,0
2590,0,3.433779646921174,14,189443.22106990343,3.433779646921174,19,6,HCC,0
2591,271.1414463480841,0,256,0,271.1414463480841,19,7,Liver death,0
2592,0,0,2923,0,0,19,8,Natural death,0
2597,0,101.45838057906123,2100,1.3818848683100045e+07,101.45838057906123,19,13,CHD,0
2598,248.26568435257437,0,712,0,248.26568435257437,19,14,CHD death,0
2603,0,79.34830303863627,3277,2.6360352492070206e+07,79.34830303863627,19,19,T2DM,0
2604,879.3738592460528,0,1524,0,879.3738592460528,19,20,T2DM death,0
2609,0,0,8879,2.0100463575661522e+06,0,19,25,Overweight,0
2610,0,71.6520597239083,10655,4.823442159810661e+06,71.6520597239083,19,26,Obese,0
2723,0,0,8786,994590.7473183031,0,20,3,Steatosis,0
2724,0,185.1041585391429,2320,486267.1583524861,185.1041585391429,20,4,NASH,0
2725,0,28.562320439153932,224,244567.92375162855,28.562320439153932,20,5,Cirrhosis,0
2726,0,2.381261891068776,10,131375.32667815775,2.381261891068776,20,6,HCC,0
2727,340.3062718181737,0,287,0,340.3062718181737,20,7,Liver death,0
2728,0,0,3074,0,0,20,8,Natural death,0
2733,0,98.36256314114243,2097,1.3397191719121426e+07,98.36256314114243,20,13,CHD,0
2734,236.35731098484447,0,773,0,236.35731098484447,20,14,CHD death,0
2739,0,78.25962676482773,3329,2.5998682623550482e+07,78.25962676482773,20,19,T2DM,0
2740,946.9084209838707,0,1660,0,946.9084209838707,20,20,T2DM death,0
2745,0,0,8909,1.9580949704116115e+06,0,20,25,Overweight,0
2746,0,69.90460775187582,10707,4.705807948781106e+06,69.90460775187582,20,26,Obese,0
2859,0,0,8861,973864.9320727057,0,21,3,Steatosis,0
2860,0,187.6914028039638,2423,493063.8285436958,187.6914028039638,21,4,NASH,0
2861,0,28.473186984246862,230,243804.7090103785,28.473186984246862,21,5,Cirrhosis,0
2862,0,1.6183333240273234,7,89284.20259680627,1.6183333240273234,21,6,HCC,0
2863,296.3120524125815,0,319,0,296.3120524125815,21,7,Liver death,0
2864,0,0,3208,0,0,21,8,Natural death,0
2869,0,95.49763411761374,2097,1.3006982251575146e+07,95.49763411761374,21,13,CHD,0
