Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6146,0,0,2,3,Steatosis,0
276,0,0,592,0,0,2,4,NASH,0
277,0,0,83,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1442,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2023,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7531,0,0,2,25,Overweight,0
298,0,0,8188,0,0,2,26,Obese,0
411,0,0,6412,0,0,3,3,Steatosis,0
412,0,0,666,0,0,3,4,NASH,0
413,0,0,90,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,217,0,0,3,8,Natural death,0
421,0,0,1489,0,0,3,13,CHD,0
422,0,0,29,0,0,3,14,CHD death,0
427,0,0,2135,0,0,3,19,T2DM,0
428,0,0,66,0,0,3,20,T2DM death,0
433,0,0,7906,0,0,3,25,Overweight,0
434,0,0,8231,0,0,3,26,Obese,0
547,0,0,6634,0,0,4,3,Steatosis,0
548,0,0,760,0,0,4,4,NASH,0
549,0,0,95,0,0,4,5,Cirrhosis,0
550,0,0,5,0,0,4,6,HCC,0
551,0,0,16,0,0,4,7,Liver death,0
552,0,0,444,0,0,4,8,Natural death,0
557,0,0,1515,0,0,4,13,CHD,0
558,0,0,60,0,0,4,14,CHD death,0
563,0,0,2305,0,0,4,19,T2DM,0
564,0,0,140,0,0,4,20,T2DM death,0
569,0,0,8189,0,0,4,25,Overweight,0
570,0,0,8326,0,0,4,26,Obese,0
683,0,0,6892,0,0,5,3,Steatosis,0
684,0,0,850,0,0,5,4,NASH,0
685,0,0,100,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,20,0,0,5,7,Liver death,0
688,0,0,634,0,0,5,8,Natural death,0
693,0,0,1524,0,0,5,13,CHD,0
694,0,0,91,0,0,5,14,CHD death,0
699,0,0,2441,0,0,5,19,T2DM,0
700,0,0,222,0,0,5,20,T2DM death,0
705,0,0,8510,0,0,5,25,Overweight,0
706,0,0,8346,0,0,5,26,Obese,0
819,0,0,7085,0,0,6,3,Steatosis,0
820,0,0,924,0,0,6,4,NASH,0
821,0,0,108,0,0,6,5,Cirrhosis,0
822,0,0,4,0,0,6,6,HCC,0
823,0,0,33,0,0,6,7,Liver death,0
824,0,0,820,0,0,6,8,Natural death,0
829,0,0,1531,0,0,6,13,CHD,0
830,0,0,133,0,0,6,14,CHD death,0
835,0,0,2604,0,0,6,19,T2DM,0
836,0,0,306,0,0,6,20,T2DM death,0
841,0,0,8712,0,0,6,25,Overweight,0
842,0,0,8404,0,0,6,26,Obese,0
955,0,0,7299,776540.8629894957,0,7,3,Steatosis,0
956,0,155.9803010834203,1013,228500.90742532184,155.9803010834203,7,4,NASH,0
957,0,15.672985437871706,109,317153.42385507235,15.672985437871706,7,5,Cirrhosis,0
958,0,1.364882765553566,5,72076.64948945896,1.364882765553566,7,6,HCC,0
959,181.481670437,0,45,0,181.481670437,7,7,Liver death,0
960,0,0,1027,0,0,7,8,Natural death,0
965,0,93.79771677433031,1553,1.6367670125124192e+07,93.79771677433031,7,13,CHD,0
966,272.08730119200004,0,166,0,272.08730119200004,7,14,CHD death,0
971,0,83.7287736165559,2751,2.351549073053232e+07,83.7287736165559,7,19,T2DM,0
972,849.593398263,0,391,0,849.593398263,7,20,T2DM death,0
977,0,0,8855,2.853347217808523e+06,0,7,25,Overweight,0
978,0,134.95515558089107,8445,8.010856144839699e+06,134.95515558089107,7,26,Obese,0
1091,0,0,7394,763735.8410506535,0,8,3,Steatosis,0
1092,0,169.67542503731087,1135,248563.36549873775,169.67542503731087,8,4,NASH,0
1093,0,15.774894045421826,113,319215.6132147779,15.774894045421826,8,5,Cirrhosis,0
1094,0,1.3251288985956953,5,69977.32960141645,1.3251288985956953,8,6,HCC,0
1095,176.7565032961165,0,56,0,176.7565032961165,8,7,Liver death,0
1096,0,0,1245,0,0,8,8,Natural death,0
1101,0,90.06888825597704,1536,1.5716990799012385e+07,90.06888825597704,8,13,CHD,0
1102,320.95911080097096,0,212,0,320.95911080097096,8,14,CHD death,0
1107,0,85.45652006475366,2892,2.4000733781783246e+07,85.45652006475366,8,19,T2DM,0
1108,917.1614917757286,0,484,0,917.1614917757286,8,20,T2DM death,0
1113,0,0,8924,2.7918263031380475e+06,0,8,25,Overweight,0
1114,0,131.21060324634522,8457,7.788581790444054e+06,131.21060324634522,8,26,Obese,0
1227,0,0,7531,755229.8529840524,0,9,3,Steatosis,0
1228,0,180.5536364966556,1244,264499.23158156726,180.5536364966556,9,4,NASH,0
1229,0,15.993105055071528,118,323631.26006825204,15.993105055071528,9,5,Cirrhosis,0
1230,0,1.2865329112579564,5,67939.15495283151,1.2865329112579564,9,6,HCC,0
1231,126.31447758978226,0,63,0,126.31447758978226,9,7,Liver death,0
1232,0,0,1473,0,0,9,8,Natural death,0
1237,0,89.21037362024093,1567,1.5567180282950759e+07,89.21037362024093,9,13,CHD,0
1238,200.26306612687344,0,242,0,200.26306612687344,9,14,CHD death,0
1243,0,86.29537537591581,3008,2.4236328947482135e+07,86.29537537591581,9,19,T2DM,0
1244,1032.943873520596,0,582,0,1032.943873520596,9,20,T2DM death,0
1249,0,0,8905,2.7047400518557155e+06,0,9,25,Overweight,0
1250,0,128.85005931423842,8554,7.648461335007144e+06,128.85005931423842,9,26,Obese,0
1363,0,0,7657,745500.473034952,0,10,3,Steatosis,0
1364,0,185.44047203634116,1316,271658.1250283689,185.44047203634116,10,4,NASH,0
1365,0,16.579983848436846,126,335507.1480055919,16.579983848436846,10,5,Cirrhosis,0
1366,0,0.499624431556488,2,26384.13784575981,0.499624431556488,10,6,HCC,0
1367,255.78340138387725,0,80,0,255.78340138387725,10,7,Liver death,0
1368,0,0,1671,0,0,10,8,Natural death,0
1373,0,87.66219079293725,1586,1.529702289871889e+07,87.66219079293725,10,13,CHD,0
1374,235.4251986607817,0,279,0,235.4251986607817,10,14,CHD death,0
1379,0,87.70919523947879,3149,2.463340472514298e+07,87.70919523947879,10,19,T2DM,0
1380,903.6538153134316,0,667,0,903.6538153134316,10,20,T2DM death,0
1385,0,0,8960,2.642179953951111e+06,0,10,25,Overweight,0
1386,0,126.09160438282694,8622,7.484721124101006e+06,126.09160438282694,10,26,Obese,0
1499,0,0,7804,737682.2136943383,0,11,3,Steatosis,0
1500,0,191.94158694114853,1403,281181.8318343219,191.94158694114853,11,4,NASH,0
1501,0,15.969317160229586,125,323149.8959831952,15.969317160229586,11,5,Cirrhosis,0
1502,0,1.2126806591176893,5,64039.16952854322,1.2126806591176893,11,6,HCC,0
1503,155.19003557866424,0,91,0,155.19003557866424,11,7,Liver death,0
1504,0,0,1862,0,0,11,8,Natural death,0
1509,0,88.7043189686002,1653,1.5478873915928667e+07,88.7043189686002,11,13,CHD,0
1510,224.4323696293412,0,312,0,224.4323696293412,11,14,CHD death,0
1515,0,88.45365538398937,3271,2.4842488709914222e+07,88.45365538398937,11,19,T2DM,0
1516,1006.8184222911592,0,771,0,1006.8184222911592,11,20,T2DM death,0
1521,0,0,9030,2.5852640629527955e+06,0,11,25,Overweight,0
1522,0,122.95857447030481,8660,7.2987463696053e+06,122.95857447030481,11,26,Obese,0
1635,0,0,7888,723905.254166472,0,12,3,Steatosis,0
1636,0,199.10208971398592,1499,291671.4986053922,199.10208971398592,12,4,NASH,0
1637,0,16.62049319977301,134,336326.88203299575,16.62049319977301,12,5,Cirrhosis,0
1638,0,1.6483038085094808,7,87043.53139801991,1.6483038085094808,12,6,HCC,0
1639,87.02867614366352,0,99,0,87.02867614366352,12,7,Liver death,0
1640,0,0,2087,0,0,12,8,Natural death,0
1645,0,86.5895947502392,1662,1.5109855248928731e+07,86.5895947502392,12,13,CHD,0
1646,253.0946926188841,0,349,0,253.0946926188841,12,14,CHD death,0
1651,0,89.81545831376737,3421,2.5224955367294986e+07,89.81545831376737,12,19,T2DM,0
1652,896.7708191488191,0,869,0,896.7708191488191,12,20,T2DM death,0
1657,0,0,9113,2.5330356638268717e+06,0,12,25,Overweight,0
1658,0,119.98379248293283,8704,7.122165115927221e+06,119.98379248293283,12,26,Obese,0
1771,0,0,7996,712443.4328554688,0,13,3,Steatosis,0
1772,0,199.62177689802064,1548,292432.8062340163,199.62177689802064,13,4,NASH,0
1773,0,16.497663877473556,137,333841.34790987085,16.497663877473556,13,5,Cirrhosis,0
1774,0,1.8289085253919344,8,96580.89475508452,1.8289085253919344,13,6,HCC,0
1775,181.09767417858498,0,114,0,181.09767417858498,13,7,Liver death,0
1776,0,0,2287,0,0,13,8,Natural death,0
1781,0,83.61232818229351,1653,1.4590323231151085e+07,83.61232818229351,13,13,CHD,0
1782,267.9627560853898,0,393,0,267.9627560853898,13,14,CHD death,0
1787,0,90.69153136974901,3558,2.5471003254267365e+07,90.69153136974901,13,19,T2DM,0
1788,851.813394636604,0,969,0,851.813394636604,13,20,T2DM death,0
1793,0,0,9179,2.477068858023776e+06,0,13,25,Overweight,0
1794,0,116.4088185118082,8698,6.90995683028646e+06,116.4088185118082,13,26,Obese,0
1907,0,0,8086,699478.0883244738,0,14,3,Steatosis,0
1908,0,205.82662327861473,1644,301522.4990898055,205.82662327861473,14,4,NASH,0
1909,0,17.303197887223295,148,350141.8715233568,17.303197887223295,14,5,Cirrhosis,0
1910,0,1.9975942631708017,9,105488.8413587088,1.9975942631708017,14,6,HCC,0
1911,183.99503175622493,0,128,0,183.99503175622493,14,7,Liver death,0
1912,0,0,2469,0,0,14,8,Natural death,0
1917,0,83.23959160396112,1695,1.452528082321676e+07,83.23959160396112,14,13,CHD,0
1918,165.52824539992312,0,418,0,165.52824539992312,14,14,CHD death,0
1923,0,90.67321854721709,3664,2.546586004017367e+07,90.67321854721709,14,19,T2DM,0
1924,982.3300094824257,0,1076,0,982.3300094824257,14,20,T2DM death,0
1929,0,0,9299,2.436361524963186e+06,0,14,25,Overweight,0
1930,0,113.35610381331114,8724,6.728749538162652e+06,113.35610381331114,14,26,Obese,0
2043,0,0,8140,683640.1450140915,0,15,3,Steatosis,0
2044,0,212.10843645689414,1745,310724.9432544947,212.10843645689414,15,4,NASH,0
2045,0,17.820795514917773,157,360615.80837816256,17.820795514917773,15,5,Cirrhosis,0
2046,0,1.5084314824374982,7,79657.1617595428,1.5084314824374982,15,6,HCC,0
2047,193.35728188393452,0,144,0,193.35728188393452,15,7,Liver death,0
2048,0,0,2684,0,0,15,8,Natural death,0
2053,0,81.00585166831573,1699,1.4135493953458328e+07,81.00585166831573,15,13,CHD,0
2054,193.96783638815265,0,456,0,193.96783638815265,15,14,CHD death,0
2059,0,90.00240510606184,3746,2.5277459964836083e+07,90.00240510606184,15,19,T2DM,0
2060,893.4752462532106,0,1182,0,893.4752462532106,15,20,T2DM death,0
2065,0,0,9295,2.3643820532468483e+06,0,15,25,Overweight,0
2066,0,110.3193876336178,8745,6.548491908407697e+06,110.3193876336178,15,26,Obese,0
2179,0,0,8199,668539.1031906013,0,16,3,Steatosis,0
2180,0,219.0298261685256,1856,320864.3250787839,219.0298261685256,16,4,NASH,0
2181,0,17.742551962783658,161,359032.4973649392,17.742551962783658,16,5,Cirrhosis,0
2182,0,1.0460689892076966,5,55240.75017998807,1.0460689892076966,16,6,HCC,0
2183,194.1736388377186,0,158,0,194.1736388377186,16,7,Liver death,0
2184,0,0,2867,0,0,16,8,Natural death,0
2189,0,79.57225496313684,1719,1.3885331809114251e+07,79.57225496313684,16,13,CHD,0
2190,159.45315505367364,0,487,0,159.45315505367364,16,14,CHD death,0
2195,0,90.71666177450756,3889,2.547806120787967e+07,90.71666177450756,16,19,T2DM,0
2196,788.6035454823225,0,1283,0,788.6035454823225,16,20,T2DM death,0
2201,0,0,9291,2.2945287064984194e+06,0,16,25,Overweight,0
2202,0,108.22074296332161,8836,6.4239176342319725e+06,108.22074296332161,16,26,Obese,0
2315,0,0,8240,652312.8217496121,0,17,3,Steatosis,0
2316,0,220.89968240128866,1928,323603.54178097844,220.89968240128866,17,4,NASH,0
2317,0,18.402695155272305,172,372390.93979840283,18.402695155272305,17,5,Cirrhosis,0
2318,0,1.015600960395822,5,53631.796291250546,1.015600960395822,17,6,HCC,0
2319,179.0064071653077,0,172,0,179.0064071653077,17,7,Liver death,0
2320,0,0,3092,0,0,17,8,Natural death,0
2325,0,77.34449967612635,1721,1.3496589258535726e+07,77.34449967612635,17,13,CHD,0
2326,144.25413389307235,0,517,0,144.25413389307235,17,14,CHD death,0
2331,0,90.15795872457508,3981,2.532114769029072e+07,90.15795872457508,17,19,T2DM,0
2332,971.198706435134,0,1408,0,971.198706435134,17,20,T2DM death,0
2337,0,0,9264,2.2212239986921703e+06,0,17,25,Overweight,0
2338,0,105.48486672217818,8871,6.261517680679389e+06,105.48486672217818,17,26,Obese,0
2451,0,0,8283,636618.3314345244,0,18,3,Steatosis,0
2452,0,222.029854405676,1996,325259.16961832583,222.029854405676,18,4,NASH,0
2453,0,19.63258853209788,189,397278.6612209195,19.63258853209788,18,5,Cirrhosis,0
2454,0,0.9860203498988563,5,52069.705137136465,0.9860203498988563,18,6,HCC,0
2455,188.33799568244876,0,189,0,188.33799568244876,18,7,Liver death,0
2456,0,0,3276,0,0,18,8,Natural death,0
2461,0,76.00803237889706,1742,1.3263376163309857e+07,76.00803237889706,18,13,CHD,0
2462,142.47901861033188,0,552,0,142.47901861033188,18,14,CHD death,0
2467,0,89.53285580450594,4072,2.5145585559285633e+07,89.53285580450594,18,19,T2DM,0
2468,887.168891134917,0,1521,0,887.168891134917,18,20,T2DM death,0
2473,0,0,9297,2.164210087261063e+06,0,18,25,Overweight,0
2474,0,103.1859827717115,8938,6.125057324336516e+06,103.1859827717115,18,26,Obese,0
2587,0,0,8334,621881.6612543113,0,19,3,Steatosis,0
2588,0,221.502826714614,2051,324487.10862852033,221.502826714614,19,4,NASH,0
2589,0,19.16161617659942,190,387748.21817421855,19.16161617659942,19,5,Cirrhosis,0
2590,0,1.7231423590465453,9,90995.60121052971,1.7231423590465453,19,6,HCC,0
2591,239.5426302172411,0,208,0,239.5426302172411,19,7,Liver death,0
2592,0,0,3509,0,0,19,8,Natural death,0
2597,0,72.26918241414471,1706,1.2610948098161668e+07,72.26918241414471,19,13,CHD,0
2598,190.43269513136286,0,601,0,190.43269513136286,19,14,CHD death,0
2603,0,88.31265961796119,4137,2.4802889603344336e+07,88.31265961796119,19,19,T2DM,0
2604,1096.0256832263567,0,1675,0,1096.0256832263567,19,20,T2DM death,0
2609,0,0,9231,2.0862584668721338e+06,0,19,25,Overweight,0
2610,0,100.13573224851258,8934,5.943996304164851e+06,100.13573224851258,19,26,Obese,0
2723,0,0,8347,604710.4068362113,0,20,3,Steatosis,0
2724,0,220.9229955966172,2107,323637.69408257084,220.9229955966172,20,4,NASH,0
2725,0,19.190990141101047,196,388342.6201438248,19.190990141101047,20,5,Cirrhosis,0
2726,0,2.4164887451569674,13,127609.79673537072,2.4164887451569674,20,6,HCC,0
2727,210.87551165519352,0,230,0,210.87551165519352,20,7,Liver death,0
2728,0,0,3728,0,0,20,8,Natural death,0
2733,0,70.53440617367465,1715,1.2308230225899914e+07,70.53440617367465,20,13,CHD,0
2734,163.89913141680046,0,636,0,163.89913141680046,20,14,CHD death,0
2739,0,86.88033613740255,4192,2.440061702636474e+07,86.88033613740255,20,19,T2DM,0
2740,969.2689645929246,0,1820,0,969.2689645929246,20,20,T2DM death,0
2745,0,0,9222,2.0235188502119665e+06,0,20,25,Overweight,0
2746,0,97.49120575855548,8959,5.787018816411942e+06,97.49120575855548,20,26,Obese,0
2859,0,0,8385,589770.2635238084,0,21,3,Steatosis,0
2860,0,222.73398167245432,2188,326290.6698672884,222.73398167245432,21,4,NASH,0
2861,0,19.677704374915272,207,398191.61070820206,19.677704374915272,21,5,Cirrhosis,0
2862,0,1.8046965983248444,10,95302.31272245759,1.8046965983248444,21,6,HCC,0
2863,143.22290798369093,0,245,0,143.22290798369093,21,7,Liver death,0
2864,0,0,3954,0,0,21,8,Natural death,0
2869,0,68.24042579796118,1709,1.1907931419549782e+07,68.24042579796118,21,13,CHD,0
2870,137.66780839923166,0,669,0,137.66780839923166,21,14,CHD death,0
