Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6332,0,0,2,3,Steatosis,0
276,0,0,698,0,0,2,4,NASH,0
277,0,0,65,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1451,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2066,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7389,0,0,2,25,Overweight,0
298,0,0,8506,0,0,2,26,Obese,0
411,0,0,6729,0,0,3,3,Steatosis,0
412,0,0,885,0,0,3,4,NASH,0
413,0,0,75,0,0,3,5,Cirrhosis,0
414,0,0,7,0,0,3,6,HCC,0
415,0,0,5,0,0,3,7,Liver death,0
416,0,0,190,0,0,3,8,Natural death,0
421,0,0,1495,0,0,3,13,CHD,0
422,0,0,34,0,0,3,14,CHD death,0
427,0,0,2246,0,0,3,19,T2DM,0
428,0,0,66,0,0,3,20,T2DM death,0
433,0,0,7840,0,0,3,25,Overweight,0
434,0,0,8642,0,0,3,26,Obese,0
547,0,0,7058,0,0,4,3,Steatosis,0
548,0,0,1078,0,0,4,4,NASH,0
549,0,0,96,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,13,0,0,4,7,Liver death,0
552,0,0,366,0,0,4,8,Natural death,0
557,0,0,1546,0,0,4,13,CHD,0
558,0,0,86,0,0,4,14,CHD death,0
563,0,0,2420,0,0,4,19,T2DM,0
564,0,0,135,0,0,4,20,T2DM death,0
569,0,0,8099,0,0,4,25,Overweight,0
570,0,0,8789,0,0,4,26,Obese,0
683,0,0,7211,0,0,5,3,Steatosis,0
684,0,0,1313,0,0,5,4,NASH,0
685,0,0,101,0,0,5,5,Cirrhosis,0
686,0,0,7,0,0,5,6,HCC,0
687,0,0,21,0,0,5,7,Liver death,0
688,0,0,552,0,0,5,8,Natural death,0
693,0,0,1583,0,0,5,13,CHD,0
694,0,0,122,0,0,5,14,CHD death,0
699,0,0,2594,0,0,5,19,T2DM,0
700,0,0,220,0,0,5,20,T2DM death,0
705,0,0,8217,0,0,5,25,Overweight,0
706,0,0,8872,0,0,5,26,Obese,0
819,0,0,7399,0,0,6,3,Steatosis,0
820,0,0,1510,0,0,6,4,NASH,0
821,0,0,120,0,0,6,5,Cirrhosis,0
822,0,0,7,0,0,6,6,HCC,0
823,0,0,32,0,0,6,7,Liver death,0
824,0,0,743,0,0,6,8,Natural death,0
829,0,0,1620,0,0,6,13,CHD,0
830,0,0,157,0,0,6,14,CHD death,0
835,0,0,2800,0,0,6,19,T2DM,0
836,0,0,301,0,0,6,20,T2DM death,0
841,0,0,8289,0,0,6,25,Overweight,0
842,0,0,8939,0,0,6,26,Obese,0
955,0,0,7520,502377.0294812391,0,7,3,Steatosis,0
956,0,247.77009832526406,1709,318732.2353501593,247.77009832526406,7,4,NASH,0
957,0,30.2258345632648,146,446198.2642350635,30.2258345632648,7,5,Cirrhosis,0
958,0,1.4246221233246037,5,165414.48639165724,1.4246221233246037,7,6,HCC,0
959,172.35852843199999,0,44,0,172.35852843199999,7,7,Liver death,0
960,0,0,956,0,0,7,8,Natural death,0
965,0,97.38291950772002,1664,2.5866867369646e+07,97.38291950772002,7,13,CHD,0
966,331.925071939,0,197,0,331.925071939,7,14,CHD death,0
971,0,72.98264557387208,2929,2.0627295362646915e+07,72.98264557387208,7,19,T2DM,0
972,1100.9635910129998,0,410,0,1100.9635910129998,7,20,T2DM death,0
977,0,0,8376,2.7706590702612344e+06,0,7,25,Overweight,0
978,0,111.18107043307099,8962,6.529742070008792e+06,111.18107043307099,7,26,Obese,0
1091,0,0,7599,492868.6024359459,0,8,3,Steatosis,0
1092,0,266.31200101766984,1892,342584.597409777,266.31200101766984,8,4,NASH,0
1093,0,34.77237251924998,173,513314.933586022,34.77237251924998,8,5,Cirrhosis,0
1094,0,2.2130052401158893,8,256954.5419676229,2.2130052401158893,8,6,HCC,0
1095,166.36695913592234,0,54,0,166.36695913592234,8,7,Liver death,0
1096,0,0,1165,0,0,8,8,Natural death,0
1101,0,96.47836382335099,1698,2.5626599137451522e+07,96.47836382335099,8,13,CHD,0
1102,228.30556490970883,0,233,0,228.30556490970883,8,14,CHD death,0
1107,0,75.57428221063219,3124,2.1359777091128334e+07,75.57428221063219,8,19,T2DM,0
1108,801.1834342165054,0,499,0,801.1834342165054,8,20,T2DM death,0
1113,0,0,8409,2.700558243366149e+06,0,8,25,Overweight,0
1114,0,108.47274471934394,9006,6.370680205580631e+06,108.47274471934394,8,26,Obese,0
1227,0,0,7700,484873.2317557946,0,9,3,Steatosis,0
1228,0,281.3770859907776,2059,361964.37019783584,281.3770859907776,9,4,NASH,0
1229,0,37.272142943918,191,550216.9162968197,37.272142943918,9,5,Cirrhosis,0
1230,0,3.4913917623187585,13,405389.4472790166,3.4913917623187585,9,6,HCC,0
1231,309.67564561221604,0,71,0,309.67564561221604,9,7,Liver death,0
1232,0,0,1364,0,0,9,8,Natural death,0
1237,0,96.26101802905674,1745,2.5568867711214054e+07,96.26101802905674,9,13,CHD,0
1238,236.5846992148176,0,264,0,236.5846992148176,9,14,CHD death,0
1243,0,76.87263828902768,3273,2.172673520979323e+07,76.87263828902768,9,19,T2DM,0
1244,835.5890693957961,0,591,0,835.5890693957961,9,20,T2DM death,0
1249,0,0,8433,2.6293843358201757e+06,0,9,25,Overweight,0
1250,0,106.37746989729241,9097,6.247623249027489e+06,106.37746989729241,9,26,Obese,0
1363,0,0,7730,472584.80411954416,0,10,3,Steatosis,0
1364,0,294.8079636507093,2222,379241.8935479244,294.8079636507093,10,4,NASH,0
1365,0,39.78625536635384,210,587330.6177112415,39.78625536635384,10,5,Cirrhosis,0
1366,0,2.0859696862247996,8,242204.30009201894,2.0859696862247996,10,6,HCC,0
1367,344.74149670503243,0,94,0,344.74149670503243,10,7,Liver death,0
1368,0,0,1545,0,0,10,8,Natural death,0
1373,0,94.20709973745407,1759,2.502330559102495e+07,94.20709973745407,10,13,CHD,0
1374,279.9440092694699,0,305,0,279.9440092694699,10,14,CHD death,0
1379,0,78.21367212508406,3430,2.2105755466049936e+07,78.21367212508406,10,19,T2DM,0
1380,1002.2888494811604,0,695,0,1002.2888494811604,10,20,T2DM death,0
1385,0,0,8478,2.566422526284423e+06,0,10,25,Overweight,0
1386,0,103.81269241016746,9144,6.096992072402383e+06,103.81269241016746,10,26,Obese,0
1499,0,0,7799,462915.74716190255,0,11,3,Steatosis,0
1500,0,307.99063254867417,2391,396200.12036433275,307.99063254867417,11,4,NASH,0
1501,0,45.06533779360432,245,665261.2174722807,45.06533779360432,11,5,Cirrhosis,0
1502,0,2.278364948546503,9,264543.5316539042,2.278364948546503,11,6,HCC,0
1503,293.9431321714843,0,114,0,293.9431321714843,11,7,Liver death,0
1504,0,0,1720,0,0,11,8,Natural death,0
1509,0,92.91912727930645,1787,2.4681194131242663e+07,92.91912727930645,11,13,CHD,0
1510,234.14934700955382,0,340,0,234.14934700955382,11,14,CHD death,0
1515,0,79.32281899408883,3583,2.2419236840798862e+07,79.32281899408883,11,19,T2DM,0
1516,882.4794771895213,0,788,0,882.4794771895213,11,20,T2DM death,0
1521,0,0,8545,2.511363562012094e+06,0,11,25,Overweight,0
1522,0,101.13071682246667,9175,5.939477769314693e+06,101.13071682246667,11,26,Obese,0
1635,0,0,7852,452486.99381613574,0,12,3,Steatosis,0
1636,0,318.9046761111076,2550,410239.9803994035,318.9046761111076,12,4,NASH,0
1637,0,49.467400708652626,277,730245.1247862917,49.467400708652626,12,5,Cirrhosis,0
1638,0,4.178231297226598,17,485139.16268785024,4.178231297226598,12,6,HCC,0
1639,236.80523393724962,0,131,0,236.80523393724962,12,7,Liver death,0
1640,0,0,1901,0,0,12,8,Natural death,0
1645,0,91.52529745974645,1813,2.4310964821412537e+07,91.52529745974645,12,13,CHD,0
1646,325.6235542073486,0,393,0,325.6235542073486,12,14,CHD death,0
1651,0,80.12905310946277,3728,2.264710511138148e+07,80.12905310946277,12,19,T2DM,0
1652,1174.5048065490064,0,913,0,1174.5048065490064,12,20,T2DM death,0
1657,0,0,8546,2.4385023889461267e+06,0,12,25,Overweight,0
1658,0,98.38848818451292,9194,5.778424762422046e+06,98.38848818451292,12,26,Obese,0
1771,0,0,7966,445685.8920044674,0,13,3,Steatosis,0
1772,0,323.3364372678222,2663,415941.0119184134,323.3364372678222,13,4,NASH,0
1773,0,53.92156468539791,311,795998.1557202254,53.92156468539791,13,5,Cirrhosis,0
1774,0,4.295154960027343,18,498715.3014495317,4.295154960027343,13,6,HCC,0
1775,184.64745577636032,0,147,0,184.64745577636032,13,7,Liver death,0
1776,0,0,2095,0,0,13,8,Natural death,0
1781,0,91.06507086372588,1858,2.418871935599258e+07,91.06507086372588,13,13,CHD,0
1782,236.91514034295852,0,431,0,236.91514034295852,13,14,CHD death,0
1787,0,80.94623656496111,3879,2.2878068025501736e+07,80.94623656496111,13,19,T2DM,0
1788,840.296619317822,0,1008,0,840.296619317822,13,20,T2DM death,0
1793,0,0,8556,2.370248323729088e+06,0,13,25,Overweight,0
1794,0,96.00072977364573,9240,5.638190040018731e+06,96.00072977364573,13,26,Obese,0
1907,0,0,8022,435746.6106755277,0,14,3,Steatosis,0
1908,0,323.93881257066744,2748,416715.9094064333,323.93881257066744,14,4,NASH,0
1909,0,59.420948190758224,353,877180.872753839,59.420948190758224,14,5,Cirrhosis,0
1910,0,3.243374834972103,14,376591.9212671761,3.243374834972103,14,6,HCC,0
1911,600.1376994997935,0,192,0,600.1376994997935,14,7,Liver death,0
1912,0,0,2279,0,0,14,8,Natural death,0
1917,0,89.64989680273194,1884,2.3812820585182346e+07,89.64989680273194,14,13,CHD,0
1918,279.73167211513214,0,483,0,279.73167211513214,14,14,CHD death,0
1923,0,81.26290052287189,4011,2.2967567672154233e+07,81.26290052287189,14,19,T2DM,0
1924,1008.7022267152843,0,1126,0,1008.7022267152843,14,20,T2DM death,0
1929,0,0,8600,2.313046154412528e+06,0,14,25,Overweight,0
1930,0,93.01293754913026,9221,5.462714911846898e+06,93.01293754913026,14,26,Obese,0
2043,0,0,8001,421947.4880988394,0,15,3,Steatosis,0
2044,0,324.6895928770744,2837,417681.71555871196,324.6895928770744,15,4,NASH,0
2045,0,63.410236524696266,388,936071.3403242439,63.410236524696266,15,5,Cirrhosis,0
2046,0,4.498439438241474,20,522318.89218748425,4.498439438241474,15,6,HCC,0
2047,284.2157395173223,0,217,0,284.2157395173223,15,7,Liver death,0
2048,0,0,2474,0,0,15,8,Natural death,0
2053,0,88.23990625874124,1910,2.3438298661028374e+07,88.23990625874124,15,13,CHD,0
2054,242.6327064626588,0,534,0,242.6327064626588,15,14,CHD death,0
2059,0,80.72532180820279,4104,2.281563025139913e+07,80.72532180820279,15,19,T2DM,0
2060,923.9040522254644,0,1250,0,923.9040522254644,15,20,T2DM death,0
2065,0,0,8640,2.256120882154342e+06,0,15,25,Overweight,0
2066,0,90.26464974844734,9217,5.301306046084895e+06,90.26464974844734,15,26,Obese,0
2179,0,0,8002,409708.9562550178,0,16,3,Steatosis,0
2180,0,326.5663214135136,2939,420095.94506263034,326.5663214135136,16,4,NASH,0
2181,0,65.0540410747801,410,960337.427517107,65.0540410747801,16,5,Cirrhosis,0
2182,0,5.022529469881257,23,583171.578655929,5.022529469881257,16,6,HCC,0
2183,391.81939181998496,0,249,0,391.81939181998496,16,7,Liver death,0
2184,0,0,2666,0,0,16,8,Natural death,0
2189,0,86.34261147160208,1925,2.293433890229243e+07,86.34261147160208,16,13,CHD,0
2190,254.2868800662145,0,580,0,254.2868800662145,16,14,CHD death,0
2195,0,80.87580618902274,4235,2.285816208545671e+07,80.87580618902274,16,19,T2DM,0
2196,1008.4952879528265,0,1374,0,1008.4952879528265,16,20,T2DM death,0
2201,0,0,8626,2.186859350218372e+06,0,16,25,Overweight,0
2202,0,87.82574303146025,9237,5.158067347872139e+06,87.82574303146025,16,26,Obese,0
2315,0,0,8023,398819.58588445414,0,17,3,Steatosis,0
2316,0,329.78433472884007,3057,424235.6075332776,329.78433472884007,17,4,NASH,0
2317,0,67.62662569696573,439,998314.3042387217,67.62662569696573,17,5,Cirrhosis,0
2318,0,4.452221142570974,21,516952.43359115697,4.452221142570974,17,6,HCC,0
2319,440.69287360352047,0,286,0,440.69287360352047,17,7,Liver death,0
2320,0,0,2821,0,0,17,8,Natural death,0
2325,0,84.65516918461589,1944,2.2486120199751724e+07,84.65516918461589,17,13,CHD,0
2326,223.17420270774213,0,625,0,223.17420270774213,17,14,CHD death,0
2331,0,81.28277629387235,4384,2.2973185218564514e+07,81.28277629387235,17,19,T2DM,0
2332,874.9015504713377,0,1493,0,874.9015504713377,17,20,T2DM death,0
2337,0,0,8685,2.137686409415916e+06,0,17,25,Overweight,0
2338,0,85.60926254515596,9274,5.027891897840106e+06,85.60926254515596,17,26,Obese,0
2451,0,0,8041,388072.19173237,0,18,3,Steatosis,0
2452,0,330.65259891795176,3157,425352.5453225501,330.65259891795176,18,4,NASH,0
2453,0,68.79768189089128,460,1.015601609902931e+06,68.79768189089128,18,5,Cirrhosis,0
2454,0,5.557557598216194,27,645294.2999057438,5.557557598216194,18,6,HCC,0
2455,475.0041363717572,0,325,0,475.0041363717572,18,7,Liver death,0
2456,0,0,2986,0,0,18,8,Natural death,0
2461,0,84.76847567578915,2005,2.2516216688891917e+07,84.76847567578915,18,13,CHD,0
2462,158.878601133276,0,662,0,158.878601133276,18,14,CHD death,0
2467,0,81.50742573582635,4528,2.3036678537504707e+07,81.50742573582635,18,19,T2DM,0
2468,985.983476981176,0,1622,0,985.983476981176,18,20,T2DM death,0
2473,0,0,8712,2.0818757928610342e+06,0,18,25,Overweight,0
2474,0,82.69456372490367,9227,4.856709596445907e+06,82.69456372490367,18,26,Obese,0
2587,0,0,8024,375972.5661397661,0,19,3,Steatosis,0
2588,0,332.61411720621044,3271,427875.8486304318,332.61411720621044,19,4,NASH,0
2589,0,67.95549836415606,468,1.003169171453298e+06,67.95549836415606,19,5,Cirrhosis,0
2590,0,6.195048023901546,31,719314.0344148893,6.195048023901546,19,6,HCC,0
2591,407.37893530576525,0,362,0,407.37893530576525,19,7,Liver death,0
2592,0,0,3141,0,0,19,8,Natural death,0
2597,0,82.66891509626302,2014,2.195853105654706e+07,82.66891509626302,19,13,CHD,0
2598,274.57799022244876,0,722,0,274.57799022244876,19,14,CHD death,0
2603,0,80.1820108056757,4588,2.266207269761844e+07,80.1820108056757,19,19,T2DM,0
2604,952.6757971314308,0,1765,0,952.6757971314308,19,20,T2DM death,0
2609,0,0,8739,2.027502803165989e+06,0,19,25,Overweight,0
2610,0,80.00754575801201,9195,4.698899150901456e+06,80.00754575801201,19,26,Obese,0
2723,0,0,8035,365522.3127865076,0,20,3,Steatosis,0
2724,0,337.63620900508704,3420,434336.28334796714,337.63620900508704,20,4,NASH,0
2725,0,72.60202816683247,515,1.0717619353133752e+06,72.60202816683247,20,5,Cirrhosis,0
2726,0,5.820590063170886,30,675835.2969760936,5.820590063170886,20,6,HCC,0
2727,326.6812257448546,0,396,0,326.6812257448546,20,7,Liver death,0
2728,0,0,3317,0,0,20,8,Natural death,0
2733,0,81.89499740786249,2055,2.1752962910694994e+07,81.89499740786249,20,13,CHD,0
2734,98.89289576584854,0,752,0,98.89289576584854,20,14,CHD death,0
2739,0,78.84769136327607,4647,2.2284950149785247e+07,78.84769136327607,20,19,T2DM,0
2740,929.7470411080441,0,1905,0,929.7470411080441,20,20,T2DM death,0
2745,0,0,8757,1.9725038019856703e+06,0,20,25,Overweight,0
2746,0,77.88842309708691,9220,4.574441594082009e+06,77.88842309708691,20,26,Obese,0
2859,0,0,8100,357746.83980540425,0,21,3,Steatosis,0
2860,0,327.7062960848168,3419,421562.4120725431,327.7062960848168,21,4,NASH,0
2861,0,71.85609348211399,525,1.0607503365812355e+06,71.85609348211399,21,5,Cirrhosis,0
2862,0,8.099850249720012,43,940482.7757272503,8.099850249720012,21,6,HCC,0
2863,476.67835151932235,0,446,0,476.67835151932235,21,7,Liver death,0
2864,0,0,3494,0,0,21,8,Natural death,0
2869,0,79.04541596591872,2043,2.099605661141441e+07,79.04541596591872,21,13,CHD,0
2870,209.28969610204356,0,803,0,209.28969610204356,21,14,CHD death,0
