Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5582,0,0,2,3,Steatosis,0
276,0,0,607,0,0,2,4,NASH,0
277,0,0,74,0,0,2,5,Cirrhosis,0
278,0,0,7,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1450,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2148,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7475,0,0,2,25,Overweight,0
298,0,0,8405,0,0,2,26,Obese,0
411,0,0,5961,0,0,3,3,Steatosis,0
412,0,0,702,0,0,3,4,NASH,0
413,0,0,81,0,0,3,5,Cirrhosis,0
414,0,0,6,0,0,3,6,HCC,0
415,0,0,4,0,0,3,7,Liver death,0
416,0,0,232,0,0,3,8,Natural death,0
421,0,0,1565,0,0,3,13,CHD,0
422,0,0,36,0,0,3,14,CHD death,0
427,0,0,2281,0,0,3,19,T2DM,0
428,0,0,80,0,0,3,20,T2DM death,0
433,0,0,8012,0,0,3,25,Overweight,0
434,0,0,8371,0,0,3,26,Obese,0
547,0,0,6246,0,0,4,3,Steatosis,0
548,0,0,829,0,0,4,4,NASH,0
549,0,0,88,0,0,4,5,Cirrhosis,0
550,0,0,8,0,0,4,6,HCC,0
551,0,0,8,0,0,4,7,Liver death,0
552,0,0,477,0,0,4,8,Natural death,0
557,0,0,1638,0,0,4,13,CHD,0
558,0,0,84,0,0,4,14,CHD death,0
563,0,0,2397,0,0,4,19,T2DM,0
564,0,0,161,0,0,4,20,T2DM death,0
569,0,0,8323,0,0,4,25,Overweight,0
570,0,0,8399,0,0,4,26,Obese,0
683,0,0,6468,0,0,5,3,Steatosis,0
684,0,0,990,0,0,5,4,NASH,0
685,0,0,96,0,0,5,5,Cirrhosis,0
686,0,0,8,0,0,5,6,HCC,0
687,0,0,21,0,0,5,7,Liver death,0
688,0,0,704,0,0,5,8,Natural death,0
693,0,0,1729,0,0,5,13,CHD,0
694,0,0,120,0,0,5,14,CHD death,0
699,0,0,2494,0,0,5,19,T2DM,0
700,0,0,248,0,0,5,20,T2DM death,0
705,0,0,8571,0,0,5,25,Overweight,0
706,0,0,8447,0,0,5,26,Obese,0
819,0,0,6720,0,0,6,3,Steatosis,0
820,0,0,1145,0,0,6,4,NASH,0
821,0,0,102,0,0,6,5,Cirrhosis,0
822,0,0,6,0,0,6,6,HCC,0
823,0,0,30,0,0,6,7,Liver death,0
824,0,0,943,0,0,6,8,Natural death,0
829,0,0,1809,0,0,6,13,CHD,0
830,0,0,165,0,0,6,14,CHD death,0
835,0,0,2594,0,0,6,19,T2DM,0
836,0,0,327,0,0,6,20,T2DM death,0
841,0,0,8775,0,0,6,25,Overweight,0
842,0,0,8494,0,0,6,26,Obese,0
955,0,0,6870,1.6352132415152958e+06,0,7,3,Steatosis,0
956,0,185.46075855655246,1296,451544.7588517892,185.46075855655246,7,4,NASH,0
957,0,17.78654582066598,105,233317.81476998943,17.78654582066598,7,5,Cirrhosis,0
958,0,1.7027347498511667,6,254698.16424175896,1.7027347498511667,7,6,HCC,0
959,266.74292413399996,0,46,0,266.74292413399996,7,7,Liver death,0
960,0,0,1177,0,0,7,8,Natural death,0
965,0,132.24145659125,1862,2.0813452341768216e+07,132.24145659125,7,13,CHD,0
966,215.418900537,0,202,0,215.418900537,7,14,CHD death,0
971,0,110.50292904186698,2665,1.947586346876404e+07,110.50292904186698,7,19,T2DM,0
972,996.7035204139996,0,417,0,996.7035204139996,7,20,T2DM death,0
977,0,0,8806,2.9653810699955085e+06,0,7,25,Overweight,0
978,0,90.70290668506146,8521,1.032012586905999e+07,90.70290668506146,7,26,Obese,0
1091,0,0,7112,1.6435093587791452e+06,0,8,3,Steatosis,0
1092,0,201.73275607104,1452,491162.49389665807,201.73275607104,8,4,NASH,0
1093,0,19.406494746542574,118,254567.7498183886,19.406494746542574,8,5,Cirrhosis,0
1094,0,0.551046844612028,2,82426.59036950128,0.551046844612028,8,6,HCC,0
1095,159.9782558330097,0,55,0,159.9782558330097,8,7,Liver death,0
1096,0,0,1386,0,0,8,8,Natural death,0
1101,0,130.80310510340158,1897,2.0587070532955047e+07,130.80310510340158,8,13,CHD,0
1102,298.33604298737873,0,241,0,298.33604298737873,8,14,CHD death,0
1107,0,111.22956445205205,2763,1.9603931133241866e+07,111.22956445205205,8,19,T2DM,0
1108,940.2051744126222,0,513,0,940.2051744126222,8,20,T2DM death,0
1113,0,0,8970,2.9326284812275725e+06,0,8,25,Overweight,0
1114,0,88.3917814556684,8553,1.0057167336215418e+07,88.3917814556684,8,26,Obese,0
1227,0,0,7267,1.630415776186515e+06,0,9,3,Steatosis,0
1228,0,211.90868957955993,1571,515938.02850549645,211.90868957955993,9,4,NASH,0
1229,0,22.034690431322062,138,289043.52044542966,22.034690431322062,9,5,Cirrhosis,0
1230,0,1.33749234129133,5,200064.53973179922,1.33749234129133,9,6,HCC,0
1231,202.8091647676501,0,68,0,202.8091647676501,9,7,Liver death,0
1232,0,0,1625,0,0,9,8,Natural death,0
1237,0,129.60413298472108,1936,2.0398364587827235e+07,129.60413298472108,9,13,CHD,0
1238,297.1613369073429,0,283,0,297.1613369073429,9,14,CHD death,0
1243,0,112.56272927693261,2880,1.983889808240606e+07,112.56272927693261,9,19,T2DM,0
1244,918.7468274191724,0,604,0,918.7468274191724,9,20,T2DM death,0
1249,0,0,9008,2.8592738858653232e+06,0,9,25,Overweight,0
1250,0,86.30890927747485,8602,9.820179307566347e+06,86.30890927747485,9,26,Obese,0
1363,0,0,7379,1.6073242403790348e+06,0,10,3,Steatosis,0
1364,0,224.9875650891284,1718,547781.4100056485,224.9875650891284,10,4,NASH,0
1365,0,21.547924370013803,139,282658.2900092499,21.547924370013803,10,5,Cirrhosis,0
1366,0,1.5582435044170837,6,233084.90065840687,1.5582435044170837,10,6,HCC,0
1367,234.30528444433054,0,82,0,234.30528444433054,10,7,Liver death,0
1368,0,0,1864,0,0,10,8,Natural death,0
1373,0,127.64909992677548,1964,2.0090662385908347e+07,127.64909992677548,10,13,CHD,0
1374,255.13658096029474,0,326,0,255.13658096029474,10,14,CHD death,0
1379,0,113.04084766584661,2979,1.9923165246590935e+07,113.04084766584661,10,19,T2DM,0
1380,913.8360171973424,0,696,0,913.8360171973424,10,20,T2DM death,0
1385,0,0,9006,2.7753777242352366e+06,0,10,25,Overweight,0
1386,0,84.55488253223443,8680,9.620607127906907e+06,84.55488253223443,10,26,Obese,0
1499,0,0,7572,1.6013245602715488e+06,0,11,3,Steatosis,0
1500,0,234.7090459410486,1846,571450.4802776041,234.7090459410486,11,4,NASH,0
1501,0,22.72638527535155,151,298116.93644895486,22.72638527535155,11,5,Cirrhosis,0
1502,0,2.017143695038296,8,301728.02674227423,2.017143695038296,11,6,HCC,0
1503,211.05724031604868,0,95,0,211.05724031604868,11,7,Liver death,0
1504,0,0,2079,0,0,11,8,Natural death,0
1509,0,125.82420721234804,1994,1.9803442942628913e+07,125.82420721234804,11,13,CHD,0
1510,290.23107789000784,0,366,0,290.23107789000784,11,14,CHD death,0
1515,0,112.36408431214069,3050,1.980388740670253e+07,112.36408431214069,11,19,T2DM,0
1516,1013.5142879130382,0,795,0,1013.5142879130382,11,20,T2DM death,0
1521,0,0,9115,2.727153629662821e+06,0,11,25,Overweight,0
1522,0,82.19615275462938,8691,9.352232176260516e+06,82.19615275462938,11,26,Obese,0
1635,0,0,7642,1.5690564483352322e+06,0,12,3,Steatosis,0
1636,0,243.42647897619506,1972,592674.9766524445,243.42647897619506,12,4,NASH,0
1637,0,24.256284676321926,166,318185.6326787525,24.256284676321926,12,5,Cirrhosis,0
1638,0,1.2239949605814902,5,183087.39486788487,1.2239949605814902,12,6,HCC,0
1639,262.3244228217793,0,112,0,262.3244228217793,12,7,Liver death,0
1640,0,0,2291,0,0,12,8,Natural death,0
1645,0,125.8964981455958,2055,1.9814820795932222e+07,125.8964981455958,12,13,CHD,0
1646,250.2023069921076,0,405,0,250.2023069921076,12,14,CHD death,0
1651,0,111.95275629381041,3130,1.9731391877441175e+07,111.95275629381041,12,19,T2DM,0
1652,1115.1975946263076,0,913,0,1115.1975946263076,12,20,T2DM death,0
1657,0,0,9232,2.6817080890926397e+06,0,12,25,Overweight,0
1658,0,79.37971102388572,8645,9.03177901520096e+06,79.37971102388572,12,26,Obese,0
1771,0,0,7773,1.5494693064269042e+06,0,13,3,Steatosis,0
1772,0,246.88283871826394,2060,601090.2400126219,246.88283871826394,13,4,NASH,0
1773,0,25.11031926370909,177,329388.56582137727,25.11031926370909,13,5,Cirrhosis,0
1774,0,1.188344621923777,5,177754.75229891733,1.188344621923777,13,6,HCC,0
1775,184.4922108071585,0,126,0,184.4922108071585,13,7,Liver death,0
1776,0,0,2500,0,0,13,8,Natural death,0
1781,0,123.59762981435016,2078,1.9453002439679105e+07,123.59762981435016,13,13,CHD,0
1782,385.48308777681837,0,456,0,385.48308777681837,13,14,CHD death,0
1787,0,110.91445255822224,3194,1.9548393454060588e+07,110.91445255822224,13,19,T2DM,0
1788,1119.1039232606563,0,1020,0,1119.1039232606563,13,20,T2DM death,0
1793,0,0,9245,2.6072663344538575e+06,0,13,25,Overweight,0
1794,0,77.53124560184071,8697,8.821461655845063e+06,77.53124560184071,13,26,Obese,0
1907,0,0,7896,1.528143804174843e+06,0,14,3,Steatosis,0
1908,0,250.2804157238923,2151,609362.3839509528,250.2804157238923,14,4,NASH,0
1909,0,26.444963516165668,192,346895.97190337663,26.444963516165668,14,5,Cirrhosis,0
1910,0,1.1537326426444436,5,172577.4294164246,1.1537326426444436,14,6,HCC,0
1911,186.4850586395444,0,142,0,186.4850586395444,14,7,Liver death,0
1912,0,0,2719,0,0,14,8,Natural death,0
1917,0,119.6512184864704,2072,1.88318776713115e+07,119.6512184864704,14,13,CHD,0
1918,283.3013652978419,0,505,0,283.3013652978419,14,14,CHD death,0
1923,0,111.62852448469035,3311,1.967424683611674e+07,111.62852448469035,14,19,T2DM,0
1924,950.1757322790977,0,1135,0,950.1757322790977,14,20,T2DM death,0
1929,0,0,9230,2.527219464418648e+06,0,14,25,Overweight,0
1930,0,75.48943047420846,8722,8.589145075387614e+06,75.48943047420846,14,26,Obese,0
2043,0,0,7977,1.498854418841254e+06,0,15,3,Steatosis,0
2044,0,253.4965687146862,2244,617192.811465433,253.4965687146862,15,4,NASH,0
2045,0,28.884062092899395,216,378891.2314478621,28.884062092899395,15,5,Cirrhosis,0
2046,0,0.8961030234131601,4,134040.72187683464,0.8961030234131601,15,6,HCC,0
2047,201.52045135796618,0,158,0,201.52045135796618,15,7,Liver death,0
2048,0,0,2916,0,0,15,8,Natural death,0
2053,0,119.0816002854844,2124,1.8742225594082285e+07,119.0816002854844,15,13,CHD,0
2054,240.297011062623,0,548,0,240.297011062623,15,14,CHD death,0
2059,0,112.37056958005435,3433,1.980503041887043e+07,112.37056958005435,15,19,T2DM,0
2060,814.1800603967772,0,1231,0,814.1800603967772,15,20,T2DM death,0
2065,0,0,9210,2.448294530004001e+06,0,15,25,Overweight,0
2066,0,73.85370822559013,8789,8.403033515026776e+06,73.85370822559013,15,26,Obese,0
2179,0,0,8032,1.4652318001791476e+06,0,16,3,Steatosis,0
2180,0,256.4227271234299,2338,624317.1837764063,256.4227271234299,16,4,NASH,0
2181,0,30.509504637861063,235,400213.22990942124,30.509504637861063,16,5,Cirrhosis,0
2182,0,0.8700029353525827,4,130136.62318139285,0.8700029353525827,16,6,HCC,0
2183,211.50485498720641,0,175,0,211.50485498720641,16,7,Liver death,0
2184,0,0,3137,0,0,16,8,Natural death,0
2189,0,116.59297707727146,2142,1.8350541761525236e+07,116.59297707727146,16,13,CHD,0
2190,275.3530309970089,0,604,0,275.3530309970089,16,14,CHD death,0
2195,0,112.14843369127465,3529,1.9765879526864555e+07,112.14843369127465,16,19,T2DM,0
2196,872.2640510758262,0,1342,0,872.2640510758262,16,20,T2DM death,0
2201,0,0,9160,2.3640806104421606e+06,0,16,25,Overweight,0
2202,0,72.03711652274643,8830,8.19634272956633e+06,72.03711652274643,16,26,Obese,0
2315,0,0,8029,1.422023812957161e+06,0,17,3,Steatosis,0
2316,0,258.96337935675103,2432,630502.957030848,258.96337935675103,17,4,NASH,0
2317,0,32.14180410103105,255,421625.1750749907,32.14180410103105,17,5,Cirrhosis,0
2318,0,1.4781603270553592,7,221105.9131722694,1.4781603270553592,17,6,HCC,0
2319,158.5266831512048,0,186,0,158.5266831512048,17,7,Liver death,0
2320,0,0,3335,0,0,17,8,Natural death,0
2325,0,114.94099749942501,2175,1.8090537076916084e+07,114.94099749942501,17,13,CHD,0
2326,241.22835738575955,0,652,0,241.22835738575955,17,14,CHD death,0
2331,0,110.88745145945455,3594,1.954363457827815e+07,110.88745145945455,17,19,T2DM,0
2332,871.9202283179794,0,1453,0,871.9202283179794,17,20,T2DM death,0
2337,0,0,9207,2.307000697453934e+06,0,17,25,Overweight,0
2338,0,70.4221050263108,8891,8.012587626974491e+06,70.4221050263108,17,26,Obese,0
2451,0,0,8063,1.3864520245023028e+06,0,18,3,Steatosis,0
2452,0,259.5877960385832,2511,632023.2359416555,259.5877960385832,18,4,NASH,0
2453,0,33.28601071951463,272,436634.4855145535,33.28601071951463,18,5,Cirrhosis,0
2454,0,2.4601836233931076,12,367998.7459177854,2.4601836233931076,18,6,HCC,0
2455,144.55559217553125,0,198,0,144.55559217553125,18,7,Liver death,0
2456,0,0,3532,0,0,18,8,Natural death,0
2461,0,112.26019530353534,2188,1.7668606237828188e+07,112.26019530353534,18,13,CHD,0
2462,259.33833557556534,0,703,0,259.33833557556534,18,14,CHD death,0
2467,0,108.25681680213448,3614,1.907999183263938e+07,108.25681680213448,18,19,T2DM,0
2468,1085.9839129238069,0,1582,0,1085.9839129238069,18,20,T2DM death,0
2473,0,0,9186,2.2346977876489493e+06,0,18,25,Overweight,0
2474,0,68.35559593683814,8889,7.777461381388072e+06,68.35559593683814,18,26,Obese,0
2587,0,0,8112,1.3542501854647098e+06,0,19,3,Steatosis,0
2588,0,258.75172085056374,2578,629987.6281285047,258.75172085056374,19,4,NASH,0
2589,0,35.64321536213006,300,467555.4884864581,35.64321536213006,19,5,Cirrhosis,0
2590,0,2.9856597371275586,15,446600.41980313754,2.9856597371275586,19,6,HCC,0
2591,231.47158559105932,0,219,0,231.47158559105932,19,7,Liver death,0
2592,0,0,3756,0,0,19,8,Natural death,0
2597,0,109.5384220516415,2199,1.724022697368825e+07,109.5384220516415,19,13,CHD,0
2598,219.29031902158738,0,748,0,219.29031902158738,19,14,CHD death,0
2603,0,107.63387231550547,3701,1.8970199432788663e+07,107.63387231550547,19,19,T2DM,0
2604,874.5642526203802,0,1703,0,874.5642526203802,19,20,T2DM death,0
2609,0,0,9137,2.1580363623991944e+06,0,19,25,Overweight,0
2610,0,66.58116823396784,8918,7.575567992208457e+06,66.58116823396784,19,26,Obese,0
2723,0,0,8147,1.3204788615905757e+06,0,20,3,Steatosis,0
2724,0,257.1594565384006,2639,626110.9125878926,257.1594565384006,20,4,NASH,0
2725,0,37.0274179004653,321,485712.9831849653,37.0274179004653,20,5,Cirrhosis,0
2726,0,3.4784385286922994,18,520311.16870268487,3.4784385286922994,20,6,HCC,0
2727,266.0998932401348,0,243,0,266.0998932401348,20,7,Liver death,0
2728,0,0,3956,0,0,20,8,Natural death,0
2733,0,108.1373756418334,2236,1.7019716602500863e+07,108.1373756418334,20,13,CHD,0
2734,183.27088748846543,0,787,0,183.27088748846543,20,14,CHD death,0
2739,0,107.04008361636551,3791,1.8865545667188983e+07,107.04008361636551,20,19,T2DM,0
2740,859.5104170631162,0,1825,0,859.5104170631162,20,20,T2DM death,0
2745,0,0,9163,2.101142924550618e+06,0,20,25,Overweight,0
2746,0,64.76513500245994,8935,7.368940749305666e+06,64.76513500245994,20,26,Obese,0
2859,0,0,8184,1.2878406612544246e+06,0,21,3,Steatosis,0
2860,0,253.83210832749046,2683,618009.756002517,253.83210832749046,21,4,NASH,0
2861,0,38.1887593505085,341,500947.0624748904,38.1887593505085,21,5,Cirrhosis,0
2862,0,2.4390345670442235,13,364835.2315606742,2.4390345670442235,21,6,HCC,0
2863,315.7684861926133,0,270,0,315.7684861926133,21,7,Liver death,0
2864,0,0,4202,0,0,21,8,Natural death,0
