Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5446,0,0,2,3,Steatosis,0
276,0,0,692,0,0,2,4,NASH,0
277,0,0,74,0,0,2,5,Cirrhosis,0
278,0,0,3,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1437,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2107,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7535,0,0,2,25,Overweight,0
298,0,0,8383,0,0,2,26,Obese,0
411,0,0,6102,0,0,3,3,Steatosis,0
412,0,0,832,0,0,3,4,NASH,0
413,0,0,85,0,0,3,5,Cirrhosis,0
414,0,0,0,0,0,3,6,HCC,0
415,0,0,6,0,0,3,7,Liver death,0
416,0,0,155,0,0,3,8,Natural death,0
421,0,0,1530,0,0,3,13,CHD,0
422,0,0,31,0,0,3,14,CHD death,0
427,0,0,2182,0,0,3,19,T2DM,0
428,0,0,81,0,0,3,20,T2DM death,0
433,0,0,7844,0,0,3,25,Overweight,0
434,0,0,8498,0,0,3,26,Obese,0
547,0,0,6670,0,0,4,3,Steatosis,0
548,0,0,983,0,0,4,4,NASH,0
549,0,0,99,0,0,4,5,Cirrhosis,0
550,0,0,1,0,0,4,6,HCC,0
551,0,0,9,0,0,4,7,Liver death,0
552,0,0,280,0,0,4,8,Natural death,0
557,0,0,1599,0,0,4,13,CHD,0
558,0,0,65,0,0,4,14,CHD death,0
563,0,0,2305,0,0,4,19,T2DM,0
564,0,0,144,0,0,4,20,T2DM death,0
569,0,0,8138,0,0,4,25,Overweight,0
570,0,0,8589,0,0,4,26,Obese,0
683,0,0,7163,0,0,5,3,Steatosis,0
684,0,0,1138,0,0,5,4,NASH,0
685,0,0,116,0,0,5,5,Cirrhosis,0
686,0,0,1,0,0,5,6,HCC,0
687,0,0,14,0,0,5,7,Liver death,0
688,0,0,429,0,0,5,8,Natural death,0
693,0,0,1652,0,0,5,13,CHD,0
694,0,0,103,0,0,5,14,CHD death,0
699,0,0,2427,0,0,5,19,T2DM,0
700,0,0,212,0,0,5,20,T2DM death,0
705,0,0,8331,0,0,5,25,Overweight,0
706,0,0,8572,0,0,5,26,Obese,0
819,0,0,7563,0,0,6,3,Steatosis,0
820,0,0,1324,0,0,6,4,NASH,0
821,0,0,121,0,0,6,5,Cirrhosis,0
822,0,0,3,0,0,6,6,HCC,0
823,0,0,25,0,0,6,7,Liver death,0
824,0,0,557,0,0,6,8,Natural death,0
829,0,0,1727,0,0,6,13,CHD,0
830,0,0,143,0,0,6,14,CHD death,0
835,0,0,2539,0,0,6,19,T2DM,0
836,0,0,286,0,0,6,20,T2DM death,0
841,0,0,8528,0,0,6,25,Overweight,0
842,0,0,8678,0,0,6,26,Obese,0
955,0,0,7928,645950.8106440197,0,7,3,Steatosis,0
956,0,246.44934932626728,1513,419464.5210171986,246.44934932626728,7,4,NASH,0
957,0,23.808210978590953,132,338252.05869772035,23.808210978590953,7,5,Cirrhosis,0
958,0,1.27715614263325,4,190590.76572103053,1.27715614263325,7,6,HCC,0
959,92.11110718,0,33,0,92.11110718,7,7,Liver death,0
960,0,0,657,0,0,7,8,Natural death,0
965,0,129.11861808285317,1819,2.4112487216790512e+07,129.11861808285317,7,13,CHD,0
966,348.85628635700004,0,185,0,348.85628635700004,7,14,CHD death,0
971,0,70.5326112822895,2643,8.262291949389161e+06,70.5326112822895,7,19,T2DM,0
972,536.7991711420001,0,347,0,536.7991711420001,7,20,T2DM death,0
977,0,0,8702,3.092566597829734e+06,0,7,25,Overweight,0
978,0,100.06751552127709,8790,1.260745996093313e+07,100.06751552127709,7,26,Obese,0
1091,0,0,8205,649048.5242588053,0,8,3,Steatosis,0
1092,0,268.5277723522299,1698,457042.68936993525,268.5277723522299,8,4,NASH,0
1093,0,25.566334237086334,146,363230.3660625712,25.566334237086334,8,5,Cirrhosis,0
1094,0,1.549946775040352,5,231299.47296241572,1.549946775040352,8,6,HCC,0
1095,230.77954553495147,0,48,0,230.77954553495147,8,7,Liver death,0
1096,0,0,776,0,0,8,8,Natural death,0
1101,0,129.0104202410981,1872,2.4092281617357943e+07,129.0104202410981,8,13,CHD,0
1102,346.66743629417465,0,235,0,346.66743629417465,8,14,CHD death,0
1107,0,71.2505578120986,2750,8.346393242755198e+06,71.2505578120986,8,19,T2DM,0
1108,789.3009137077672,0,426,0,789.3009137077672,8,20,T2DM death,0
1113,0,0,8790,3.032854894971523e+06,0,8,25,Overweight,0
1114,0,98.72240615837848,8932,1.2437990254930543e+07,98.72240615837848,8,26,Obese,0
1227,0,0,8473,650726.6047871385,0,9,3,Steatosis,0
1228,0,290.7999135677276,1894,494950.5721560806,290.7999135677276,9,4,NASH,0
1229,0,28.391925904996928,167,403374.59191680595,28.391925904996928,9,5,Cirrhosis,0
1230,0,1.8057632330567206,6,269475.11413096974,1.8057632330567206,9,6,HCC,0
1231,253.17412170986898,0,63,0,253.17412170986898,9,7,Liver death,0
1232,0,0,895,0,0,9,8,Natural death,0
1237,0,128.93280630476588,1927,2.4077787464031253e+07,128.93280630476588,9,13,CHD,0
1238,225.70198468847204,0,273,0,225.70198468847204,9,14,CHD death,0
1243,0,72.19385734182293,2870,8.456892711987766e+06,72.19385734182293,9,19,T2DM,0
1244,842.1081899151666,0,518,0,842.1081899151666,9,20,T2DM death,0
1249,0,0,8899,2.9810326949592996e+06,0,9,25,Overweight,0
1250,0,97.03810874069381,9043,1.2225786402912363e+07,97.03810874069381,9,26,Obese,0
1363,0,0,8748,652278.263527642,0,10,3,Steatosis,0
1364,0,312.29217402137743,2095,531531.0734291099,312.29217402137743,10,4,NASH,0
1365,0,28.06015582727434,170,398661.0117194194,28.06015582727434,10,5,Cirrhosis,0
1366,0,2.921946979056182,10,436043.87399833294,2.921946979056182,10,6,HCC,0
1367,213.03442999303581,0,78,0,213.03442999303581,10,7,Liver death,0
1368,0,0,1008,0,0,10,8,Natural death,0
1373,0,129.14002797943698,1988,2.4116485446211275e+07,129.14002797943698,10,13,CHD,0
1374,292.3319203021432,0,318,0,292.3319203021432,10,14,CHD death,0
1379,0,73.55904682303652,3012,8.616812979434732e+06,73.55904682303652,10,19,T2DM,0
1380,811.5171058324722,0,606,0,811.5171058324722,10,20,T2DM death,0
1385,0,0,8926,2.9029876636307947e+06,0,10,25,Overweight,0
1386,0,95.5140306920771,9168,1.2033768515036207e+07,95.5140306920771,10,26,Obese,0
1499,0,0,8937,646961.8399487156,0,11,3,Steatosis,0
1500,0,330.8385243704896,2286,563097.5433227511,330.8385243704896,11,4,NASH,0
1501,0,29.806904533826682,186,423477.7166180021,29.806904533826682,11,5,Cirrhosis,0
1502,0,3.404210072686814,12,508012.28038640734,3.404210072686814,11,6,HCC,0
1503,287.2089784512659,0,99,0,287.2089784512659,11,7,Liver death,0
1504,0,0,1112,0,0,11,8,Natural death,0
1509,0,130.10874847217983,2063,2.4297390886841718e+07,130.10874847217983,11,13,CHD,0
1510,234.6441883275884,0,372,0,234.6441883275884,11,14,CHD death,0
1515,0,73.64535367667138,3106,8.626923088915259e+06,73.64535367667138,11,19,T2DM,0
1516,779.0706483479235,0,695,0,779.0706483479235,11,20,T2DM death,0
1521,0,0,8978,2.8348539168951726e+06,0,11,25,Overweight,0
1522,0,94.23916704343638,9317,1.1873149034060042e+07,94.23916704343638,11,26,Obese,0
1635,0,0,9143,642596.5689329661,0,12,3,Steatosis,0
1636,0,346.0724568816912,2463,589026.1741813587,346.0724568816912,12,4,NASH,0
1637,0,30.183419352554264,194,428827.0018994247,30.183419352554264,12,5,Cirrhosis,0
1638,0,4.131322903746134,15,616519.7577504943,4.131322903746134,12,6,HCC,0
1639,396.9974603821778,0,125,0,396.9974603821778,12,7,Liver death,0
1640,0,0,1208,0,0,12,8,Natural death,0
1645,0,130.7890228372254,2136,2.4424429939571816e+07,130.7890228372254,12,13,CHD,0
1646,246.99089676778422,0,424,0,246.99089676778422,12,14,CHD death,0
1651,0,73.96349107056416,3213,8.664190162692688e+06,73.96349107056416,12,19,T2DM,0
1652,708.9423234607049,0,774,0,708.9423234607049,12,20,T2DM death,0
1657,0,0,9044,2.7725182403155277e+06,0,12,25,Overweight,0
1658,0,92.72185567713794,9442,1.1681983677353775e+07,92.72185567713794,12,26,Obese,0
1771,0,0,9286,633637.8872384884,0,13,3,Steatosis,0
1772,0,363.54871420901736,2665,618771.3121945799,363.54871420901736,13,4,NASH,0
1773,0,30.059555856061962,199,427067.22739458346,30.059555856061962,13,5,Cirrhosis,0
1774,0,3.476194029042055,13,518754.4887220987,3.476194029042055,13,6,HCC,0
1775,494.6841652438915,0,161,0,494.6841652438915,13,7,Liver death,0
1776,0,0,1305,0,0,13,8,Natural death,0
1781,0,133.04326802193015,2238,2.4845402987509534e+07,133.04326802193015,13,13,CHD,0
1782,263.0779080004648,0,476,0,263.0779080004648,13,14,CHD death,0
1787,0,73.88772597949955,3306,8.655314930505265e+06,73.88772597949955,13,19,T2DM,0
1788,872.6317497566104,0,879,0,872.6317497566104,13,20,T2DM death,0
1793,0,0,9154,2.7245045765312444e+06,0,13,25,Overweight,0
1794,0,90.5837325468395,9501,1.1412602533869568e+07,90.5837325468395,13,26,Obese,0
1907,0,0,9476,627769.6061376838,0,14,3,Steatosis,0
1908,0,377.46182462183424,2850,642451.8624217785,377.46182462183424,14,4,NASH,0
1909,0,31.823796754478465,217,452132.4503323643,31.823796754478465,14,5,Cirrhosis,0
1910,0,1.817278431911455,7,271193.53405934956,1.817278431911455,14,6,HCC,0
1911,258.9208716196212,0,183,0,258.9208716196212,14,7,Liver death,0
1912,0,0,1385,0,0,14,8,Natural death,0
1917,0,133.55463104312776,2314,2.4940898389293194e+07,133.55463104312776,14,13,CHD,0
1918,274.69284978203126,0,529,0,274.69284978203126,14,14,CHD death,0
1923,0,73.60173809386511,3392,8.62181389655516e+06,73.60173809386511,14,19,T2DM,0
1924,678.7160248621383,0,970,0,678.7160248621383,14,20,T2DM death,0
1929,0,0,9194,2.656708519022594e+06,0,14,25,Overweight,0
1930,0,88.98209191806818,9613,1.1210812572422083e+07,88.98209191806818,14,26,Obese,0
2043,0,0,9572,615659.6603734415,0,15,3,Steatosis,0
2044,0,392.0562436627418,3049,667292.0212992538,392.0562436627418,15,4,NASH,0
2045,0,32.60547383461854,229,463238.0257085196,32.60547383461854,15,5,Cirrhosis,0
2046,0,2.268447418474771,9,338521.7484790772,2.268447418474771,15,6,HCC,0
2047,334.6764962262113,0,211,0,334.6764962262113,15,7,Liver death,0
2048,0,0,1466,0,0,15,8,Natural death,0
2053,0,135.3802471239738,2416,2.5281826328777727e+07,135.3802471239738,15,13,CHD,0
2054,174.5214041200209,0,569,0,174.5214041200209,15,14,CHD death,0
2059,0,73.79639372562032,3503,8.644616138382386e+06,73.79639372562032,15,19,T2DM,0
2060,823.392212055125,0,1074,0,823.392212055125,15,20,T2DM death,0
2065,0,0,9203,2.581853562218063e+06,0,15,25,Overweight,0
2066,0,87.21716870708106,9705,1.0988450714025725e+07,87.21716870708106,15,26,Obese,0
2179,0,0,9711,606407.7428388217,0,16,3,Steatosis,0
2180,0,404.1070479056435,3237,687802.86802472,404.1070479056435,16,4,NASH,0
2181,0,34.5587334491652,250,490988.7074538119,34.5587334491652,16,5,Cirrhosis,0
2182,0,2.4470845938239165,10,365179.8796969548,2.4470845938239165,16,6,HCC,0
2183,266.295974059865,0,235,0,266.295974059865,16,7,Liver death,0
2184,0,0,1561,0,0,16,8,Natural death,0
2189,0,136.8774118192245,2516,2.556141702694272e+07,136.8774118192245,16,13,CHD,0
2190,198.3329112907845,0,616,0,198.3329112907845,16,14,CHD death,0
2195,0,73.97863027406402,3617,8.66596359085421e+06,73.97863027406402,16,19,T2DM,0
2196,740.2597568187019,0,1169,0,740.2597568187019,16,20,T2DM death,0
2201,0,0,9304,2.534163674242639e+06,0,16,25,Overweight,0
2202,0,85.16546707980456,9761,1.0729957775707202e+07,85.16546707980456,16,26,Obese,0
2315,0,0,9800,594141.1530933571,0,17,3,Steatosis,0
2316,0,416.09289899259255,3433,708203.1624418438,416.09289899259255,17,4,NASH,0
2317,0,37.04159391056158,276,526263.6243000098,37.04159391056158,17,5,Cirrhosis,0
2318,0,1.4254861711595628,6,212726.14351278922,1.4254861711595628,17,6,HCC,0
2319,381.960704613571,0,268,0,381.960704613571,17,7,Liver death,0
2320,0,0,1639,0,0,17,8,Natural death,0
2325,0,138.01406033758332,2613,2.5773682486996423e+07,138.01406033758332,17,13,CHD,0
2326,168.16892508245058,0,662,0,168.16892508245058,17,14,CHD death,0
2331,0,73.5117847689568,3702,8.611276634163445e+06,73.5117847689568,17,19,T2DM,0
2332,880.427223701561,0,1300,0,880.427223701561,17,20,T2DM death,0
2337,0,0,9373,2.478599466423856e+06,0,17,25,Overweight,0
2338,0,83.09152497961728,9809,1.0468662770495478e+07,83.09152497961728,17,26,Obese,0
2451,0,0,9847,579602.529672102,0,18,3,Steatosis,0
2452,0,420.2126539675229,3571,715215.1146015289,420.2126539675229,18,4,NASH,0
2453,0,38.56870619644793,296,547959.8733389672,38.56870619644793,18,5,Cirrhosis,0
2454,0,2.998595505675456,13,447482.17891039816,2.998595505675456,18,6,HCC,0
2455,337.3867632761953,0,300,0,337.3867632761953,18,7,Liver death,0
2456,0,0,1732,0,0,18,8,Natural death,0
2461,0,138.71197901943793,2705,2.5904016559222087e+07,138.71197901943793,18,13,CHD,0
2462,224.61317690650046,0,725,0,224.61317690650046,18,14,CHD death,0
2467,0,73.49134908426008,3812,8.608882768545382e+06,73.49134908426008,18,19,T2DM,0
2468,626.106570397255,0,1397,0,626.106570397255,18,20,T2DM death,0
2473,0,0,9426,2.420014374123439e+06,0,18,25,Overweight,0
2474,0,81.46090868830093,9905,1.026322217873864e+07,81.46090868830093,18,26,Obese,0
2587,0,0,9917,566721.1527396506,0,19,3,Steatosis,0
2588,0,425.4531306329251,3724,724134.5702234483,425.4531306329251,19,4,NASH,0
2589,0,39.975436755699405,316,567945.8146651627,39.975436755699405,19,5,Cirrhosis,0
2590,0,2.687314866923485,12,401029.5852819101,2.687314866923485,19,6,HCC,0
2591,294.3657709374936,0,331,0,294.3657709374936,19,7,Liver death,0
2592,0,0,1802,0,0,19,8,Natural death,0
2597,0,139.1028011342917,2794,2.5977001333906002e+07,139.1028011342917,19,13,CHD,0
2598,211.44810137053867,0,785,0,211.44810137053867,19,14,CHD death,0
2603,0,73.22256686030855,3912,8.57739723065496e+06,73.22256686030855,19,19,T2DM,0
2604,798.3247620453195,0,1509,0,798.3247620453195,19,20,T2DM death,0
2609,0,0,9530,2.3754516000356935e+06,0,19,25,Overweight,0
2610,0,79.3836940428336,9942,1.000151486706045e+07,79.3836940428336,19,26,Obese,0
2723,0,0,9919,550325.6753406263,0,20,3,Steatosis,0
2724,0,433.58125401337855,3909,737968.8911087078,433.58125401337855,20,4,NASH,0
2725,0,40.899042766522754,333,581067.8268511049,40.899042766522754,20,5,Cirrhosis,0
2726,0,2.3916232634432317,11,356903.35259716917,2.3916232634432317,20,6,HCC,0
2727,297.779798160843,0,363,0,297.779798160843,20,7,Liver death,0
2728,0,0,1871,0,0,20,8,Natural death,0
2733,0,138.82148461602893,2872,2.592446637766909e+07,138.82148461602893,20,13,CHD,0
2734,199.72632904329564,0,851,0,199.72632904329564,20,14,CHD death,0
2739,0,73.27054161970602,4032,8.583017063256089e+06,73.27054161970602,20,19,T2DM,0
2740,681.1166452522785,0,1626,0,681.1166452522785,20,20,T2DM death,0
2745,0,0,9573,2.3166697060012356e+06,0,20,25,Overweight,0
2746,0,77.99404954219077,10061,9.826434199669583e+06,77.99404954219077,20,26,Obese,0
2859,0,0,9954,536182.0818867802,0,21,3,Steatosis,0
2860,0,434.3059947385618,4033,739202.4225501938,434.3059947385618,21,4,NASH,0
2861,0,42.33114721162617,355,601414.2643579742,42.33114721162617,21,5,Cirrhosis,0
2862,0,2.9552273334691304,14,441010.3209497236,2.9552273334691304,21,6,HCC,0
2863,363.61966721325194,0,400,0,363.61966721325194,21,7,Liver death,0
2864,0,0,1931,0,0,21,8,Natural death,0
2869,0,140.08104077495412,2985,2.6159684444838665e+07,140.08104077495412,21,13,CHD,0
2870,210.95153976175823,0,911,0,210.95153976175823,21,14,CHD death,0
