Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5897,0,0,2,3,Steatosis,0
276,0,0,639,0,0,2,4,NASH,0
277,0,0,65,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1528,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2115,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7483,0,0,2,25,Overweight,0
298,0,0,8396,0,0,2,26,Obese,0
411,0,0,6254,0,0,3,3,Steatosis,0
412,0,0,717,0,0,3,4,NASH,0
413,0,0,69,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,225,0,0,3,8,Natural death,0
421,0,0,1587,0,0,3,13,CHD,0
422,0,0,39,0,0,3,14,CHD death,0
427,0,0,2278,0,0,3,19,T2DM,0
428,0,0,67,0,0,3,20,T2DM death,0
433,0,0,8099,0,0,3,25,Overweight,0
434,0,0,8597,0,0,3,26,Obese,0
547,0,0,6592,0,0,4,3,Steatosis,0
548,0,0,813,0,0,4,4,NASH,0
549,0,0,74,0,0,4,5,Cirrhosis,0
550,0,0,2,0,0,4,6,HCC,0
551,0,0,18,0,0,4,7,Liver death,0
552,0,0,455,0,0,4,8,Natural death,0
557,0,0,1594,0,0,4,13,CHD,0
558,0,0,81,0,0,4,14,CHD death,0
563,0,0,2405,0,0,4,19,T2DM,0
564,0,0,148,0,0,4,20,T2DM death,0
569,0,0,8412,0,0,4,25,Overweight,0
570,0,0,8672,0,0,4,26,Obese,0
683,0,0,6887,0,0,5,3,Steatosis,0
684,0,0,935,0,0,5,4,NASH,0
685,0,0,81,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,26,0,0,5,7,Liver death,0
688,0,0,662,0,0,5,8,Natural death,0
693,0,0,1628,0,0,5,13,CHD,0
694,0,0,122,0,0,5,14,CHD death,0
699,0,0,2558,0,0,5,19,T2DM,0
700,0,0,217,0,0,5,20,T2DM death,0
705,0,0,8453,0,0,5,25,Overweight,0
706,0,0,8860,0,0,5,26,Obese,0
819,0,0,7175,0,0,6,3,Steatosis,0
820,0,0,1038,0,0,6,4,NASH,0
821,0,0,92,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,37,0,0,6,7,Liver death,0
824,0,0,884,0,0,6,8,Natural death,0
829,0,0,1638,0,0,6,13,CHD,0
830,0,0,184,0,0,6,14,CHD death,0
835,0,0,2686,0,0,6,19,T2DM,0
836,0,0,309,0,0,6,20,T2DM death,0
841,0,0,8510,0,0,6,25,Overweight,0
842,0,0,8963,0,0,6,26,Obese,0
955,0,0,7435,1.5559708834463784e+06,0,7,3,Steatosis,0
956,0,217.76059607373014,1158,234232.03333626175,217.76059607373014,7,4,NASH,0
957,0,15.137132932851198,101,171920.5495933933,15.137132932851198,7,5,Cirrhosis,0
958,0,0.9145723336830005,3,81652.33343195837,0.9145723336830005,7,6,HCC,0
959,116.29619502000001,0,43,0,116.29619502000001,7,7,Liver death,0
960,0,0,1076,0,0,7,8,Natural death,0
965,0,105.27581899787138,1659,1.3029508029579721e+07,105.27581899787138,7,13,CHD,0
966,376.4513260930001,0,238,0,376.4513260930001,7,14,CHD death,0
971,0,112.77757792247982,2837,2.8990157879129484e+07,112.77757792247982,7,19,T2DM,0
972,779.6061945669999,0,383,0,779.6061945669999,7,20,T2DM death,0
977,0,0,8602,6.0995279165916685e+06,0,7,25,Overweight,0
978,0,91.23290779097634,9007,4.33847086220187e+06,91.23290779097634,7,26,Obese,0
1091,0,0,7682,1.560837070355573e+06,0,8,3,Steatosis,0
1092,0,226.20636394800826,1239,243316.64009224638,226.20636394800826,8,4,NASH,0
1093,0,15.860304620597748,109,180133.99890108517,15.860304620597748,8,5,Cirrhosis,0
1094,0,0.29597810151553416,1,26424.703376038306,0.29597810151553416,8,6,HCC,0
1095,279.4712235825243,0,60,0,279.4712235825243,8,7,Liver death,0
1096,0,0,1285,0,0,8,8,Natural death,0
1101,0,103.68815192999669,1683,1.2833009716803698e+07,103.68815192999669,8,13,CHD,0
1102,319.9367665252427,0,285,0,319.9367665252427,8,14,CHD death,0
1107,0,114.31711530584212,2962,2.938590526639591e+07,114.31711530584212,8,19,T2DM,0
1108,787.0235135213591,0,460,0,787.0235135213591,8,20,T2DM death,0
1113,0,0,8636,5.94527837144282e+06,0,8,25,Overweight,0
1114,0,89.72622703212663,9124,4.266822476448961e+06,89.72622703212663,8,26,Obese,0
1227,0,0,7862,1.5508831699794198e+06,0,9,3,Steatosis,0
1228,0,242.30635379058063,1367,260634.43507220974,242.30635379058063,9,4,NASH,0
1229,0,16.528508422641263,117,187723.1484049788,16.528508422641263,9,5,Cirrhosis,0
1230,0,0.8620721403365071,3,76965.15546418924,0.8620721403365071,9,6,HCC,0
1231,192.84166748515412,0,71,0,192.84166748515412,9,7,Liver death,0
1232,0,0,1478,0,0,9,8,Natural death,0
1237,0,101.68495825242314,1700,1.2585083570465947e+07,101.68495825242314,9,13,CHD,0
1238,347.87296706475627,0,337,0,347.87296706475627,9,14,CHD death,0
1243,0,117.43240901534352,3134,3.0186710339012716e+07,117.43240901534352,9,19,T2DM,0
1244,861.1452808615328,0,557,0,861.1452808615328,9,20,T2DM death,0
1249,0,0,8581,5.735354117710595e+06,0,9,25,Overweight,0
1250,0,88.33494214566801,9252,4.200661602185978e+06,88.33494214566801,9,26,Obese,0
1363,0,0,8036,1.5390358877475066e+06,0,10,3,Steatosis,0
1364,0,251.0812921644412,1459,270073.11082334176,251.0812921644412,10,4,NASH,0
1365,0,16.595714207448335,121,188486.44060245994,16.595714207448335,10,5,Cirrhosis,0
1366,0,1.1159509907268703,4,99631.26920930647,1.1159509907268703,10,6,HCC,0
1367,227.713023682951,0,86,0,227.713023682951,10,7,Liver death,0
1368,0,0,1675,0,0,10,8,Natural death,0
1373,0,98.955550463808,1704,1.224727721534779e+07,98.955550463808,10,13,CHD,0
1374,363.1216388420895,0,387,0,363.1216388420895,10,14,CHD death,0
1379,0,119.43253102439067,3283,3.0700853787452962e+07,119.43253102439067,10,19,T2DM,0
1380,964.4640038381044,0,662,0,964.4640038381044,10,20,T2DM death,0
1385,0,0,8614,5.589719030410655e+06,0,10,25,Overweight,0
1386,0,86.26263663881097,9306,4.1021156139361463e+06,86.26263663881097,10,26,Obese,0
1499,0,0,8194,1.5235880363849117e+06,0,11,3,Steatosis,0
1500,0,258.1370378661161,1545,277662.55396503705,258.1370378661161,11,4,NASH,0
1501,0,17.577102426247098,132,199632.59375370815,17.577102426247098,11,5,Cirrhosis,0
1502,0,1.6251713457187429,6,145094.0813727764,1.6251713457187429,11,6,HCC,0
1503,218.52579575099017,0,99,0,218.52579575099017,11,7,Liver death,0
1504,0,0,1851,0,0,11,8,Natural death,0
1509,0,98.27221184786642,1743,1.2162703511070814e+07,98.27221184786642,11,13,CHD,0
1510,290.4990404855205,0,434,0,290.4990404855205,11,14,CHD death,0
1515,0,119.52118296565337,3384,3.072364230464739e+07,119.52118296565337,11,19,T2DM,0
1516,1119.180071615789,0,781,0,1119.180071615789,11,20,T2DM death,0
1521,0,0,8617,5.428801711940319e+06,0,11,25,Overweight,0
1522,0,84.24510980240983,9361,4.006174559273951e+06,84.24510980240983,11,26,Obese,0
1635,0,0,8371,1.5111643912524967e+06,0,12,3,Steatosis,0
1636,0,263.75770482315005,1626,283708.368836004,263.75770482315005,12,4,NASH,0
1637,0,17.452992259071515,135,198223.00791961382,17.452992259071515,12,5,Cirrhosis,0
1638,0,1.8408089676425892,7,164346.04686236812,1.8408089676425892,12,6,HCC,0
1639,241.45635339858643,0,117,0,241.45635339858643,12,7,Liver death,0
1640,0,0,2030,0,0,12,8,Natural death,0
1645,0,97.21629833720317,1776,1.2032017911124235e+07,97.21629833720317,12,13,CHD,0
1646,328.47766885663714,0,484,0,328.47766885663714,12,14,CHD death,0
1651,0,119.19473478523973,3476,3.063972682726147e+07,119.19473478523973,12,19,T2DM,0
1652,1049.60253353524,0,889,0,1049.60253353524,12,20,T2DM death,0
1657,0,0,8585,5.251108127532941e+06,0,12,25,Overweight,0
1658,0,82.77870178877853,9474,3.9364412953303475e+06,82.77870178877853,12,26,Obese,0
1771,0,0,8479,1.4860785993051443e+06,0,13,3,Steatosis,0
1772,0,267.7295514630948,1700,287980.6464259075,267.7295514630948,13,4,NASH,0
1773,0,18.199812136392403,145,206705.04241887087,18.199812136392403,13,5,Cirrhosis,0
1774,0,2.297819793173829,9,205147.63131224865,2.297819793173829,13,6,HCC,0
1775,343.8353584817452,0,141,0,343.8353584817452,13,7,Liver death,0
1776,0,0,2240,0,0,13,8,Natural death,0
1781,0,95.1819242116758,1791,1.178023270293366e+07,95.1819242116758,13,13,CHD,0
1782,298.88063696239664,0,536,0,298.88063696239664,13,14,CHD death,0
1787,0,119.68479324323549,3595,3.07656993151365e+07,119.68479324323549,13,19,T2DM,0
1788,870.1428066955411,0,988,0,870.1428066955411,13,20,T2DM death,0
1793,0,0,8592,5.1023201487989165e+06,0,13,25,Overweight,0
1794,0,80.47795026862218,9487,3.8270318325271313e+06,80.47795026862218,13,26,Obese,0
1907,0,0,8654,1.4725729241278279e+06,0,14,3,Steatosis,0
1908,0,272.92818353032146,1785,293572.5036380677,272.92818353032146,14,4,NASH,0
1909,0,18.27902122838202,150,207604.6626235723,18.27902122838202,14,5,Cirrhosis,0
1910,0,1.4872620020542577,6,132781.63838980495,1.4872620020542577,14,6,HCC,0
1911,297.75192283356154,0,163,0,297.75192283356154,14,7,Liver death,0
1912,0,0,2425,0,0,14,8,Natural death,0
1917,0,94.31871193016926,1828,1.1673396855346918e+07,94.31871193016926,14,13,CHD,0
1918,196.0313352733226,0,574,0,196.0313352733226,14,14,CHD death,0
1923,0,120.14215441757061,3717,3.0883266768671706e+07,120.14215441757061,14,19,T2DM,0
1924,807.9082847237707,0,1085,0,807.9082847237707,14,20,T2DM death,0
1929,0,0,8613,4.965816411022322e+06,0,14,25,Overweight,0
1930,0,78.7680961856826,9564,3.745721784464213e+06,78.7680961856826,14,26,Obese,0
2043,0,0,8727,1.44174240194938e+06,0,15,3,Steatosis,0
2044,0,274.4794600895066,1849,295241.11893981026,274.4794600895066,15,4,NASH,0
2045,0,20.822703794144036,176,236494.6318559785,20.822703794144036,15,5,Cirrhosis,0
2046,0,1.4439436913148131,6,128914.21202893686,1.4439436913148131,15,6,HCC,0
2047,166.25922714348923,0,177,0,166.25922714348923,15,7,Liver death,0
2048,0,0,2606,0,0,15,8,Natural death,0
2053,0,93.27475601431213,1862,1.1544191192376904e+07,93.27475601431213,15,13,CHD,0
2054,227.38553669382216,0,619,0,227.38553669382216,15,14,CHD death,0
2059,0,119.24748447485086,3800,3.0653286453721806e+07,119.24748447485086,15,19,T2DM,0
2060,946.0758659749914,0,1197,0,946.0758659749914,15,20,T2DM death,0
2065,0,0,8646,4.839652939358676e+06,0,15,25,Overweight,0
2066,0,76.6338000758889,9584,3.6442279078824553e+06,76.6338000758889,15,26,Obese,0
2179,0,0,8858,1.4207613907142754e+06,0,16,3,Steatosis,0
2180,0,274.84409331241574,1907,295633.33306285186,274.84409331241574,16,4,NASH,0
2181,0,20.790541630296076,181,236129.34888532743,20.790541630296076,16,5,Cirrhosis,0
2182,0,1.4018870789464206,6,125159.42915430761,1.4018870789464206,16,6,HCC,0
2183,208.3658251514001,0,196,0,208.3658251514001,16,7,Liver death,0
2184,0,0,2783,0,0,16,8,Natural death,0
2189,0,92.7952167912637,1908,1.1484840809576813e+07,92.7952167912637,16,13,CHD,0
2190,236.449746812374,0,663,0,236.449746812374,16,14,CHD death,0
2195,0,119.52168666193417,3923,3.0723771782823745e+07,119.52168666193417,16,19,T2DM,0
2196,988.8718580507367,0,1314,0,988.8718580507367,16,20,T2DM death,0
2201,0,0,8741,4.750320182061323e+06,0,16,25,Overweight,0
2202,0,74.44056324939146,9589,3.539931176625325e+06,74.44056324939146,16,26,Obese,0
2315,0,0,8979,1.398222278059215e+06,0,17,3,Steatosis,0
2316,0,280.97145385235257,2008,302224.1678793203,280.97145385235257,17,4,NASH,0
2317,0,20.96562691892746,188,238117.8865549634,20.96562691892746,17,5,Cirrhosis,0
2318,0,2.948953402314477,13,263280.3525899674,2.948953402314477,17,6,HCC,0
2319,196.00832428916266,0,214,0,196.00832428916266,17,7,Liver death,0
2320,0,0,2956,0,0,17,8,Natural death,0
2325,0,92.54779309950933,1960,1.145421830757148e+07,92.54779309950933,17,13,CHD,0
2326,236.8925701570603,0,715,0,236.8925701570603,17,14,CHD death,0
2331,0,118.93926583519962,4021,3.057405698995257e+07,118.93926583519962,17,19,T2DM,0
2332,841.8542232345982,0,1423,0,841.8542232345982,17,20,T2DM death,0
2337,0,0,8765,4.624624317692508e+06,0,17,25,Overweight,0
2338,0,72.71707511033203,9648,3.4579727774718073e+06,72.71707511033203,17,26,Obese,0
2451,0,0,9045,1.36747562057405e+06,0,18,3,Steatosis,0
2452,0,285.6936174967709,2103,307303.5165407191,285.6936174967709,18,4,NASH,0
2453,0,21.65423147999117,200,245938.73843726626,21.65423147999117,18,5,Cirrhosis,0
2454,0,3.0832970599255174,14,275274.45379085466,3.0832970599255174,18,6,HCC,0
2455,247.01995162424933,0,235,0,247.01995162424933,18,7,Liver death,0
2456,0,0,3121,0,0,18,8,Natural death,0
2461,0,89.62301144716774,1955,1.1092231420300089e+07,89.62301144716774,18,13,CHD,0
2462,215.08660152361495,0,760,0,215.08660152361495,18,14,CHD death,0
2467,0,119.12219939600627,4148,3.062108116715507e+07,119.12219939600627,18,19,T2DM,0
2468,817.4946335670647,0,1540,0,817.4946335670647,18,20,T2DM death,0
2473,0,0,8707,4.460215656284756e+06,0,18,25,Overweight,0
2474,0,71.00156376246565,9703,3.3763937050003e+06,71.00156376246565,18,26,Obese,0
2587,0,0,9142,1.3418841202064941e+06,0,19,3,Steatosis,0
2588,0,285.28606597394975,2163,306865.1377724765,285.28606597394975,19,4,NASH,0
2589,0,22.179819622709413,211,251908.12529254082,22.179819622709413,19,5,Cirrhosis,0
2590,0,1.924387901479172,9,171807.91151995095,1.924387901479172,19,6,HCC,0
2591,271.500636416857,0,260,0,271.500636416857,19,7,Liver death,0
2592,0,0,3276,0,0,19,8,Natural death,0
2597,0,86.56755506902891,1945,1.0714071518130379e+07,86.56755506902891,19,13,CHD,0
2598,213.53588861555457,0,811,0,213.53588861555457,19,14,CHD death,0
2603,0,119.19357613399117,4275,3.063942898895649e+07,119.19357613399117,19,19,T2DM,0
2604,1062.7272992841397,0,1679,0,1062.7272992841397,19,20,T2DM death,0
2609,0,0,8750,4.35169191984557e+06,0,19,25,Overweight,0
2610,0,68.87672221053795,9695,3.275349428509124e+06,68.87672221053795,19,26,Obese,0
2723,0,0,9218,1.3136306580389491e+06,0,20,3,Steatosis,0
2724,0,285.04404744309244,2226,306604.81293129845,285.04404744309244,20,4,NASH,0
2725,0,22.04408520915299,216,250366.51664836277,22.04408520915299,20,5,Cirrhosis,0
2726,0,2.491117024568507,12,222405.06345624712,2.491117024568507,20,6,HCC,0
2727,194.0958175117858,0,278,0,194.0958175117858,20,7,Liver death,0
2728,0,0,3474,0,0,20,8,Natural death,0
2733,0,84.56470675123641,1957,1.0466188115397405e+07,84.56470675123641,20,13,CHD,0
2734,251.30675140484075,0,864,0,251.30675140484075,20,14,CHD death,0
2739,0,118.5912807682985,4381,3.0484605325754892e+07,118.5912807682985,20,19,T2DM,0
2740,943.4606117932328,0,1808,0,943.4606117932328,20,20,T2DM death,0
2745,0,0,8764,4.2317035212788405e+06,0,20,25,Overweight,0
2746,0,66.86370665581072,9694,3.1796229024040373e+06,66.86370665581072,20,26,Obese,0
2859,0,0,9280,1.2839476695659803e+06,0,21,3,Steatosis,0
2860,0,284.5741085482475,2289,306099.32780283666,284.5741085482475,21,4,NASH,0
2861,0,21.79835826147823,220,247575.66371197283,21.79835826147823,21,5,Cirrhosis,0
2862,0,2.418560218027677,12,215927.24607402633,2.418560218027677,21,6,HCC,0
2863,239.06001189690548,0,304,0,239.06001189690548,21,7,Liver death,0
2864,0,0,3638,0,0,21,8,Natural death,0
