Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5922,0,0,2,3,Steatosis,0
276,0,0,655,0,0,2,4,NASH,0
277,0,0,83,0,0,2,5,Cirrhosis,0
278,0,0,4,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1524,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2074,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7364,0,0,2,25,Overweight,0
298,0,0,8443,0,0,2,26,Obese,0
411,0,0,6029,0,0,3,3,Steatosis,0
412,0,0,699,0,0,3,4,NASH,0
413,0,0,84,0,0,3,5,Cirrhosis,0
414,0,0,3,0,0,3,6,HCC,0
415,0,0,9,0,0,3,7,Liver death,0
416,0,0,213,0,0,3,8,Natural death,0
421,0,0,1557,0,0,3,13,CHD,0
422,0,0,43,0,0,3,14,CHD death,0
427,0,0,2276,0,0,3,19,T2DM,0
428,0,0,82,0,0,3,20,T2DM death,0
433,0,0,7448,0,0,3,25,Overweight,0
434,0,0,8433,0,0,3,26,Obese,0
547,0,0,6179,0,0,4,3,Steatosis,0
548,0,0,739,0,0,4,4,NASH,0
549,0,0,90,0,0,4,5,Cirrhosis,0
550,0,0,1,0,0,4,6,HCC,0
551,0,0,15,0,0,4,7,Liver death,0
552,0,0,391,0,0,4,8,Natural death,0
557,0,0,1587,0,0,4,13,CHD,0
558,0,0,84,0,0,4,14,CHD death,0
563,0,0,2512,0,0,4,19,T2DM,0
564,0,0,159,0,0,4,20,T2DM death,0
569,0,0,7527,0,0,4,25,Overweight,0
570,0,0,8455,0,0,4,26,Obese,0
683,0,0,6302,0,0,5,3,Steatosis,0
684,0,0,779,0,0,5,4,NASH,0
685,0,0,90,0,0,5,5,Cirrhosis,0
686,0,0,0,0,0,5,6,HCC,0
687,0,0,23,0,0,5,7,Liver death,0
688,0,0,602,0,0,5,8,Natural death,0
693,0,0,1620,0,0,5,13,CHD,0
694,0,0,134,0,0,5,14,CHD death,0
699,0,0,2673,0,0,5,19,T2DM,0
700,0,0,254,0,0,5,20,T2DM death,0
705,0,0,7582,0,0,5,25,Overweight,0
706,0,0,8435,0,0,5,26,Obese,0
819,0,0,6405,0,0,6,3,Steatosis,0
820,0,0,832,0,0,6,4,NASH,0
821,0,0,92,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,27,0,0,6,7,Liver death,0
824,0,0,786,0,0,6,8,Natural death,0
829,0,0,1612,0,0,6,13,CHD,0
830,0,0,189,0,0,6,14,CHD death,0
835,0,0,2867,0,0,6,19,T2DM,0
836,0,0,348,0,0,6,20,T2DM death,0
841,0,0,7753,0,0,6,25,Overweight,0
842,0,0,8407,0,0,6,26,Obese,0
955,0,0,6497,1.5582420629449082e+06,0,7,3,Steatosis,0
956,0,135.36123668735638,886,295929.43400808104,135.36123668735638,7,4,NASH,0
957,0,12.133857312505306,92,297016.49575254123,12.133857312505306,7,5,Cirrhosis,0
958,0,0.3600926906698381,1,44684.318563431756,0.3600926906698381,7,6,HCC,0
959,94.32326922000001,0,32,0,94.32326922000001,7,7,Liver death,0
960,0,0,970,0,0,7,8,Natural death,0
965,0,123.92225894915298,1622,8.124850613374513e+06,123.92225894915298,7,13,CHD,0
966,330.25192328200006,0,239,0,330.25192328200006,7,14,CHD death,0
971,0,125.99195107342422,3036,3.851633879328088e+07,125.99195107342422,7,19,T2DM,0
972,963.3612942350001,0,435,0,963.3612942350001,7,20,T2DM death,0
977,0,0,7812,1.4608433812520267e+06,0,7,25,Overweight,0
978,0,106.11970190571357,8399,8.454328275350897e+06,106.11970190571357,7,26,Obese,0
1091,0,0,6565,1.5286904849634825e+06,0,8,3,Steatosis,0
1092,0,137.20347140612648,925,299956.96427433525,137.20347140612648,8,4,NASH,0
1093,0,12.420685514067278,97,304037.5695229682,12.420685514067278,8,5,Cirrhosis,0
1094,0,0.6992091080967731,2,86765.66711345973,0.6992091080967731,8,6,HCC,0
1095,124.78304108737863,0,39,0,124.78304108737863,8,7,Liver death,0
1096,0,0,1161,0,0,8,8,Natural death,0
1101,0,120.90627781063752,1630,7.927110543019636e+06,120.90627781063752,8,13,CHD,0
1102,202.718566623301,0,274,0,202.718566623301,8,14,CHD death,0
1107,0,129.25226698503158,3208,3.951303287695148e+07,129.25226698503158,8,19,T2DM,0
1108,811.2434501669907,0,518,0,811.2434501669907,8,20,T2DM death,0
1113,0,0,7860,1.4270091043205473e+06,0,8,25,Overweight,0
1114,0,103.55630911773322,8442,8.250108288494487e+06,103.55630911773322,8,26,Obese,0
1227,0,0,6645,1.5022513139821186e+06,0,9,3,Steatosis,0
1228,0,137.95951257629716,958,301609.8365518893,137.95951257629716,9,4,NASH,0
1229,0,12.307555458839548,99,301268.335329535,12.307555458839548,9,5,Cirrhosis,0
1230,0,1.6971094856717792,5,210596.2794016013,1.6971094856717792,9,6,HCC,0
1231,172.79946079743615,0,49,0,172.79946079743615,9,7,Liver death,0
1232,0,0,1317,0,0,9,8,Natural death,0
1237,0,118.60899371857775,1647,7.776491193253065e+06,118.60899371857775,9,13,CHD,0
1238,406.7793031407297,0,329,0,406.7793031407297,9,14,CHD death,0
1243,0,133.46752504445763,3412,4.080165731791353e+07,133.46752504445763,9,19,T2DM,0
1244,971.0637300131962,0,612,0,971.0637300131962,9,20,T2DM death,0
1249,0,0,7984,1.4073026370332774e+06,0,9,25,Overweight,0
1250,0,100.09945397082285,8405,7.974708078285163e+06,100.09945397082285,9,26,Obese,0
1363,0,0,6751,1.4817621279880728e+06,0,10,3,Steatosis,0
1364,0,139.5338118969007,998,305051.6011094934,139.5338118969007,10,4,NASH,0
1365,0,11.58698954642149,96,283630.089159904,11.58698954642149,10,5,Cirrhosis,0
1366,0,1.3181432898421588,4,163569.92574881652,1.3181432898421588,10,6,HCC,0
1367,216.44921727384786,0,63,0,216.44921727384786,10,7,Liver death,0
1368,0,0,1472,0,0,10,8,Natural death,0
1373,0,116.41288046016577,1665,7.632505017517001e+06,116.41288046016577,10,13,CHD,0
1374,293.6947629124201,0,380,0,293.6947629124201,10,14,CHD death,0
1379,0,135.5806076806913,3570,4.1447636731854826e+07,135.5806076806913,10,19,T2DM,0
1380,1064.031453064672,0,716,0,1064.031453064672,10,20,T2DM death,0
1385,0,0,8073,1.3815439360237888e+06,0,10,25,Overweight,0
1386,0,96.96424585449601,8386,7.724932794799805e+06,96.96424585449601,10,26,Obese,0
1499,0,0,6878,1.4656670664110659e+06,0,11,3,Steatosis,0
1500,0,140.08492117983562,1032,306256.44720995653,140.08492117983562,11,4,NASH,0
1501,0,11.60105142693901,99,283974.30043315684,11.60105142693901,11,5,Cirrhosis,0
1502,0,1.2797507668370471,4,158805.75315419078,1.2797507668370471,11,6,HCC,0
1503,133.45888995484626,0,72,0,133.45888995484626,11,7,Liver death,0
1504,0,0,1620,0,0,11,8,Natural death,0
1509,0,113.90466976422434,1678,7.468056456103005e+06,113.90466976422434,11,13,CHD,0
1510,222.94493632351043,0,418,0,222.94493632351043,11,14,CHD death,0
1515,0,137.23614309850817,3722,4.1953741784547865e+07,137.23614309850817,11,19,T2DM,0
1516,975.0845701589852,0,819,0,975.0845701589852,11,20,T2DM death,0
1521,0,0,8157,1.3552611408937576e+06,0,11,25,Overweight,0
1522,0,93.89307564471007,8364,7.480259273514316e+06,93.89307564471007,11,26,Obese,0
1635,0,0,6937,1.435184144139773e+06,0,12,3,Steatosis,0
1636,0,140.74913056000776,1068,307708.5549975954,140.74913056000776,12,4,NASH,0
1637,0,11.490695244884154,101,281272.96600714664,11.490695244884154,12,5,Cirrhosis,0
1638,0,0.9318573544929956,3,115635.2571511098,0.9318573544929956,12,6,HCC,0
1639,146.02112390222717,0,83,0,146.02112390222717,12,7,Liver death,0
1640,0,0,1759,0,0,12,8,Natural death,0
1645,0,109.92801715329762,1668,7.207330831190846e+06,109.92801715329762,12,13,CHD,0
1646,283.4536089711291,0,473,0,283.4536089711291,12,14,CHD death,0
1651,0,138.823412336017,3878,4.243897754116707e+07,138.823412336017,12,19,T2DM,0
1652,939.8295007096406,0,928,0,939.8295007096406,12,20,T2DM death,0
1657,0,0,8180,1.319497594240664e+06,0,12,25,Overweight,0
1658,0,91.32180923643006,8379,7.275412012273829e+06,91.32180923643006,12,26,Obese,0
1771,0,0,7006,1.4072421717569001e+06,0,13,3,Steatosis,0
1772,0,140.99991080063106,1102,308256.81575882854,140.99991080063106,13,4,NASH,0
1773,0,11.70829276129693,106,286599.38860672474,11.70829276129693,13,5,Cirrhosis,0
1774,0,1.206287837531386,4,149689.65327004503,1.206287837531386,13,6,HCC,0
1775,97.29067545508346,0,90,0,97.29067545508346,13,7,Liver death,0
1776,0,0,1879,0,0,13,8,Natural death,0
1781,0,106.59826114490279,1666,6.989018395825176e+06,106.59826114490279,13,13,CHD,0
1782,328.48815647537566,0,539,0,328.48815647537566,13,14,CHD death,0
1787,0,138.9506157511326,3998,4.247786423028134e+07,138.9506157511326,13,19,T2DM,0
1788,1124.200625517912,0,1061,0,1124.200625517912,13,20,T2DM death,0
1793,0,0,8254,1.2926547277115819e+06,0,13,25,Overweight,0
1794,0,88.15404122287352,8331,7.023042751846377e+06,88.15404122287352,13,26,Obese,0
1907,0,0,7061,1.3769801993263592e+06,0,14,3,Steatosis,0
1908,0,140.8682350253883,1134,307968.94355409266,140.8682350253883,14,4,NASH,0
1909,0,12.33242047581196,115,301876.9892816759,12.33242047581196,14,5,Cirrhosis,0
1910,0,1.4639415504021676,5,181662.200570443,1.4639415504021676,14,6,HCC,0
1911,122.43230913601224,0,101,0,122.43230913601224,14,7,Liver death,0
1912,0,0,2009,0,0,14,8,Natural death,0
1917,0,104.86011772433413,1688,6.875058597508708e+06,104.86011772433413,14,13,CHD,0
1918,212.16782141057706,0,586,0,212.16782141057706,14,14,CHD death,0
1923,0,138.88515481809003,4116,4.24578525116529e+07,138.88515481809003,14,19,T2DM,0
1924,1213.6966428799897,0,1199,0,1213.6966428799897,14,20,T2DM death,0
1929,0,0,8282,1.259261935361635e+06,0,14,25,Overweight,0
1930,0,85.92546504725739,8364,6.845496883954212e+06,85.92546504725739,14,26,Obese,0
2043,0,0,7067,1.3380099725471926e+06,0,15,3,Steatosis,0
2044,0,142.91609604722697,1185,312446.01814318105,142.91609604722697,15,4,NASH,0
2045,0,11.348533827467328,109,277793.0927117155,11.348533827467328,15,5,Cirrhosis,0
2046,0,2.274083961789774,8,282193.7096239891,2.274083961789774,15,6,HCC,0
2047,159.02431180592401,0,114,0,159.02431180592401,15,7,Liver death,0
2048,0,0,2128,0,0,15,8,Natural death,0
2053,0,102.77092474708314,1704,6.738082553118918e+06,102.77092474708314,15,13,CHD,0
2054,178.56533912232902,0,627,0,178.56533912232902,15,14,CHD death,0
2059,0,138.14871113154032,4217,4.2232718173376456e+07,138.14871113154032,15,19,T2DM,0
2060,1261.1050228712936,0,1355,0,1261.1050228712936,15,20,T2DM death,0
2065,0,0,8402,1.2402987389789107e+06,0,15,25,Overweight,0
2066,0,83.26319712946956,8348,6.633399728292451e+06,83.26319712946956,15,26,Obese,0
2179,0,0,7122,1.309148774968117e+06,0,16,3,Steatosis,0
2180,0,142.61751258492134,1218,311793.24902576976,142.61751258492134,16,4,NASH,0
2181,0,12.12990165935757,120,296919.66799150046,12.12990165935757,16,5,Cirrhosis,0
2182,0,1.6558863799440107,6,205480.8565223222,1.6558863799440107,16,6,HCC,0
2183,101.62620464336062,0,122,0,101.62620464336062,16,7,Liver death,0
2184,0,0,2243,0,0,16,8,Natural death,0
2189,0,100.94869539630582,1724,6.618609736985287e+06,100.94869539630582,16,13,CHD,0
2190,258.4271619496495,0,678,0,258.4271619496495,16,14,CHD death,0
2195,0,139.37291549425024,4382,4.260696327065271e+07,139.37291549425024,16,19,T2DM,0
2196,973.4170058013822,0,1485,0,973.4170058013822,16,20,T2DM death,0
2201,0,0,8415,1.2060366912763198e+06,0,16,25,Overweight,0
2202,0,81.1188776514886,8377,6.462566410175349e+06,81.1188776514886,16,26,Obese,0
2315,0,0,7182,1.2817260480746347e+06,0,17,3,Steatosis,0
2316,0,140.7372268561595,1238,307682.530882961,140.7372268561595,17,4,NASH,0
2317,0,12.4635720933529,127,305087.36112395296,12.4635720933529,17,5,Cirrhosis,0
2318,0,0.8038283397786459,3,99747.98860306904,0.8038283397786459,17,6,HCC,0
2319,85.95144843414563,0,134,0,85.95144843414563,17,7,Liver death,0
2320,0,0,2378,0,0,17,8,Natural death,0
2325,0,97.78104435477063,1720,6.410925566876835e+06,97.78104435477063,17,13,CHD,0
2326,311.9921327282496,0,747,0,311.9921327282496,17,14,CHD death,0
2331,0,137.6294648357993,4457,4.207398211068769e+07,137.6294648357993,17,19,T2DM,0
2332,1170.0792632733805,0,1639,0,1170.0792632733805,17,20,T2DM death,0
2337,0,0,8504,1.1832933587862386e+06,0,17,25,Overweight,0
2338,0,78.35192828577267,8334,6.242129508837902e+06,78.35192828577267,17,26,Obese,0
2451,0,0,7244,1.2551366945214532e+06,0,18,3,Steatosis,0
2452,0,141.27362515166166,1280,308855.2155294206,141.27362515166166,18,4,NASH,0
2453,0,12.005275466420489,126,293869.0276096481,12.005275466420489,18,5,Cirrhosis,0
2454,0,1.5608317277255257,6,193685.41476324084,1.5608317277255257,18,6,HCC,0
2455,118.51584890358284,0,143,0,118.51584890358284,18,7,Liver death,0
2456,0,0,2503,0,0,18,8,Natural death,0
2461,0,96.53366819626163,1749,6.329142479378802e+06,96.53366819626163,18,13,CHD,0
2462,194.86469676748413,0,792,0,194.86469676748413,18,14,CHD death,0
2467,0,137.1884591029941,4576,4.193916456027275e+07,137.1884591029941,18,19,T2DM,0
2468,1038.9958232110766,0,1779,0,1038.9958232110766,18,20,T2DM death,0
2473,0,0,8536,1.153151470764329e+06,0,18,25,Overweight,0
2474,0,76.22500333345376,8351,6.072681975147426e+06,76.22500333345376,18,26,Obese,0
2587,0,0,7296,1.2273267093796127e+06,0,19,3,Steatosis,0
2588,0,141.01645229033863,1316,308292.97909337777,141.01645229033863,19,4,NASH,0
2589,0,11.19308315177126,121,273987.92064083484,11.19308315177126,19,5,Cirrhosis,0
2590,0,2.0204941459230104,8,250725.4560041952,2.0204941459230104,19,6,HCC,0
2591,139.211107744053,0,159,0,139.211107744053,19,7,Liver death,0
2592,0,0,2622,0,0,19,8,Natural death,0
2597,0,94.9009011393895,1771,6.222091586859454e+06,94.9009011393895,19,13,CHD,0
2598,188.36105021092072,0,836,0,188.36105021092072,19,14,CHD death,0
2603,0,136.77281411776426,4699,4.181209991104606e+07,136.77281411776426,19,19,T2DM,0
2604,888.8889102711996,0,1898,0,888.8889102711996,19,20,T2DM death,0
2609,0,0,8640,1.1332049648552758e+06,0,19,25,Overweight,0
2610,0,74.26184968655605,8380,5.916281748913911e+06,74.26184968655605,19,26,Obese,0
2723,0,0,7302,1.192559246706483e+06,0,20,3,Steatosis,0
2724,0,141.48668745747628,1360,309321.0165897021,141.48668745747628,20,4,NASH,0
2725,0,11.405934046978654,127,279198.15390665183,11.405934046978654,20,5,Cirrhosis,0
2726,0,1.7164392016336256,7,212994.92621715614,1.7164392016336256,20,6,HCC,0
2727,92.7120882298291,0,167,0,92.7120882298291,20,7,Liver death,0
2728,0,0,2722,0,0,20,8,Natural death,0
2733,0,93.95768254331512,1806,6.160250314324316e+06,93.95768254331512,20,13,CHD,0
2734,255.97414360170782,0,893,0,255.97414360170782,20,14,CHD death,0
2739,0,135.10637964634262,4781,4.130266296582594e+07,135.10637964634262,20,19,T2DM,0
2740,1113.4564279943113,0,2057,0,1113.4564279943113,20,20,T2DM death,0
2745,0,0,8679,1.1051651710241328e+06,0,20,25,Overweight,0
2746,0,72.33978638047388,8408,5.763155101706427e+06,72.33978638047388,20,26,Obese,0
2859,0,0,7383,1.1706680864710496e+06,0,21,3,Steatosis,0
2860,0,140.59785047173762,1392,307377.82345292205,140.59785047173762,21,4,NASH,0
2861,0,11.77127969071266,135,288141.2030991354,11.77127969071266,21,5,Cirrhosis,0
2862,0,1.4283821372817969,6,177249.59185893717,1.4283821372817969,21,6,HCC,0
2863,112.88019533939057,0,178,0,112.88019533939057,21,7,Liver death,0
2864,0,0,2827,0,0,21,8,Natural death,0
