Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5931,0,0,2,3,Steatosis,0
276,0,0,716,0,0,2,4,NASH,0
277,0,0,79,0,0,2,5,Cirrhosis,0
278,0,0,3,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1429,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2085,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7437,0,0,2,25,Overweight,0
298,0,0,8378,0,0,2,26,Obese,0
411,0,0,6145,0,0,3,3,Steatosis,0
412,0,0,830,0,0,3,4,NASH,0
413,0,0,81,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,11,0,0,3,7,Liver death,0
416,0,0,177,0,0,3,8,Natural death,0
421,0,0,1423,0,0,3,13,CHD,0
422,0,0,39,0,0,3,14,CHD death,0
427,0,0,2243,0,0,3,19,T2DM,0
428,0,0,55,0,0,3,20,T2DM death,0
433,0,0,7797,0,0,3,25,Overweight,0
434,0,0,8373,0,0,3,26,Obese,0
547,0,0,6301,0,0,4,3,Steatosis,0
548,0,0,962,0,0,4,4,NASH,0
549,0,0,80,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,16,0,0,4,7,Liver death,0
552,0,0,368,0,0,4,8,Natural death,0
557,0,0,1416,0,0,4,13,CHD,0
558,0,0,74,0,0,4,14,CHD death,0
563,0,0,2328,0,0,4,19,T2DM,0
564,0,0,126,0,0,4,20,T2DM death,0
569,0,0,8020,0,0,4,25,Overweight,0
570,0,0,8429,0,0,4,26,Obese,0
683,0,0,6459,0,0,5,3,Steatosis,0
684,0,0,1075,0,0,5,4,NASH,0
685,0,0,90,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,554,0,0,5,8,Natural death,0
693,0,0,1429,0,0,5,13,CHD,0
694,0,0,117,0,0,5,14,CHD death,0
699,0,0,2459,0,0,5,19,T2DM,0
700,0,0,168,0,0,5,20,T2DM death,0
705,0,0,8247,0,0,5,25,Overweight,0
706,0,0,8437,0,0,5,26,Obese,0
819,0,0,6591,0,0,6,3,Steatosis,0
820,0,0,1194,0,0,6,4,NASH,0
821,0,0,98,0,0,6,5,Cirrhosis,0
822,0,0,6,0,0,6,6,HCC,0
823,0,0,29,0,0,6,7,Liver death,0
824,0,0,757,0,0,6,8,Natural death,0
829,0,0,1415,0,0,6,13,CHD,0
830,0,0,166,0,0,6,14,CHD death,0
835,0,0,2593,0,0,6,19,T2DM,0
836,0,0,226,0,0,6,20,T2DM death,0
841,0,0,8360,0,0,6,25,Overweight,0
842,0,0,8452,0,0,6,26,Obese,0
955,0,0,6747,749281.1226534052,0,7,3,Steatosis,0
956,0,210.05237736444948,1316,266036.9333486887,210.05237736444948,7,4,NASH,0
957,0,21.502811370356742,103,185182.86332023202,21.502811370356742,7,5,Cirrhosis,0
958,0,1.092873892726271,4,259444.07653142864,1.092873892726271,7,6,HCC,0
959,187.129284632,0,41,0,187.129284632,7,7,Liver death,0
960,0,0,930,0,0,7,8,Natural death,0
965,0,83.66214656227862,1416,1.987535147992944e+07,83.66214656227862,7,13,CHD,0
966,182.16858213,0,190,0,182.16858213,7,14,CHD death,0
971,0,82.81171059035658,2719,1.3702378729191821e+07,82.81171059035658,7,19,T2DM,0
972,668.9962356240001,0,298,0,668.9962356240001,7,20,T2DM death,0
977,0,0,8453,2.0944950721500923e+06,0,7,25,Overweight,0
978,0,83.35863102151235,8478,5.451169298096832e+06,83.35863102151235,7,26,Obese,0
1091,0,0,6860,739640.9913073604,0,8,3,Steatosis,0
1092,0,222.06528813648868,1433,281251.60495815764,222.06528813648868,8,4,NASH,0
1093,0,21.48456975452738,106,185025.76597176588,21.48456975452738,8,5,Cirrhosis,0
1094,0,2.1220852285947007,8,503774.90588626923,2.1220852285947007,8,6,HCC,0
1095,192.96069959708737,0,52,0,192.96069959708737,8,7,Liver death,0
1096,0,0,1103,0,0,8,8,Natural death,0
1101,0,82.25791109258007,1434,1.9541751701921996e+07,82.25791109258007,8,13,CHD,0
1102,211.48608719223304,0,226,0,211.48608719223304,8,14,CHD death,0
1107,0,84.06634835350171,2843,1.3909976443043116e+07,84.06634835350171,8,19,T2DM,0
1108,882.1564971009714,0,392,0,882.1564971009714,8,20,T2DM death,0
1113,0,0,8526,2.051051558089946e+06,0,8,25,Overweight,0
1114,0,81.53210566179251,8541,5.331725170462857e+06,81.53210566179251,8,26,Obese,0
1227,0,0,6917,724064.7537254835,0,9,3,Steatosis,0
1228,0,233.9524814207731,1555,296307.0520192679,233.9524814207731,9,4,NASH,0
1229,0,20.85880558691982,106,179636.66599200552,20.85880558691982,9,5,Cirrhosis,0
1230,0,2.060276920965729,8,489101.8503750186,2.060276920965729,9,6,HCC,0
1231,240.4391400697521,0,66,0,240.4391400697521,9,7,Liver death,0
1232,0,0,1282,0,0,9,8,Natural death,0
1237,0,79.75066599272954,1432,1.8946113415628873e+07,79.75066599272954,9,13,CHD,0
1238,284.24165957111893,0,271,0,284.24165957111893,9,14,CHD death,0
1243,0,84.43123136973131,2941,1.397035154270503e+07,84.43123136973131,9,19,T2DM,0
1244,831.1107299670091,0,478,0,831.1107299670091,9,20,T2DM death,0
1249,0,0,8568,2.0011216119872918e+06,0,9,25,Overweight,0
1250,0,79.2871351478381,8555,5.1849171652107015e+06,79.2871351478381,9,26,Obese,0
1363,0,0,7025,713951.5412178675,0,10,3,Steatosis,0
1364,0,242.47564646363148,1660,307101.8676689573,242.47564646363148,10,4,NASH,0
1365,0,21.588615417859806,113,185921.81037824324,21.588615417859806,10,5,Cirrhosis,0
1366,0,1.250168034566583,5,296785.10338289966,1.250168034566583,10,6,HCC,0
1367,149.67937150450203,0,76,0,149.67937150450203,10,7,Liver death,0
1368,0,0,1469,0,0,10,8,Natural death,0
1373,0,75.64353048477483,1399,1.7970394226599373e+07,75.64353048477483,10,13,CHD,0
1374,288.01071225475346,0,318,0,288.01071225475346,10,14,CHD death,0
1379,0,85.53970780485594,3069,1.4153764780015169e+07,85.53970780485594,10,19,T2DM,0
1380,686.637222771104,0,555,0,686.637222771104,10,20,T2DM death,0
1385,0,0,8555,1.939888701982604e+06,0,10,25,Overweight,0
1386,0,77.28373276114752,8589,5.053906309486525e+06,77.28373276114752,10,26,Obese,0
1499,0,0,7049,695524.9164279927,0,11,3,Steatosis,0
1500,0,252.57288943252576,1781,319890.294957546,252.57288943252576,11,4,NASH,0
1501,0,22.443701912200723,121,193285.8411871075,22.443701912200723,11,5,Cirrhosis,0
1502,0,1.9420085973849834,8,461025.40331324225,1.9420085973849834,11,6,HCC,0
1503,190.9931604560252,0,89,0,190.9931604560252,11,7,Liver death,0
1504,0,0,1657,0,0,11,8,Natural death,0
1509,0,73.4928157273837,1400,1.7459455725822445e+07,73.4928157273837,11,13,CHD,0
1510,322.4126959868043,0,366,0,322.4126959868043,11,14,CHD death,0
1515,0,86.16020197295356,3184,1.4256434390749397e+07,86.16020197295356,11,19,T2DM,0
1516,707.3543461956552,0,632,0,707.3543461956552,11,20,T2DM death,0
1521,0,0,8576,1.8880102487280653e+06,0,11,25,Overweight,0
1522,0,75.37345083099962,8628,4.928984989634775e+06,75.37345083099962,11,26,Obese,0
1635,0,0,7151,685038.1142510537,0,12,3,Steatosis,0
1636,0,254.16590106596362,1846,321907.88664143934,254.16590106596362,12,4,NASH,0
1637,0,22.33024983641889,124,192308.78847148665,22.33024983641889,12,5,Cirrhosis,0
1638,0,1.6497645851571463,7,391647.7940767834,1.6497645851571463,12,6,HCC,0
1639,372.393179051878,0,112,0,372.393179051878,12,7,Liver death,0
1640,0,0,1853,0,0,12,8,Natural death,0
1645,0,69.82327153017764,1370,1.6587693720094973e+07,69.82327153017764,12,13,CHD,0
1646,232.21212752174108,0,412,0,232.21212752174108,12,14,CHD death,0
1651,0,86.69825660790815,3300,1.4345463204819694e+07,86.69825660790815,12,19,T2DM,0
1652,675.6485407939051,0,722,0,675.6485407939051,12,20,T2DM death,0
1657,0,0,8611,1.8405004994520906e+06,0,12,25,Overweight,0
1658,0,73.08481145274365,8617,4.779321294824048e+06,73.08481145274365,12,26,Obese,0
1771,0,0,7233,672712.0357093681,0,13,3,Steatosis,0
1772,0,260.6651521940022,1950,330139.36138529755,260.6651521940022,13,4,NASH,0
1773,0,22.72887941383075,130,195741.79847551844,22.72887941383075,13,5,Cirrhosis,0
1774,0,1.8305293593976655,8,434560.6591698014,1.8305293593976655,13,6,HCC,0
1775,141.60907740936065,0,121,0,141.60907740936065,13,7,Liver death,0
1776,0,0,2034,0,0,13,8,Natural death,0
1781,0,66.94839939077713,1353,1.5904719441065744e+07,66.94839939077713,13,13,CHD,0
1782,189.29092302492015,0,440,0,189.29092302492015,13,14,CHD death,0
1787,0,86.8002845650724,3403,1.4362345185644614e+07,86.8002845650724,13,19,T2DM,0
1788,806.578993569742,0,814,0,806.578993569742,13,20,T2DM death,0
1793,0,0,8619,1.788553792087135e+06,0,13,25,Overweight,0
1794,0,70.89025214290697,8609,4.635809888911095e+06,70.89025214290697,13,26,Obese,0
1907,0,0,7272,656640.0657825392,0,14,3,Steatosis,0
1908,0,266.44040699741385,2053,337453.8754911609,266.44040699741385,14,4,NASH,0
1909,0,22.406363574500727,132,192964.2822910265,22.406363574500727,14,5,Cirrhosis,0
1910,0,1.777212970288996,8,421903.5525920401,1.777212970288996,14,6,HCC,0
1911,172.47810445888226,0,135,0,172.47810445888226,14,7,Liver death,0
1912,0,0,2208,0,0,14,8,Natural death,0
1917,0,63.172916854222755,1315,1.500778999921192e+07,63.172916854222755,14,13,CHD,0
1918,287.0394404901397,0,488,0,287.0394404901397,14,14,CHD death,0
1923,0,86.8971120681267,3509,1.4378366677154748e+07,86.8971120681267,14,19,T2DM,0
1924,818.3614864751218,0,917,0,818.3614864751218,14,20,T2DM death,0
1929,0,0,8660,1.7447202150449997e+06,0,14,25,Overweight,0
1930,0,69.08131462860166,8641,4.517515904002674e+06,69.08131462860166,14,26,Obese,0
2043,0,0,7365,645667.6605691366,0,15,3,Steatosis,0
2044,0,268.5080830380654,2131,340072.64229551086,268.5080830380654,15,4,NASH,0
2045,0,23.56656363013832,143,202955.960338458,23.56656363013832,15,5,Cirrhosis,0
2046,0,1.941130671432155,9,460816.9870544128,1.941130671432155,15,6,HCC,0
2047,153.07809042315426,0,147,0,153.07809042315426,15,7,Liver death,0
2048,0,0,2395,0,0,15,8,Natural death,0
2053,0,61.519493027219674,1319,1.4614991331507575e+07,61.519493027219674,15,13,CHD,0
2054,151.56018893712158,0,524,0,151.56018893712158,15,14,CHD death,0
2059,0,86.86657773275087,3613,1.4373314335828219e+07,86.86657773275087,15,19,T2DM,0
2060,873.978184634936,0,1026,0,873.978184634936,15,20,T2DM death,0
2065,0,0,8726,1.7068127756772626e+06,0,15,25,Overweight,0
2066,0,66.76652945319078,8602,4.3661424262333475e+06,66.76652945319078,15,26,Obese,0
2179,0,0,7423,631798.3962989533,0,16,3,Steatosis,0
2180,0,270.7186050412848,2213,342872.32731796685,270.7186050412848,16,4,NASH,0
2181,0,22.400155531396315,140,192910.8184356313,22.400155531396315,16,5,Cirrhosis,0
2182,0,1.8845928848855882,9,447395.1330625366,1.8845928848855882,16,6,HCC,0
2183,188.92678124373552,0,163,0,188.92678124373552,16,7,Liver death,0
2184,0,0,2579,0,0,16,8,Natural death,0
2189,0,60.45218368677424,1335,1.4361434028105602e+07,60.45218368677424,16,13,CHD,0
2190,139.4930798047572,0,553,0,139.4930798047572,16,14,CHD death,0
2195,0,86.92750167995577,3724,1.4383395071901234e+07,86.92750167995577,16,19,T2DM,0
2196,671.4305027260974,0,1115,0,671.4305027260974,16,20,T2DM death,0
2201,0,0,8784,1.6681141974485996e+06,0,16,25,Overweight,0
2202,0,65.0404078200913,8631,4.253264117942611e+06,65.0404078200913,16,26,Obese,0
2315,0,0,7461,616536.6153723986,0,17,3,Steatosis,0
2316,0,271.62242956641967,2287,344017.0451639287,271.62242956641967,17,4,NASH,0
2317,0,23.45647354535952,151,202007.8611912643,23.45647354535952,17,5,Cirrhosis,0
2318,0,1.4231014233224502,7,337838.8275553135,1.4231014233224502,17,6,HCC,0
2319,302.5521464024698,0,186,0,302.5521464024698,17,7,Liver death,0
2320,0,0,2767,0,0,17,8,Natural death,0
2325,0,58.1199133369052,1322,1.3807363939605584e+07,58.1199133369052,17,13,CHD,0
2326,168.65712844322832,0,589,0,168.65712844322832,17,14,CHD death,0
2331,0,86.43526936463239,3814,1.4301948214217199e+07,86.43526936463239,17,19,T2DM,0
2332,761.4600379433016,0,1216,0,761.4600379433016,17,20,T2DM death,0
2337,0,0,8800,1.622478307597114e+06,0,17,25,Overweight,0
2338,0,63.50452026940615,8680,4.1528260114242346e+06,63.50452026940615,17,26,Obese,0
2451,0,0,7484,600424.4764616699,0,18,3,Steatosis,0
2452,0,271.3214737455673,2353,343635.8765970171,271.3214737455673,18,4,NASH,0
2453,0,23.828990035149612,158,205215.98449315137,23.828990035149612,18,5,Cirrhosis,0
2454,0,1.184273029117157,6,281141.88146073243,1.184273029117157,18,6,HCC,0
2455,216.42755131920737,0,202,0,216.42755131920737,18,7,Liver death,0
2456,0,0,2937,0,0,18,8,Natural death,0
2461,0,56.21368466776382,1317,1.3354507225342952e+07,56.21368466776382,18,13,CHD,0
2462,148.26085740958865,0,622,0,148.26085740958865,18,14,CHD death,0
2467,0,86.20600276209458,3918,1.4264012784605155e+07,86.20600276209458,18,19,T2DM,0
2468,764.4213477995727,0,1325,0,764.4213477995727,18,20,T2DM death,0
2473,0,0,8824,1.5795177169278183e+06,0,18,25,Overweight,0
2474,0,61.796935969714994,8700,4.0411599368479927e+06,61.796935969714994,18,26,Obese,0
2587,0,0,7525,586129.9166861847,0,19,3,Steatosis,0
2588,0,270.1359207407487,2413,342134.3421241248,270.1359207407487,19,4,NASH,0
2589,0,25.4777206963009,174,219414.90292373396,25.4777206963009,19,5,Cirrhosis,0
2590,0,0.5748898199597849,3,136476.64148579247,0.5748898199597849,19,6,HCC,0
2591,170.93718796081254,0,218,0,170.93718796081254,19,7,Liver death,0
2592,0,0,3112,0,0,19,8,Natural death,0
2597,0,55.48807142603748,1339,1.3182125583102722e+07,55.48807142603748,19,13,CHD,0
2598,141.42605484642837,0,655,0,141.42605484642837,19,14,CHD death,0
2603,0,85.8099568075869,4017,1.4198481332301795e+07,85.8099568075869,19,19,T2DM,0
2604,723.8752598305407,0,1438,0,723.8752598305407,19,20,T2DM death,0
2609,0,0,8872,1.5418542087978185e+06,0,19,25,Overweight,0
2610,0,59.84530859783462,8678,3.913534865747582e+06,59.84530859783462,19,26,Obese,0
2723,0,0,7525,569058.1715400524,0,20,3,Steatosis,0
2724,0,267.26760351552565,2459,338501.54192428803,267.26760351552565,20,4,NASH,0
2725,0,25.162127905620377,177,216697.0082440626,25.162127905620377,20,5,Cirrhosis,0
2726,0,1.6744363688149075,9,397504.78102657996,1.6744363688149075,20,6,HCC,0
2727,178.40888107036392,0,233,0,178.40888107036392,20,7,Liver death,0
2728,0,0,3291,0,0,20,8,Natural death,0
2733,0,53.42935160551622,1328,1.269304202843764e+07,53.42935160551622,20,13,CHD,0
2734,163.87327136084662,0,700,0,163.87327136084662,20,14,CHD death,0
2739,0,85.42606835765528,4119,1.413496151254194e+07,85.42606835765528,20,19,T2DM,0
2740,843.1604950115703,0,1556,0,843.1604950115703,20,20,T2DM death,0
2745,0,0,8825,1.489015665368089e+06,0,20,25,Overweight,0
2746,0,58.129022754392054,8682,3.8012997608516966e+06,58.129022754392054,20,26,Obese,0
2859,0,0,7561,555126.7728947111,0,21,3,Steatosis,0
2860,0,265.4979688029678,2516,336260.25240409357,265.4979688029678,21,4,NASH,0
2861,0,23.73915857477211,172,204442.35323338702,23.73915857477211,21,5,Cirrhosis,0
2862,0,2.5288143649847585,14,600330.8451318359,2.5288143649847585,21,6,HCC,0
2863,250.67754823028451,0,257,0,250.67754823028451,21,7,Liver death,0
2864,0,0,3488,0,0,21,8,Natural death,0
2869,0,51.482545777335524,1318,1.2230545526875425e+07,51.482545777335524,21,13,CHD,0
2870,164.5677495963712,0,744,0,164.5677495963712,21,14,CHD death,0
