Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5850,0,0,2,3,Steatosis,0
276,0,0,612,0,0,2,4,NASH,0
277,0,0,67,0,0,2,5,Cirrhosis,0
278,0,0,7,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1480,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2099,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7612,0,0,2,25,Overweight,0
298,0,0,8242,0,0,2,26,Obese,0
411,0,0,6086,0,0,3,3,Steatosis,0
412,0,0,773,0,0,3,4,NASH,0
413,0,0,79,0,0,3,5,Cirrhosis,0
414,0,0,2,0,0,3,6,HCC,0
415,0,0,9,0,0,3,7,Liver death,0
416,0,0,181,0,0,3,8,Natural death,0
421,0,0,1500,0,0,3,13,CHD,0
422,0,0,46,0,0,3,14,CHD death,0
427,0,0,2259,0,0,3,19,T2DM,0
428,0,0,62,0,0,3,20,T2DM death,0
433,0,0,7866,0,0,3,25,Overweight,0
434,0,0,8186,0,0,3,26,Obese,0
547,0,0,6280,0,0,4,3,Steatosis,0
548,0,0,952,0,0,4,4,NASH,0
549,0,0,85,0,0,4,5,Cirrhosis,0
550,0,0,2,0,0,4,6,HCC,0
551,0,0,16,0,0,4,7,Liver death,0
552,0,0,353,0,0,4,8,Natural death,0
557,0,0,1521,0,0,4,13,CHD,0
558,0,0,97,0,0,4,14,CHD death,0
563,0,0,2398,0,0,4,19,T2DM,0
564,0,0,109,0,0,4,20,T2DM death,0
569,0,0,8123,0,0,4,25,Overweight,0
570,0,0,8144,0,0,4,26,Obese,0
683,0,0,6489,0,0,5,3,Steatosis,0
684,0,0,1121,0,0,5,4,NASH,0
685,0,0,91,0,0,5,5,Cirrhosis,0
686,0,0,2,0,0,5,6,HCC,0
687,0,0,23,0,0,5,7,Liver death,0
688,0,0,518,0,0,5,8,Natural death,0
693,0,0,1579,0,0,5,13,CHD,0
694,0,0,133,0,0,5,14,CHD death,0
699,0,0,2525,0,0,5,19,T2DM,0
700,0,0,170,0,0,5,20,T2DM death,0
705,0,0,8308,0,0,5,25,Overweight,0
706,0,0,8129,0,0,5,26,Obese,0
819,0,0,6618,0,0,6,3,Steatosis,0
820,0,0,1304,0,0,6,4,NASH,0
821,0,0,110,0,0,6,5,Cirrhosis,0
822,0,0,0,0,0,6,6,HCC,0
823,0,0,30,0,0,6,7,Liver death,0
824,0,0,690,0,0,6,8,Natural death,0
829,0,0,1605,0,0,6,13,CHD,0
830,0,0,179,0,0,6,14,CHD death,0
835,0,0,2683,0,0,6,19,T2DM,0
836,0,0,220,0,0,6,20,T2DM death,0
841,0,0,8489,0,0,6,25,Overweight,0
842,0,0,8163,0,0,6,26,Obese,0
955,0,0,6733,354011.9244158664,0,7,3,Steatosis,0
956,0,178.80124748188535,1473,587581.1014870397,178.80124748188535,7,4,NASH,0
957,0,32.37495310297554,126,205504.21140485053,32.37495310297554,7,5,Cirrhosis,0
958,0,1.1195973043243015,4,122303.13591304868,1.1195973043243015,7,6,HCC,0
959,82.78789787,0,35,0,82.78789787,7,7,Liver death,0
960,0,0,860,0,0,7,8,Natural death,0
965,0,119.54762207697638,1601,3.648399824401516e+07,119.54762207697638,7,13,CHD,0
966,352.43861315400005,0,223,0,352.43861315400005,7,14,CHD death,0
971,0,64.56824892695386,2810,1.2311573031485014e+07,64.56824892695386,7,19,T2DM,0
972,522.2868774090001,0,280,0,522.2868774090001,7,20,T2DM death,0
977,0,0,8639,1.6516410598697616e+06,0,7,25,Overweight,0
978,0,79.13777609889095,8159,6.490204530979434e+06,79.13777609889095,7,26,Obese,0
1091,0,0,6821,348193.0523967079,0,8,3,Steatosis,0
1092,0,197.28134794237428,1674,648310.8667268419,197.28134794237428,8,4,NASH,0
1093,0,34.67497673997231,139,220103.9095798596,34.67497673997231,8,5,Cirrhosis,0
1094,0,1.0869876741012636,4,118740.90865344532,1.0869876741012636,8,6,HCC,0
1095,112.6250200514563,0,42,0,112.6250200514563,8,7,Liver death,0
1096,0,0,1037,0,0,8,8,Natural death,0
1101,0,117.87804557659072,1626,3.597447053405402e+07,117.87804557659072,8,13,CHD,0
1102,299.89457877184464,0,264,0,299.89457877184464,8,14,CHD death,0
1107,0,65.76622942910436,2948,1.2539998375018116e+07,65.76622942910436,8,19,T2DM,0
1108,731.4655666650486,0,351,0,731.4655666650486,8,20,T2DM death,0
1113,0,0,8773,1.6284075285408725e+06,0,8,25,Overweight,0
1114,0,76.93637864051863,8170,6.309664712158963e+06,76.93637864051863,8,26,Obese,0
1227,0,0,6931,343503.1514840622,0,9,3,Steatosis,0
1228,0,207.66818997308155,1815,682444.3650515956,207.66818997308155,9,4,NASH,0
1229,0,36.57135913763929,151,232141.44266647266,36.57135913763929,9,5,Cirrhosis,0
1230,0,1.0553278389332656,4,115282.43558586924,1.0553278389332656,9,6,HCC,0
1231,215.84065928739747,0,58,0,215.84065928739747,9,7,Liver death,0
1232,0,0,1197,0,0,9,8,Natural death,0
1237,0,117.47122491750658,1669,3.585031545715571e+07,117.47122491750658,9,13,CHD,0
1238,203.62249491280994,0,300,0,203.62249491280994,9,14,CHD death,0
1243,0,66.42812822221262,3067,1.2666206154636234e+07,66.42812822221262,9,19,T2DM,0
1244,625.5004895079652,0,417,0,625.5004895079652,9,20,T2DM death,0
1249,0,0,8940,1.6110731741094969e+06,0,9,25,Overweight,0
1250,0,74.5218027473111,8151,6.111641818731525e+06,74.5218027473111,9,26,Obese,0
1363,0,0,7054,339416.5835172127,0,10,3,Steatosis,0
1364,0,218.61563447379808,1968,718420.1291404223,218.61563447379808,10,4,NASH,0
1365,0,35.74131414467426,152,226872.6244795464,35.74131414467426,10,5,Cirrhosis,0
1366,0,1.0245901348866657,4,111924.69474356237,1.0245901348866657,10,6,HCC,0
1367,268.977548977924,0,73,0,268.977548977924,10,7,Liver death,0
1368,0,0,1345,0,0,10,8,Natural death,0
1373,0,115.68975305562688,1693,3.530663909495489e+07,115.68975305562688,10,13,CHD,0
1374,344.7261537987072,0,353,0,344.7261537987072,10,14,CHD death,0
1379,0,66.72231200568386,3173,1.2722299748547219e+07,66.72231200568386,10,19,T2DM,0
1380,841.5443198667186,0,499,0,841.5443198667186,10,20,T2DM death,0
1385,0,0,9033,1.5804200583971073e+06,0,10,25,Overweight,0
1386,0,72.39564663662289,8156,5.937272652658481e+06,72.39564663662289,10,26,Obese,0
1499,0,0,7105,331913.1506864133,0,11,3,Steatosis,0
1500,0,229.93553787697806,2132,755619.8769276293,229.93553787697806,11,4,NASH,0
1501,0,38.12467719826629,167,242001.33040421593,38.12467719826629,11,5,Cirrhosis,0
1502,0,1.2434346297168273,5,135830.94022276986,1.2434346297168273,11,6,HCC,0
1503,221.94800568731222,0,89,0,221.94800568731222,11,7,Liver death,0
1504,0,0,1543,0,0,11,8,Natural death,0
1509,0,111.05961532931691,1674,3.389359604364927e+07,111.05961532931691,11,13,CHD,0
1510,342.7436652352814,0,401,0,342.7436652352814,11,14,CHD death,0
1515,0,66.53469193239124,3259,1.2686525226660091e+07,66.53469193239124,11,19,T2DM,0
1516,779.9947542738474,0,593,0,779.9947542738474,11,20,T2DM death,0
1521,0,0,9087,1.5435611034246916e+06,0,11,25,Overweight,0
1522,0,70.24394641089758,8151,5.760808576427112e+06,70.24394641089758,11,26,Obese,0
1635,0,0,7170,325193.8386643413,0,12,3,Steatosis,0
1636,0,237.26931675859154,2266,779720.3232836182,237.26931675859154,12,4,NASH,0
1637,0,39.6739562728312,179,251835.58015437998,39.6739562728312,12,5,Cirrhosis,0
1638,0,2.897323409048919,12,316499.2781889783,2.897323409048919,12,6,HCC,0
1639,250.75485397922694,0,105,0,250.75485397922694,12,7,Liver death,0
1640,0,0,1713,0,0,12,8,Natural death,0
1645,0,106.92310809912236,1660,3.2631201025655217e+07,106.92310809912236,12,13,CHD,0
1646,258.99136433228165,0,457,0,258.99136433228165,12,14,CHD death,0
1651,0,66.67799809357507,3364,1.2713850178141806e+07,66.67799809357507,12,19,T2DM,0
1652,733.2163689455843,0,672,0,733.2163689455843,12,20,T2DM death,0
1657,0,0,9124,1.5047049511301562e+06,0,12,25,Overweight,0
1658,0,68.23984035877959,8156,5.596448913807624e+06,68.23984035877959,12,26,Obese,0
1771,0,0,7223,318055.96358514694,0,13,3,Steatosis,0
1772,0,242.3542837352977,2384,796430.6680898208,242.3542837352977,13,4,NASH,0
1773,0,42.176576609399255,196,267721.28714139166,42.176576609399255,13,5,Cirrhosis,0
1774,0,1.4064676742955913,6,153640.42630532928,1.4064676742955913,13,6,HCC,0
1775,355.912512803143,0,132,0,355.912512803143,13,7,Liver death,0
1776,0,0,1860,0,0,13,8,Natural death,0
1781,0,105.99758347643689,1695,3.234874589922231e+07,105.99758347643689,13,13,CHD,0
1782,219.9854256598051,0,499,0,219.9854256598051,13,14,CHD death,0
1787,0,66.58331892332153,3460,1.269579719484795e+07,66.58331892332153,13,19,T2DM,0
1788,804.1189445412878,0,768,0,804.1189445412878,13,20,T2DM death,0
1793,0,0,9213,1.475128724281864e+06,0,13,25,Overweight,0
1794,0,66.39036545281971,8173,5.444770777193853e+06,66.39036545281971,13,26,Obese,0
1907,0,0,7272,310887.0083553491,0,14,3,Steatosis,0
1908,0,249.80398943361007,2531,820912.0760308354,249.80398943361007,14,4,NASH,0
1909,0,44.91759446711341,215,285120.2532960132,44.91759446711341,14,5,Cirrhosis,0
1910,0,0.9103350642689911,4,99443.64162157236,0.9103350642689911,14,6,HCC,0
1911,170.7925548783292,0,145,0,170.7925548783292,14,7,Liver death,0
1912,0,0,2018,0,0,14,8,Natural death,0
1917,0,104.54955394015712,1722,3.1906830734861024e+07,104.54955394015712,14,13,CHD,0
1918,244.69226165322044,0,544,0,244.69226165322044,14,14,CHD death,0
1923,0,66.34417349366,3551,1.2650198057945672e+07,66.34417349366,14,19,T2DM,0
1924,673.3996799272522,0,861,0,673.3996799272522,14,20,T2DM death,0
1929,0,0,9296,1.4450661866491484e+06,0,14,25,Overweight,0
1930,0,64.59073661424463,8190,5.297180589321074e+06,64.59073661424463,14,26,Obese,0
2043,0,0,7337,304529.94065586757,0,15,3,Steatosis,0
2044,0,257.38071816991794,2686,845810.9102349795,257.38071816991794,15,4,NASH,0
2045,0,46.246157319944835,228,293553.47821852,46.246157319944835,15,5,Cirrhosis,0
2046,0,1.3257306761198897,6,144820.83731296944,1.3257306761198897,15,6,HCC,0
2047,212.30982944702595,0,164,0,212.30982944702595,15,7,Liver death,0
2048,0,0,2172,0,0,15,8,Natural death,0
2053,0,102.27071484172912,1735,3.121136594667855e+07,102.27071484172912,15,13,CHD,0
2054,218.87789711474818,0,593,0,218.87789711474818,15,14,CHD death,0
2059,0,65.73597065259894,3624,1.2534228772421042e+07,65.73597065259894,15,19,T2DM,0
2060,648.3842105824694,0,940,0,648.3842105824694,15,20,T2DM death,0
2065,0,0,9318,1.4062971783665847e+06,0,15,25,Overweight,0
2066,0,63.03103996210849,8232,5.169267590276072e+06,63.03103996210849,15,26,Obese,0
2179,0,0,7402,298279.45083969104,0,16,3,Steatosis,0
2180,0,260.67591477999866,2802,856639.667198668,260.67591477999866,16,4,NASH,0
2181,0,47.656149171464406,242,302503.5842653788,47.656149171464406,16,5,Cirrhosis,0
2182,0,1.5016366881616876,7,164036.5471182502,1.5016366881616876,16,6,HCC,0
2183,114.40750720359355,0,175,0,114.40750720359355,16,7,Liver death,0
2184,0,0,2336,0,0,16,8,Natural death,0
2189,0,102.89737012698681,1798,3.1402610991369493e+07,102.89737012698681,16,13,CHD,0
2190,274.46582352957563,0,643,0,274.46582352957563,16,14,CHD death,0
2195,0,65.6176264631724,3726,1.2511663453472015e+07,65.6176264631724,16,19,T2DM,0
2196,692.9783355329366,0,1023,0,692.9783355329366,16,20,T2DM death,0
2201,0,0,9408,1.3785244816977663e+06,0,16,25,Overweight,0
2202,0,61.105978621026324,8220,5.01139049978609e+06,61.105978621026324,16,26,Obese,0
2315,0,0,7462,291939.10621972545,0,17,3,Steatosis,0
2316,0,261.03178510294384,2890,857809.1370948296,261.03178510294384,17,4,NASH,0
2317,0,51.62144056926615,270,327673.7854114254,51.62144056926615,17,5,Cirrhosis,0
2318,0,1.2496283119237344,6,136507.52880852995,1.2496283119237344,17,6,HCC,0
2319,236.71590428137858,0,195,0,236.71590428137858,17,7,Liver death,0
2320,0,0,2498,0,0,17,8,Natural death,0
2325,0,100.78935030851632,1814,3.075927748109928e+07,100.78935030851632,17,13,CHD,0
2326,280.4567995777724,0,696,0,280.4567995777724,17,14,CHD death,0
2331,0,65.00586688475293,3802,1.2395015985830223e+07,65.00586688475293,17,19,T2DM,0
2332,879.1828183414478,0,1134,0,879.1828183414478,17,20,T2DM death,0
2337,0,0,9402,1.3375197288115679e+06,0,17,25,Overweight,0
2338,0,59.896359409444095,8299,4.912187862628033e+06,59.896359409444095,17,26,Obese,0
2451,0,0,7496,284727.47880177316,0,18,3,Steatosis,0
2452,0,262.72423427570106,2996,863370.9056123825,262.72423427570106,18,4,NASH,0
2453,0,54.201584488406546,292,344051.5833877604,54.201584488406546,18,5,Cirrhosis,0
2454,0,2.4264627415994835,12,265063.1627350096,2.4264627415994835,18,6,HCC,0
2455,268.46881783820885,0,219,0,268.46881783820885,18,7,Liver death,0
2456,0,0,2661,0,0,18,8,Natural death,0
2461,0,99.74176508516979,1849,3.0439571436052214e+07,99.74176508516979,18,13,CHD,0
2462,204.0934330144265,0,747,0,204.0934330144265,18,14,CHD death,0
2467,0,64.29107890191442,3873,1.2258723541803708e+07,64.29107890191442,18,19,T2DM,0
2468,665.8815254741636,0,1230,0,665.8815254741636,18,20,T2DM death,0
2473,0,0,9461,1.3067116637328072e+06,0,18,25,Overweight,0
2474,0,58.12377690859219,8295,4.7668157843912095e+06,58.12377690859219,18,26,Obese,0
2587,0,0,7522,277393.2628853866,0,19,3,Steatosis,0
2588,0,264.5223391364925,3107,869279.8824767921,264.5223391364925,19,4,NASH,0
2589,0,56.407421016329735,313,358053.4166789785,56.407421016329735,19,5,Cirrhosis,0
2590,0,2.355789069514062,12,257342.87644175696,2.355789069514062,19,6,HCC,0
2591,287.8951549764911,0,246,0,287.8951549764911,19,7,Liver death,0
2592,0,0,2809,0,0,19,8,Natural death,0
2597,0,97.83174173345319,1868,2.9856663240978446e+07,97.83174173345319,19,13,CHD,0
2598,153.15323785043503,0,790,0,153.15323785043503,19,14,CHD death,0
2603,0,64.12685355942479,3979,1.2227409818242809e+07,64.12685355942479,19,19,T2DM,0
2604,804.5203918269306,0,1345,0,804.5203918269306,19,20,T2DM death,0
2609,0,0,9496,1.2733453491549587e+06,0,19,25,Overweight,0
2610,0,56.682562217541665,8332,4.648619663914707e+06,56.682562217541665,19,26,Obese,0
2723,0,0,7588,271676.8777636535,0,20,3,Steatosis,0
2724,0,260.6200640887263,3153,856456.1292694716,260.6200640887263,20,4,NASH,0
2725,0,61.58817642528552,352,390938.9331896157,61.58817642528552,20,5,Cirrhosis,0
2726,0,2.477771675055244,13,270668.07392741425,2.477771675055244,20,6,HCC,0
2727,281.11521165333875,0,272,0,281.11521165333875,20,7,Liver death,0
2728,0,0,2972,0,0,20,8,Natural death,0
2733,0,96.4059906897041,1896,2.942154711175371e+07,96.4059906897041,20,13,CHD,0
2734,212.07642169753436,0,842,0,212.07642169753436,20,14,CHD death,0
2739,0,63.933301201170075,4086,1.2190504155883474e+07,63.933301201170075,20,19,T2DM,0
2740,555.4699023080376,0,1423,0,555.4699023080376,20,20,T2DM death,0
2745,0,0,9552,1.2435481035580111e+06,0,20,25,Overweight,0
2746,0,54.88630709391864,8310,4.501306159331824e+06,54.88630709391864,20,26,Obese,0
2859,0,0,7625,265050.10375965707,0,21,3,Steatosis,0
2860,0,258.6467092699641,3223,849971.2416393292,258.6467092699641,21,4,NASH,0
2861,0,64.04110357549865,377,406509.2062347916,64.04110357549865,21,5,Cirrhosis,0
2862,0,2.220557139705969,12,242570.34257871323,2.220557139705969,21,6,HCC,0
2863,258.5219332813179,0,299,0,258.5219332813179,21,7,Liver death,0
2864,0,0,3125,0,0,21,8,Natural death,0
2869,0,95.17776312407854,1928,2.904671194925308e+07,95.17776312407854,21,13,CHD,0
2870,138.99946819031805,0,882,0,138.99946819031805,21,14,CHD death,0
