Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6239,0,0,2,3,Steatosis,0
276,0,0,690,0,0,2,4,NASH,0
277,0,0,74,0,0,2,5,Cirrhosis,0
278,0,0,4,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1484,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2179,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7448,0,0,2,25,Overweight,0
298,0,0,8390,0,0,2,26,Obese,0
411,0,0,6551,0,0,3,3,Steatosis,0
412,0,0,782,0,0,3,4,NASH,0
413,0,0,73,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,183,0,0,3,8,Natural death,0
421,0,0,1530,0,0,3,13,CHD,0
422,0,0,36,0,0,3,14,CHD death,0
427,0,0,2249,0,0,3,19,T2DM,0
428,0,0,81,0,0,3,20,T2DM death,0
433,0,0,7716,0,0,3,25,Overweight,0
434,0,0,8328,0,0,3,26,Obese,0
547,0,0,6921,0,0,4,3,Steatosis,0
548,0,0,855,0,0,4,4,NASH,0
549,0,0,80,0,0,4,5,Cirrhosis,0
550,0,0,3,0,0,4,6,HCC,0
551,0,0,13,0,0,4,7,Liver death,0
552,0,0,361,0,0,4,8,Natural death,0
557,0,0,1581,0,0,4,13,CHD,0
558,0,0,63,0,0,4,14,CHD death,0
563,0,0,2314,0,0,4,19,T2DM,0
564,0,0,149,0,0,4,20,T2DM death,0
569,0,0,7905,0,0,4,25,Overweight,0
570,0,0,8298,0,0,4,26,Obese,0
683,0,0,7178,0,0,5,3,Steatosis,0
684,0,0,959,0,0,5,4,NASH,0
685,0,0,85,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,18,0,0,5,7,Liver death,0
688,0,0,496,0,0,5,8,Natural death,0
693,0,0,1632,0,0,5,13,CHD,0
694,0,0,98,0,0,5,14,CHD death,0
699,0,0,2377,0,0,5,19,T2DM,0
700,0,0,235,0,0,5,20,T2DM death,0
705,0,0,8070,0,0,5,25,Overweight,0
706,0,0,8295,0,0,5,26,Obese,0
819,0,0,7454,0,0,6,3,Steatosis,0
820,0,0,1054,0,0,6,4,NASH,0
821,0,0,94,0,0,6,5,Cirrhosis,0
822,0,0,1,0,0,6,6,HCC,0
823,0,0,26,0,0,6,7,Liver death,0
824,0,0,676,0,0,6,8,Natural death,0
829,0,0,1687,0,0,6,13,CHD,0
830,0,0,136,0,0,6,14,CHD death,0
835,0,0,2463,0,0,6,19,T2DM,0
836,0,0,304,0,0,6,20,T2DM death,0
841,0,0,8266,0,0,6,25,Overweight,0
842,0,0,8276,0,0,6,26,Obese,0
955,0,0,7687,840691.5759768034,0,7,3,Steatosis,0
956,0,177.00219506634667,1147,274416.7785061983,177.00219506634667,7,4,NASH,0
957,0,18.47893080806338,101,271143.3324204867,18.47893080806338,7,5,Cirrhosis,0
958,0,0.8794197953055021,4,146808.10929728745,0.8794197953055021,7,6,HCC,0
959,105.38679504999999,0,32,0,105.38679504999999,7,7,Liver death,0
960,0,0,849,0,0,7,8,Natural death,0
965,0,109.7300024488134,1712,1.4085770017250251e+07,109.7300024488134,7,13,CHD,0
966,213.61491654999998,0,165,0,213.61491654999998,7,14,CHD death,0
971,0,79.52355739262741,2555,3.0636773107781574e+07,79.52355739262741,7,19,T2DM,0
972,522.076057447,0,363,0,522.076057447,7,20,T2DM death,0
977,0,0,8400,4.0347784423715225e+06,0,7,25,Overweight,0
978,0,122.5937553191948,8296,5.861566130458968e+06,122.5937553191948,7,26,Obese,0
1091,0,0,7887,837441.4071581495,0,8,3,Steatosis,0
1092,0,184.4319094359044,1231,285935.49600996164,184.4319094359044,8,4,NASH,0
1093,0,19.18412503384457,108,281490.7228819818,19.18412503384457,8,5,Cirrhosis,0
1094,0,1.0672570331377453,5,178165.18118602847,1.0672570331377453,8,6,HCC,0
1095,51.919147216504854,0,35,0,51.919147216504854,8,7,Liver death,0
1096,0,0,1022,0,0,8,8,Natural death,0
1101,0,108.33858897978016,1741,1.3907157698957788e+07,108.33858897978016,8,13,CHD,0
1102,264.3997457242719,0,205,0,264.3997457242719,8,14,CHD death,0
1107,0,79.35282492467604,2626,3.0570997731856216e+07,79.35282492467604,8,19,T2DM,0
1108,737.0271241650488,0,447,0,737.0271241650488,8,20,T2DM death,0
1113,0,0,8417,3.925188413020415e+06,0,8,25,Overweight,0
1114,0,118.99436933195982,8294,5.689468955214917e+06,118.99436933195982,8,26,Obese,0
1227,0,0,8060,830884.0209825301,0,9,3,Steatosis,0
1228,0,194.91514408847715,1340,302188.26327427244,194.91514408847715,9,4,NASH,0
1229,0,21.039763161893443,122,308718.70003237925,21.039763161893443,9,5,Cirrhosis,0
1230,0,1.0361718768327624,5,172975.9040641053,1.0361718768327624,9,6,HCC,0
1231,115.15569506268264,0,41,0,115.15569506268264,9,7,Liver death,0
1232,0,0,1172,0,0,9,8,Natural death,0
1237,0,106.33098743854174,1760,1.3649446836247386e+07,106.33098743854174,9,13,CHD,0
1238,185.28102202281082,0,238,0,185.28102202281082,9,14,CHD death,0
1243,0,80.35677114911648,2739,3.0957772087769292e+07,80.35677114911648,9,19,T2DM,0
1244,670.0859888886794,0,519,0,670.0859888886794,9,20,T2DM death,0
1249,0,0,8510,3.852969013795726e+06,0,9,25,Overweight,0
1250,0,116.05782227341314,8332,5.549064048504032e+06,116.05782227341314,9,26,Obese,0
1363,0,0,8127,813389.1973458768,0,10,3,Steatosis,0
1364,0,202.2304639434114,1432,313529.6283210809,202.2304639434114,10,4,NASH,0
1365,0,22.60359722151528,135,331665.0048095746,22.60359722151528,10,5,Cirrhosis,0
1366,0,1.408388958801813,7,235112.87931043442,1.408388958801813,10,6,HCC,0
1367,130.79012659154574,0,50,0,130.79012659154574,10,7,Liver death,0
1368,0,0,1354,0,0,10,8,Natural death,0
1373,0,105.2282609580426,1794,1.350789255528974e+07,105.2282609580426,10,13,CHD,0
1374,224.49617769031062,0,274,0,224.49617769031062,10,14,CHD death,0
1379,0,79.29803977751857,2784,3.0549891531651065e+07,79.29803977751857,10,19,T2DM,0
1380,679.4442703630458,0,599,0,679.4442703630458,10,20,T2DM death,0
1385,0,0,8602,3.781187119285499e+06,0,10,25,Overweight,0
1386,0,112.650450425951,8330,5.386147631082216e+06,112.650450425951,10,26,Obese,0
1499,0,0,8291,805634.0826268598,0,11,3,Steatosis,0
1500,0,209.77694977045758,1530,325229.3833942991,209.77694977045758,11,4,NASH,0
1501,0,24.708714690185776,152,362553.6190654814,24.708714690185776,11,5,Cirrhosis,0
1502,0,1.5627061956192099,8,260874.20727926143,1.5627061956192099,11,6,HCC,0
1503,126.71406581881841,0,57,0,126.71406581881841,11,7,Liver death,0
1504,0,0,1519,0,0,11,8,Natural death,0
1509,0,105.12461696948333,1846,1.3494588031877983e+07,105.12461696948333,11,13,CHD,0
1510,219.4357184471972,0,313,0,219.4357184471972,11,14,CHD death,0
1515,0,78.9518132619139,2855,3.0416506361894622e+07,78.9518132619139,11,19,T2DM,0
1516,627.6844582113932,0,673,0,627.6844582113932,11,20,T2DM death,0
1521,0,0,8706,3.7154392927928185e+06,0,11,25,Overweight,0
1522,0,109.55318341174988,8344,5.238058233051287e+06,109.55318341174988,11,26,Obese,0
1635,0,0,8491,801036.9175122172,0,12,3,Steatosis,0
1636,0,213.91684642497307,1607,331647.7055109109,213.91684642497307,12,4,NASH,0
1637,0,26.198560542736594,166,384414.2869498608,26.198560542736594,12,5,Cirrhosis,0
1638,0,1.3275416710357364,7,221616.4382226736,1.3275416710357364,12,6,HCC,0
1639,128.91712047493343,0,68,0,128.91712047493343,12,7,Liver death,0
1640,0,0,1669,0,0,12,8,Natural death,0
1645,0,104.21898988496443,1885,1.3378334914687967e+07,104.21898988496443,12,13,CHD,0
1646,193.27984711664996,0,345,0,193.27984711664996,12,14,CHD death,0
1651,0,78.39739333984079,2920,3.020291383766683e+07,78.39739333984079,12,19,T2DM,0
1652,746.0851348920744,0,760,0,746.0851348920744,12,20,T2DM death,0
1657,0,0,8853,3.668130232592658e+06,0,12,25,Overweight,0
1658,0,106.158359410977,8328,5.075741764891553e+06,106.158359410977,12,26,Obese,0
1771,0,0,8629,790345.4098414374,0,13,3,Steatosis,0
1772,0,217.1206686728336,1680,336614.7771330155,217.1206686728336,13,4,NASH,0
1773,0,28.193561468379553,184,413687.1493670247,28.193561468379553,13,5,Cirrhosis,0
1774,0,1.8412505839607993,10,307373.70072492864,1.8412505839607993,13,6,HCC,0
1775,139.54723568588113,0,78,0,139.54723568588113,13,7,Liver death,0
1776,0,0,1806,0,0,13,8,Natural death,0
1781,0,104.51153630142267,1947,1.341588837727415e+07,104.51153630142267,13,13,CHD,0
1782,140.03248396494251,0,376,0,140.03248396494251,13,14,CHD death,0
1787,0,77.73009274484498,2982,2.994583357624912e+07,77.73009274484498,13,19,T2DM,0
1788,684.6705946870932,0,843,0,684.6705946870932,13,20,T2DM death,0
1793,0,0,8894,3.5777845356219984e+06,0,13,25,Overweight,0
1794,0,103.67278671384908,8377,4.956899261876549e+06,103.67278671384908,13,26,Obese,0
1907,0,0,8825,784754.754721852,0,14,3,Steatosis,0
1908,0,219.3290157420784,1748,340038.50579548243,219.3290157420784,14,4,NASH,0
1909,0,28.41373069048375,191,416917.7159619131,28.41373069048375,14,5,Cirrhosis,0
1910,0,1.9663841187930868,11,328263.17553147726,1.9663841187930868,14,6,HCC,0
1911,182.79057208142058,0,92,0,182.79057208142058,14,7,Liver death,0
1912,0,0,1945,0,0,14,8,Natural death,0
1917,0,104.12536565102857,1998,1.3366316602487015e+07,104.12536565102857,14,13,CHD,0
1918,143.05178203068945,0,403,0,143.05178203068945,14,14,CHD death,0
1923,0,77.2376143779386,3052,2.9756104287439577e+07,77.2376143779386,14,19,T2DM,0
1924,786.3176322621649,0,938,0,786.3176322621649,14,20,T2DM death,0
1929,0,0,8926,3.4860749108666726e+06,0,14,25,Overweight,0
1930,0,101.54233222020746,8451,4.855035999183956e+06,101.54233222020746,14,26,Obese,0
2043,0,0,9028,779423.6283317249,0,15,3,Steatosis,0
2044,0,218.3008576846836,1792,338444.4926715249,218.3008576846836,15,4,NASH,0
2045,0,28.308296728179894,196,415370.67213203356,28.308296728179894,15,5,Cirrhosis,0
2046,0,1.9091107949447443,11,318702.11216648266,1.9091107949447443,15,6,HCC,0
2047,99.69098094712434,0,101,0,99.69098094712434,15,7,Liver death,0
2048,0,0,2094,0,0,15,8,Natural death,0
2053,0,104.07780457358375,2057,1.3360211304176483e+07,104.07780457358375,15,13,CHD,0
2054,139.08541696138164,0,437,0,139.08541696138164,15,14,CHD death,0
2059,0,76.75702303015143,3124,2.957095452098053e+07,76.75702303015143,15,19,T2DM,0
2060,726.403012078586,0,1036,0,726.403012078586,15,20,T2DM death,0
2065,0,0,8982,3.4057726908189813e+06,0,15,25,Overweight,0
2066,0,99.05140689750928,8491,4.735937571479453e+06,99.05140689750928,15,26,Obese,0
2179,0,0,9119,764349.5389485705,0,16,3,Steatosis,0
2180,0,219.7485012017488,1858,340688.85845595965,219.7485012017488,16,4,NASH,0
2181,0,27.90445338274132,199,409445.0354382541,27.90445338274132,16,5,Cirrhosis,0
2182,0,2.1905066490981184,13,365677.62207981246,2.1905066490981184,16,6,HCC,0
2183,158.46085437333608,0,114,0,158.46085437333608,16,7,Liver death,0
2184,0,0,2280,0,0,16,8,Natural death,0
2189,0,102.91309361907123,2095,1.3210700229030784e+07,102.91309361907123,16,13,CHD,0
2190,172.79493484632013,0,472,0,172.79493484632013,16,14,CHD death,0
2195,0,75.95265011499013,3184,2.926106659212047e+07,75.95265011499013,16,19,T2DM,0
2196,671.7429368694814,0,1128,0,671.7429368694814,16,20,T2DM death,0
2201,0,0,9049,3.3312403749482296e+06,0,16,25,Overweight,0
2202,0,96.1437630881615,8489,4.596914613680036e+06,96.1437630881615,16,26,Obese,0
2315,0,0,9267,754130.8904206434,0,17,3,Steatosis,0
2316,0,221.0414501517411,1925,342693.39227258455,221.0414501517411,17,4,NASH,0
2317,0,28.72537280459764,211,421490.4741058276,28.72537280459764,17,5,Cirrhosis,0
2318,0,2.2902982141429162,14,382336.57274961716,2.2902982141429162,17,6,HCC,0
2319,210.2026201517592,0,133,0,210.2026201517592,17,7,Liver death,0
2320,0,0,2437,0,0,17,8,Natural death,0
2325,0,102.30024599157727,2145,1.313203048927005e+07,102.30024599157727,17,13,CHD,0
2326,202.97503389394421,0,514,0,202.97503389394421,17,14,CHD death,0
2331,0,74.75946314436266,3228,2.8801386470994905e+07,74.75946314436266,17,19,T2DM,0
2332,671.5921601517218,0,1216,0,671.5921601517218,17,20,T2DM death,0
2337,0,0,9149,3.2699550763436994e+06,0,17,25,Overweight,0
2338,0,93.45341744213744,8499,4.468281316846187e+06,93.45341744213744,17,26,Obese,0
2451,0,0,9326,736827.3772433682,0,18,3,Steatosis,0
2452,0,224.8597175418193,2017,348613.07386902196,224.8597175418193,18,4,NASH,0
2453,0,28.946103364500626,219,424729.2772704008,28.946103364500626,18,5,Cirrhosis,0
2454,0,2.064762606370175,13,344686.23063419014,2.064762606370175,18,6,HCC,0
2455,220.47896921079885,0,155,0,220.47896921079885,18,7,Liver death,0
2456,0,0,2585,0,0,18,8,Natural death,0
2461,0,102.56185976478895,2215,1.3165613204668479e+07,102.56185976478895,18,13,CHD,0
2462,130.51490024619108,0,547,0,130.51490024619108,18,14,CHD death,0
2467,0,74.13347709572872,3297,2.8560222806170695e+07,74.13347709572872,18,19,T2DM,0
2468,767.5055506848593,0,1330,0,767.5055506848593,18,20,T2DM death,0
2473,0,0,9223,3.2003917526256987e+06,0,18,25,Overweight,0
2474,0,90.60336668180216,8487,4.332012051225082e+06,90.60336668180216,18,26,Obese,0
2587,0,0,9418,722423.3991283228,0,19,3,Steatosis,0
2588,0,226.42804563997632,2092,351044.5439656141,226.42804563997632,19,4,NASH,0
2589,0,29.25793131669149,228,429304.7622363434,29.25793131669149,19,5,Cirrhosis,0
2590,0,2.4672294026828068,16,411873.0164411534,2.4672294026828068,19,6,HCC,0
2591,215.9718052100142,0,176,0,215.9718052100142,19,7,Liver death,0
2592,0,0,2754,0,0,19,8,Natural death,0
2597,0,103.62054253120844,2305,1.3301513702583145e+07,103.62054253120844,19,13,CHD,0
2598,130.83431565206422,0,581,0,130.83431565206422,19,14,CHD death,0
2603,0,73.72066755369124,3377,2.840118625536232e+07,73.72066755369124,19,19,T2DM,0
2604,721.1691103193592,0,1429,0,721.1691103193592,19,20,T2DM death,0
2609,0,0,9230,3.1095347192094824e+06,0,19,25,Overweight,0
2610,0,88.2546427140315,8515,4.219712686357714e+06,88.2546427140315,19,26,Obese,0
2723,0,0,9542,710616.530057462,0,20,3,Steatosis,0
2724,0,229.92099531281457,2188,356459.8666193693,229.92099531281457,20,4,NASH,0
2725,0,28.53034522024528,229,418628.8134564895,28.53034522024528,20,5,Cirrhosis,0
2726,0,2.6947893961341336,18,449861.30436533754,2.6947893961341336,20,6,HCC,0
2727,206.88679388361942,0,196,0,206.88679388361942,20,7,Liver death,0
2728,0,0,2898,0,0,20,8,Natural death,0
2733,0,103.00296121713966,2360,1.3222236311142309e+07,103.00296121713966,20,13,CHD,0
2734,103.9139252828826,0,607,0,103.9139252828826,20,14,CHD death,0
2739,0,72.44243373895806,3418,2.7908741492511965e+07,72.44243373895806,20,19,T2DM,0
2740,775.426076548537,0,1540,0,775.426076548537,20,20,T2DM death,0
2745,0,0,9265,3.030413612585183e+06,0,20,25,Overweight,0
2746,0,86.21744366296852,8568,4.122308239225014e+06,86.21744366296852,20,26,Obese,0
2859,0,0,9664,698739.9749777172,0,21,3,Steatosis,0
2860,0,229.44761295438633,2249,355725.9544678669,229.44761295438633,21,4,NASH,0
2861,0,28.66702767286271,237,420634.36973412643,28.66702767286271,21,5,Cirrhosis,0
2862,0,1.3081501922981236,9,218379.27396375602,1.3081501922981236,21,6,HCC,0
2863,215.0748590706987,0,217,0,215.0748590706987,21,7,Liver death,0
2864,0,0,3047,0,0,21,8,Natural death,0
2869,0,103.05381013660799,2432,1.3228763661631944e+07,103.05381013660799,21,13,CHD,0
2870,114.24193055493114,0,635,0,114.24193055493114,21,14,CHD death,0
