Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6320,0,0,2,3,Steatosis,0
276,0,0,772,0,0,2,4,NASH,0
277,0,0,66,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1488,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2066,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7524,0,0,2,25,Overweight,0
298,0,0,8435,0,0,2,26,Obese,0
411,0,0,6735,0,0,3,3,Steatosis,0
412,0,0,967,0,0,3,4,NASH,0
413,0,0,80,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,5,0,0,3,7,Liver death,0
416,0,0,242,0,0,3,8,Natural death,0
421,0,0,1505,0,0,3,13,CHD,0
422,0,0,55,0,0,3,14,CHD death,0
427,0,0,2279,0,0,3,19,T2DM,0
428,0,0,55,0,0,3,20,T2DM death,0
433,0,0,7928,0,0,3,25,Overweight,0
434,0,0,8672,0,0,3,26,Obese,0
547,0,0,7067,0,0,4,3,Steatosis,0
548,0,0,1199,0,0,4,4,NASH,0
549,0,0,87,0,0,4,5,Cirrhosis,0
550,0,0,5,0,0,4,6,HCC,0
551,0,0,11,0,0,4,7,Liver death,0
552,0,0,447,0,0,4,8,Natural death,0
557,0,0,1551,0,0,4,13,CHD,0
558,0,0,93,0,0,4,14,CHD death,0
563,0,0,2516,0,0,4,19,T2DM,0
564,0,0,119,0,0,4,20,T2DM death,0
569,0,0,8136,0,0,4,25,Overweight,0
570,0,0,8928,0,0,4,26,Obese,0
683,0,0,7379,0,0,5,3,Steatosis,0
684,0,0,1430,0,0,5,4,NASH,0
685,0,0,100,0,0,5,5,Cirrhosis,0
686,0,0,6,0,0,5,6,HCC,0
687,0,0,22,0,0,5,7,Liver death,0
688,0,0,620,0,0,5,8,Natural death,0
693,0,0,1572,0,0,5,13,CHD,0
694,0,0,143,0,0,5,14,CHD death,0
699,0,0,2753,0,0,5,19,T2DM,0
700,0,0,187,0,0,5,20,T2DM death,0
705,0,0,8220,0,0,5,25,Overweight,0
706,0,0,9171,0,0,5,26,Obese,0
819,0,0,7666,0,0,6,3,Steatosis,0
820,0,0,1630,0,0,6,4,NASH,0
821,0,0,111,0,0,6,5,Cirrhosis,0
822,0,0,7,0,0,6,6,HCC,0
823,0,0,31,0,0,6,7,Liver death,0
824,0,0,809,0,0,6,8,Natural death,0
829,0,0,1586,0,0,6,13,CHD,0
830,0,0,196,0,0,6,14,CHD death,0
835,0,0,2940,0,0,6,19,T2DM,0
836,0,0,256,0,0,6,20,T2DM death,0
841,0,0,8248,0,0,6,25,Overweight,0
842,0,0,9358,0,0,6,26,Obese,0
955,0,0,7872,1.2935867269450487e+06,0,7,3,Steatosis,0
956,0,341.4370876719157,1840,518760.0015646699,341.4370876719157,7,4,NASH,0
957,0,28.10499893214615,144,359010.53086176654,28.10499893214615,7,5,Cirrhosis,0
958,0,2.0331233178874784,6,391326.16566531814,2.0331233178874784,7,6,HCC,0
959,196.360799473,0,44,0,196.360799473,7,7,Liver death,0
960,0,0,994,0,0,7,8,Natural death,0
965,0,108.58794738478137,1632,2.601565918388181e+07,108.58794738478137,7,13,CHD,0
966,227.79405298300006,0,234,0,227.79405298300006,7,14,CHD death,0
971,0,107.21714987213777,3161,4.108539248652259e+07,107.21714987213777,7,19,T2DM,0
972,811.7207330099997,0,344,0,811.7207330099997,7,20,T2DM death,0
977,0,0,8224,3.5420907217511153e+06,0,7,25,Overweight,0
978,0,107.09750632972286,9557,1.02282316155499e+07,107.09750632972286,7,26,Obese,0
1091,0,0,8105,1.2930825763043803e+06,0,8,3,Steatosis,0
1092,0,365.72250315214484,2030,555657.87419602,365.72250315214484,8,4,NASH,0
1093,0,30.886696507145523,163,394543.6659281833,30.886696507145523,8,5,Cirrhosis,0
1094,0,1.9739061338713382,6,379928.31617992057,1.9739061338713382,8,6,HCC,0
1095,266.54073799902915,0,60,0,266.54073799902915,8,7,Liver death,0
1096,0,0,1181,0,0,8,8,Natural death,0
1101,0,108.39673502740888,1678,2.596984824776078e+07,108.39673502740888,8,13,CHD,0
1102,346.08354967766996,0,285,0,346.08354967766996,8,14,CHD death,0
1107,0,110.44996841700265,3354,4.232420193922642e+07,110.44996841700265,8,19,T2DM,0
1108,919.2672285000007,0,428,0,919.2672285000007,8,20,T2DM death,0
1113,0,0,8224,3.438923030825685e+06,0,8,25,Overweight,0
1114,0,105.9365238444301,9737,1.0117353237813301e+07,105.9365238444301,8,26,Obese,0
1227,0,0,8284,1.2831460936983179e+06,0,9,3,Steatosis,0
1228,0,383.9307926820764,2195,583322.508900602,383.9307926820764,9,4,NASH,0
1229,0,34.95426967870423,190,446502.45116656384,34.95426967870423,9,5,Cirrhosis,0
1230,0,1.9164137222051827,6,368862.44289312663,1.9164137222051827,9,6,HCC,0
1231,302.3993525827128,0,80,0,302.3993525827128,9,7,Liver death,0
1232,0,0,1360,0,0,9,8,Natural death,0
1237,0,107.3719351325109,1712,2.572432519074184e+07,107.3719351325109,9,13,CHD,0
1238,379.12566981148103,0,339,0,379.12566981148103,9,14,CHD death,0
1243,0,113.78717126518882,3559,4.360301124341389e+07,113.78717126518882,9,19,T2DM,0
1244,914.6720909953815,0,518,0,914.6720909953815,9,20,T2DM death,0
1249,0,0,8176,3.3192732967241397e+06,0,9,25,Overweight,0
1250,0,104.6255618573097,9905,9.992151229824543e+06,104.6255618573097,9,26,Obese,0
1363,0,0,8423,1.2666761457600421e+06,0,10,3,Steatosis,0
1364,0,401.61723453266393,2365,610194.2780590741,401.61723453266393,10,4,NASH,0
1365,0,39.47314051606349,221,504226.0690230521,39.47314051606349,10,5,Cirrhosis,0
1366,0,2.7908937702017225,9,537178.314892903,2.7908937702017225,10,6,HCC,0
1367,216.52772490292634,0,95,0,216.52772490292634,10,7,Liver death,0
1368,0,0,1531,0,0,10,8,Natural death,0
1373,0,105.27973632389637,1729,2.5223073141497508e+07,105.27973632389637,10,13,CHD,0
1374,293.04904636748256,0,386,0,293.04904636748256,10,14,CHD death,0
1379,0,117.20876069619801,3776,4.491415731350783e+07,117.20876069619801,10,19,T2DM,0
1380,957.0895171968846,0,618,0,957.0895171968846,10,20,T2DM death,0
1385,0,0,8147,3.2111649949194244e+06,0,10,25,Overweight,0
1386,0,102.95241841038049,10039,9.83235947287681e+06,102.95241841038049,10,26,Obese,0
1499,0,0,8515,1.2432149351978647e+06,0,11,3,Steatosis,0
1500,0,427.6750780507422,2594,649785.0765760146,427.6750780507422,11,4,NASH,0
1501,0,42.65866786869782,246,544917.6865073584,42.65866786869782,11,5,Cirrhosis,0
1502,0,3.612807469516793,12,695376.4594082886,3.612807469516793,11,6,HCC,0
1503,212.2893362824943,0,109,0,212.2893362824943,11,7,Liver death,0
1504,0,0,1685,0,0,11,8,Natural death,0
1509,0,104.57801723706994,1769,2.5054954256801814e+07,104.57801723706994,11,13,CHD,0
1510,340.5221351088312,0,445,0,340.5221351088312,11,14,CHD death,0
1515,0,119.37014077608652,3961,4.574239373837927e+07,119.37014077608652,11,19,T2DM,0
1516,914.9851486440165,0,712,0,914.9851486440165,11,20,T2DM death,0
1521,0,0,8119,3.1069210768814795e+06,0,11,25,Overweight,0
1522,0,101.24815576683278,10169,9.669595710678518e+06,101.24815576683278,11,26,Obese,0
1635,0,0,8609,1.2203293305494534e+06,0,12,3,Steatosis,0
1636,0,443.55070374449167,2771,673905.5951344505,443.55070374449167,12,4,NASH,0
1637,0,45.79350248751168,272,584961.7599258118,45.79350248751168,12,5,Cirrhosis,0
1638,0,2.6306850506190234,9,506342.082093414,2.6306850506190234,12,6,HCC,0
1639,352.93847458380964,0,131,0,352.93847458380964,12,7,Liver death,0
1640,0,0,1851,0,0,12,8,Natural death,0
1645,0,104.00004787607956,1812,2.4916483512338087e+07,104.00004787607956,12,13,CHD,0
1646,234.98959691520108,0,490,0,234.98959691520108,12,14,CHD death,0
1651,0,120.83804506688824,4130,4.6304891659576036e+07,120.83804506688824,12,19,T2DM,0
1652,877.2484271970575,0,804,0,877.2484271970575,12,20,T2DM death,0
1657,0,0,8058,2.9937650790977115e+06,0,12,25,Overweight,0
1658,0,100.05849305403181,10351,9.555978258809917e+06,100.05849305403181,12,26,Obese,0
1771,0,0,8624,1.1868500842601936e+06,0,13,3,Steatosis,0
1772,0,460.469822746323,2963,699611.5378008239,460.469822746323,13,4,NASH,0
1773,0,49.526810585794024,303,632650.6755336969,49.526810585794024,13,5,Cirrhosis,0
1774,0,2.2702783608362664,8,436972.67063077807,2.2702783608362664,13,6,HCC,0
1775,345.56499786437837,0,155,0,345.56499786437837,13,7,Liver death,0
1776,0,0,2017,0,0,13,8,Natural death,0
1781,0,102.47545384819075,1839,2.4551219046264976e+07,102.47545384819075,13,13,CHD,0
1782,272.94061586027414,0,543,0,272.94061586027414,13,14,CHD death,0
1787,0,122.2612064148014,4304,4.685024417659449e+07,122.2612064148014,13,19,T2DM,0
1788,908.1871371633538,0,904,0,908.1871371633538,13,20,T2DM death,0
1793,0,0,7999,2.8852863906225604e+06,0,13,25,Overweight,0
1794,0,98.78654357174554,10526,9.434502097936604e+06,98.78654357174554,13,26,Obese,0
1907,0,0,8760,1.1704530524567866e+06,0,14,3,Steatosis,0
1908,0,471.1989149139169,3123,715912.7073885183,471.1989149139169,14,4,NASH,0
1909,0,53.162490135028975,335,679092.4935236304,53.162490135028975,14,5,Cirrhosis,0
1910,0,3.85726905967327,14,742429.2947610307,3.85726905967327,14,6,HCC,0
1911,241.04759614563082,0,172,0,241.04759614563082,14,7,Liver death,0
1912,0,0,2163,0,0,14,8,Natural death,0
1917,0,100.62684139102585,1860,2.4108325771210514e+07,100.62684139102585,14,13,CHD,0
1918,266.5604309184555,0,592,0,266.5604309184555,14,14,CHD death,0
1923,0,123.16800534352143,4466,4.719772767095598e+07,123.16800534352143,14,19,T2DM,0
1924,1026.3116771222321,0,1017,0,1026.3116771222321,14,20,T2DM death,0
1929,0,0,8003,2.802649722495742e+06,0,14,25,Overweight,0
1930,0,97.10289222288128,10657,9.273706795168113e+06,97.10289222288128,14,26,Obese,0
2043,0,0,8842,1.1469993671393518e+06,0,15,3,Steatosis,0
2044,0,481.05886379397333,3284,730893.350327144,481.05886379397333,15,4,NASH,0
2045,0,56.39029528885826,366,720324.1635404897,56.39029528885826,15,5,Cirrhosis,0
2046,0,4.547404577978193,17,875263.3849471234,4.547404577978193,15,6,HCC,0
2047,399.56400931300686,0,205,0,399.56400931300686,15,7,Liver death,0
2048,0,0,2325,0,0,15,8,Natural death,0
2053,0,97.48586367143933,1856,2.3355805737220496e+07,97.48586367143933,15,13,CHD,0
2054,308.491170987345,0,656,0,308.491170987345,15,14,CHD death,0
2059,0,124.0253654909799,4632,4.752626632548225e+07,124.0253654909799,15,19,T2DM,0
2060,941.3962657325332,0,1126,0,941.3962657325332,15,20,T2DM death,0
2065,0,0,7972,2.7104791513535483e+06,0,15,25,Overweight,0
2066,0,95.01773895510253,10741,9.074566485486332e+06,95.01773895510253,15,26,Obese,0
2179,0,0,8853,1.1149769960763273e+06,0,16,3,Steatosis,0
2180,0,485.9625774818777,3417,738343.7727102281,485.9625774818777,16,4,NASH,0
2181,0,56.9916242375062,381,728005.4812163146,56.9916242375062,16,5,Cirrhosis,0
2182,0,5.453769054114339,21,1.0497162240942083e+06,5.453769054114339,16,6,HCC,0
2183,451.7061880037314,0,242,0,451.7061880037314,16,7,Liver death,0
2184,0,0,2485,0,0,16,8,Natural death,0
2189,0,95.10542336961468,1865,2.278549636964143e+07,95.10542336961468,16,13,CHD,0
2190,347.53527942780266,0,724,0,347.53527942780266,16,14,CHD death,0
2195,0,123.97441354078559,4769,4.7506741642395906e+07,123.97441354078559,16,19,T2DM,0
2196,1012.4954209887327,0,1259,0,1012.4954209887327,16,20,T2DM death,0
2201,0,0,7979,2.633843835542499e+06,0,16,25,Overweight,0
2202,0,93.06614969749694,10836,8.88818206226742e+06,93.06614969749694,16,26,Obese,0
2315,0,0,8834,1.0801787100127947e+06,0,17,3,Steatosis,0
2316,0,497.76676066333016,3605,756278.374154434,497.76676066333016,17,4,NASH,0
2317,0,56.78394892557798,391,725352.6569211832,56.78394892557798,17,5,Cirrhosis,0
2318,0,6.555616985990426,26,1.2617948139828676e+06,6.555616985990426,17,6,HCC,0
2319,420.48156445699743,0,276,0,420.48156445699743,17,7,Liver death,0
2320,0,0,2639,0,0,17,8,Natural death,0
2325,0,91.84026671731766,1855,2.2003225365409978e+07,91.84026671731766,17,13,CHD,0
2326,339.76276086823424,0,794,0,339.76276086823424,17,14,CHD death,0
2331,0,124.55313764334986,4935,4.772850753454584e+07,124.55313764334986,17,19,T2DM,0
2332,1037.1624862666313,0,1388,0,1037.1624862666313,17,20,T2DM death,0
2337,0,0,7923,2.53918291692937e+06,0,17,25,Overweight,0
2338,0,90.7140386556434,10879,8.663546238839615e+06,90.7140386556434,17,26,Obese,0
2451,0,0,8873,1.0533470301137639e+06,0,18,3,Steatosis,0
2452,0,495.0655500396479,3693,752174.3090778296,495.0655500396479,18,4,NASH,0
2453,0,60.48795493028332,429,772667.2704273066,60.48795493028332,18,5,Cirrhosis,0
2454,0,6.364676685427591,26,1.2250435087212306e+06,6.364676685427591,18,6,HCC,0
2455,363.8124576806069,0,311,0,363.8124576806069,18,7,Liver death,0
2456,0,0,2789,0,0,18,8,Natural death,0
2461,0,89.26144259495959,1857,2.138538691208018e+07,89.26144259495959,18,13,CHD,0
2462,224.44319596399052,0,845,0,224.44319596399052,18,14,CHD death,0
2467,0,125.2380138883525,5111,4.7990950710517876e+07,125.2380138883525,18,19,T2DM,0
2468,1009.4360709008797,0,1523,0,1009.4360709008797,18,20,T2DM death,0
2473,0,0,7992,2.4866953495474476e+06,0,18,25,Overweight,0
2474,0,88.56571294772142,10940,8.458372713522194e+06,88.56571294772142,18,26,Obese,0
2587,0,0,8858,1.0209381786293862e+06,0,19,3,Steatosis,0
2588,0,496.13408646404775,3812,753797.782265752,496.13408646404775,19,4,NASH,0
2589,0,64.06491254751984,468,818358.9801524816,64.06491254751984,19,5,Cirrhosis,0
2590,0,5.941632454656082,25,1.1436179132946513e+06,5.941632454656082,19,6,HCC,0
2591,300.3664238028734,0,336,0,300.3664238028734,19,7,Liver death,0
2592,0,0,2939,0,0,19,8,Natural death,0
2597,0,86.75492980328201,1859,2.0784872913069673e+07,86.75492980328201,19,13,CHD,0
2598,263.3850100795437,0,905,0,263.3850100795437,19,14,CHD death,0
2603,0,125.27774306247272,5266,4.8006174848752946e+07,125.27774306247272,19,19,T2DM,0
2604,940.3574154006415,0,1650,0,940.3574154006415,19,20,T2DM death,0
2609,0,0,7906,2.388287976511126e+06,0,19,25,Overweight,0
2610,0,86.86642582649692,11052,8.296084133209872e+06,86.86642582649692,19,26,Obese,0
2723,0,0,8877,993328.197832408,0,20,3,Steatosis,0
2724,0,491.2869243197275,3888,746433.281066807,491.2869243197275,20,4,NASH,0
2725,0,66.3189597568924,499,847151.9606175594,66.3189597568924,20,5,Cirrhosis,0
2726,0,3.9226311351127525,17,755009.8845052065,3.9226311351127525,20,6,HCC,0
2727,537.7102472431895,0,390,0,537.7102472431895,20,7,Liver death,0
2728,0,0,3097,0,0,20,8,Natural death,0
2733,0,83.32192164502172,1839,1.996238779964966e+07,83.32192164502172,20,13,CHD,0
2734,305.5295597323708,0,978,0,305.5295597323708,20,14,CHD death,0
2739,0,124.4698095058476,5389,4.7696576362739064e+07,124.4698095058476,20,19,T2DM,0
2740,1010.5522760625053,0,1800,0,1010.5522760625053,20,20,T2DM death,0
2745,0,0,7903,2.317846330102355e+06,0,20,25,Overweight,0
2746,0,84.31344315457522,11049,8.05226428180834e+06,84.31344315457522,20,26,Obese,0
2859,0,0,8941,971349.2615714598,0,21,3,Steatosis,0
2860,0,485.6878354563507,3959,737926.3453752697,485.6878354563507,21,4,NASH,0
2861,0,68.25832190866532,529,871925.1846736121,68.25832190866532,21,5,Cirrhosis,0
2862,0,5.3765361075217655,24,1.0348507840162746e+06,5.3765361075217655,21,6,HCC,0
2863,342.1264723370842,0,421,0,342.1264723370842,21,7,Liver death,0
2864,0,0,3245,0,0,21,8,Natural death,0
